year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1992,83280,44013,13004,0,5540,0,21019,0,17390,17241,0,10416,0,5882,0,0,0,0,0,65889,100247,26744,73502,34301,46847,12173,30457
2,1993,83493,37208,1102,1206,12035,0,25259,3666,2927,2833,737,1187,0,909,0,0,0,0,0,80567,52814,35386,17428,-7422,-561,14,-575
3,1994,99674,48053,6574,0,9741,0,25039,0,6522,6522,0,5023,0,270,0,0,0,0,0,93152,89835,64047,25788,19369,19198,5048,12687
4,1995,151739,72454,10980,285,8002,0,28975,0,48551,48551,0,25863,0,21382,0,0,0,0,0,103188,99615,54100,45516,36114,38631,10776,24730
5,1996,133502,31985,3951,0,10210,0,27653,0,8108,8108,0,6867,0,0,0,0,0,0,0,125394,80420,31919,48501,28348,34670,9622,22259
6,1997,160957,40755,6945,1120,10344,0,28158,0,32398,32398,0,8816,0,18816,0,0,0,0,0,128558,91534,36310,55224,34064,43252,11645,28232
7,1998,149931,35287,4479,365,10662,0,28153,0,15895,15895,0,3018,0,9907,0,0,0,0,0,134036,52053,35533,16520,-2028,6752,1806,4421
8,1999,148882,46136,14807,1518,12566,0,25189,0,6807,6807,0,4413,0,0,0,0,0,0,0,142075,57171,36210,20961,7398,16249,4358,10628
9,2000,148394,46300,23843,1971,6110,0,21269,0,7271,7271,0,1629,0,0,0,0,0,0,0,141122,59271,56742,2529,-2389,-922,0,-922
10,2001,135116,28107,1837,1313,2277,0,16987,19099,4821,4821,1290,1134,2398,0,0,0,0,0,0,130295,14172,32070,-17897,-20553,-17780,-5290,-10788
11,2002,159659,12951,1859,0,2459,0,39311,28996,32280,31075,5678,1276,23262,0,1204,0,0,0,0,127379,0,0,0,-3334,-3545,-439,-2965
12,2003,219322,47199,0,3156,14587,42849,74519,49801,85224,84751,7251,10772,8988,0,473,0,0,0,0,134098,5733,2722,3012,-5157,6164,1103,4583
13,2004,230097,55739,0,3349,26380,42052,69983,52340,100618,35271,6588,2976,24569,0,575,0,0,64772,0,129480,59726,42409,17317,-5929,-2482,-447,-1905
14,2005,218254,85193,0,31816,9711,12360,63769,52725,72113,15569,9147,4848,717,0,141,0,0,54830,1573,146140,131293,99322,31971,21562,27911,5286,21093
15,2006,289820,172210,130550,26190,10351,10719,60126,42632,55092,54616,10719,43166,0,731,476,0,0,0,0,234728,218147,94214,123933,109696,140352,25826,107038
16,2007,324980,184860,70881,8498,13546,9577,82906,32455,70034,34989,8377,11178,5829,1611,339,0,0,0,0,254946,167005,97210,69796,50513,148757,13259,131656
17,2008,253836,135023,23533,5701,13850,9102,76413,4659,68175,18936,6835,5497,6128,476,39,0,0,0,0,185661,90851,102043,-11192,-70472,-11905,1558,-13916
18,2009,224187,28465,4366,5798,7863,9285,57242,4058,52641,4543,2870,1368,266,39,0,0,0,0,0,171546,26536,21588,4948,-18390,-12579,-2106,-9863
19,2010,170210,58769,1139,6024,255,14018,19636,244,8186,7131,5097,1592,0,442,228,0,0,0,3,0,25172,0,933,22064,25221,8129,17092
20,2011,171486,51291,3508,5590,296,25270,25973,0,8427,7074,5455,380,0,229,0,0,0,0,0,163059,35332,31428,3904,-571,1808,-334,2142
21,2012,182043,95650,5625,6306,759,21887,58556,0,11687,10535,8639,338,0,0,0,0,0,0,0,170356,50423,42973,7450,9990,11368,0,11368
22,2013,284468,80281,1385,6235,478,7829,158346,0,79925,78800,23596,1515,8,51154,0,0,0,0,0,204543,67885,57115,10771,10711,11265,-8445,19710
