year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,2002,998730,41250,1134,283,34167,0,957479,0,504825,430180,20122,312931,0,0,72692,0,0,0,0,493904,67279,71444,-4165,-21973,-55533,0,-55533
2,2003,1005630,35535,0,235,30520,0,970094,0,387000,310872,36526,177172,0,0,74485,0,0,0,0,618630,58453,76342,-17890,-35785,12038,0,12038
3,2004,1000796,31129,0,1046,22768,275,969392,0,428190,353176,14750,243856,0,0,72829,0,0,0,0,572606,36606,65785,-29179,-59931,-46059,0,-46059
4,2005,968919,33741,0,659,25703,265,934912,0,446475,371256,10775,263737,0,0,72652,0,0,0,0,522444,46372,58519,-12147,-34117,-30682,0,-30682
5,2006,978202,48243,600,183,36956,262,922371,13,471541,393312,9998,376818,0,0,0,0,74107,0,0,506661,64005,59623,4382,-15438,-25396,0,-25396
6,2007,930702,50810,388,8249,35988,247,871544,0,488774,424260,8490,409773,0,5997,0,0,56576,0,0,441927,69007,70325,-1319,-25131,-35097,0,-35097
7,2008,863695,53814,872,4507,39279,227,801098,0,488834,479330,7288,466437,0,5605,0,0,1061,0,0,374860,75244,66581,8664,-20853,-31657,0,-31657
8,2009,931136,80764,12844,24548,7018,239,842929,0,571985,532777,13461,513575,0,5741,0,0,0,0,0,359151,119026,90710,28316,-3706,-14937,0,-14937
9,2010,897579,84607,28418,9029,7123,229,806203,0,536963,39637,3622,29378,0,0,5439,7410,443411,0,0,0,168657,104149,64508,26124,19001,5541,10293
10,2011,897165,83229,4055,11085,18279,167,808904,0,488626,40492,886,12555,0,0,0,15967,184081,0,10402,408539,164665,103474,61190,26977,17978,4876,13101
11,2012,896047,57457,1381,4349,8449,172,833878,0,460400,62120,14167,24081,0,0,0,10800,221041,0,10741,435647,129313,117424,11889,34005,18842,0,18842
12,2013,882010,28333,958,8687,6992,169,743406,0,411860,98209,31390,42693,0,0,103,10389,154437,0,10616,470150,100453,94330,6124,-9229,-16509,0,-16509
