year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1992,83031,41090,18942,0,10475,0,41849,0,20848,20345,0,7670,0,7154,0,0,0,0,0,62183,90327,56708,33619,11065,13178,3562,7996
2,1993,91142,43800,3617,0,12166,0,42487,0,22464,21967,0,7457,0,6914,0,0,0,0,0,68678,71608,46275,25332,5931,10707,2905,6726
3,1994,157111,50697,4129,0,7886,0,45106,0,90466,47610,0,5418,0,27097,0,0,0,0,0,66645,101246,67767,33479,14149,12220,3399,7563
4,1995,172126,61263,743,0,12681,0,48280,0,109918,78562,0,5003,0,45070,0,0,0,0,0,62208,107499,74274,33225,10520,6451,2847,2550
5,1996,286782,49725,534,0,11406,0,173103,0,109601,83534,0,6776,0,45583,0,0,0,0,0,177181,113626,90707,22918,212,-1884,4078,-5962
6,1997,397407,68573,351,14259,21894,0,259139,0,208992,101201,16666,2356,1894,60009,0,0,0,0,0,188416,142564,97975,44589,18023,10492,0,10492
7,1998,439461,110539,581,0,50089,0,258211,0,242394,139241,32262,4175,490,73934,0,0,0,0,0,193824,201071,134507,66565,28924,3525,0,3525
8,1999,493517,171746,569,40944,61639,0,248783,0,296842,204946,55097,9502,8302,84461,91872,0,0,0,0,196675,319762,226991,92771,34626,12851,2616,9267
9,2000,581049,223524,2086,61368,91235,0,287654,0,321348,178747,61159,29609,790,60808,142089,0,0,33,0,259700,382496,282407,100089,46682,29797,10405,15538
10,2001,602154,256340,13899,84781,83874,0,278051,0,366251,212444,71863,38513,3138,79558,110252,0,0,0,0,235903,443274,320685,122590,65696,50908,17733,26606
11,2002,641188,299574,20059,75752,99148,0,275228,0,396019,236252,65477,49522,722,92154,113748,0,0,0,0,245170,437025,338740,98285,48527,30628,7906,17767
12,2003,655896,253294,0,64060,83073,19441,341050,0,394460,218649,80297,60199,2044,0,130663,0,0,0,45123,261436,416780,332230,84550,33661,38651,13332,19833
13,2004,664863,241985,0,53546,84977,20623,362447,8264,386760,204989,72524,15848,1755,0,140986,0,0,0,40785,278103,429443,347005,82439,32722,35099,11532,17648
14,2005,674501,242942,0,94864,86899,52103,347601,9550,381937,212434,72016,18331,0,0,135937,0,0,0,33566,292563,474323,340494,133829,79594,57317,15991,35404
15,2006,718397,232053,39013,115221,39031,39179,387034,14319,368647,199389,79059,45849,0,56525,136204,0,0,0,33055,349750,538273,398345,139928,77657,76517,18805,49269
16,2007,653833,153447,30845,55947,49526,73012,387874,11141,294924,123596,46188,12181,0,41568,142176,0,0,0,28642,358909,408146,262309,145837,92820,99497,24456,65984
17,2008,821232,365405,151117,109946,96113,61742,357903,10095,373749,227232,64102,14500,0,70141,123568,0,0,0,22946,447483,625999,270132,355867,291264,297351,77662,190926
18,2009,913255,225753,84584,60604,59242,295207,353359,11458,438552,200582,47393,6191,83653,52901,122147,0,0,94243,21581,474702,443381,298120,145261,72520,68694,18845,42869
19,2010,878158,230086,86065,63321,56581,285933,326804,9060,376858,165118,47503,16443,42723,40309,196094,0,0,0,15645,0,426647,262930,163717,95649,118502,28018,80108
20,2011,912571,184853,55025,68115,51353,0,630566,6979,422344,108565,61516,27562,0,6692,223973,0,0,0,89806,490227,478370,281499,196871,120698,115115,38955,76161
21,2012,1264370,290492,100288,61390,74512,0,863752,5853,648194,123341,83659,25417,0,6956,420807,0,0,0,104046,616176,485068,299207,185861,129184,137615,39746,97869
22,2013,1451828,281323,71078,55197,102679,0,1060642,5065,784552,204093,105499,18947,0,79119,457125,0,0,0,122654,667277,477251,299859,177392,104866,81170,25513,55657
