"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",1992,82591,32509,5,1,15615,1,45852,3909,66579,37745,16,1421,2,4,1,1,1,1,1,8,126076,87866,38210,6026,3764,0,3764
"2",1993,149415,35450,17,14,19880,1,110158,4906,78903,57304,15,2927,2,11,1,1,1,1,1,15,83809,78973,4836,-26380,-29091,0,-29091
"3",1994,152260,48413,3,18,14827,1,100127,4901,76405,41972,14,-2063,2,7,1,1,1,1,1,16,92861,75876,16985,-10433,-20104,0,-20104
"4",1995,142703,54372,10,1,16104,1,84781,0,65308,43968,1,4377,1,6,1,1,1,1,1,18,102815,90334,12481,-16650,-21448,0,-21448
"5",1996,150244,57924,12,1,18678,1,79245,0,51346,40888,1,3496,1,5,1,1,1,1,1,21,150023,91051,58972,24292,21575,0,21575
"6",1997,153034,55151,19,3,26245,1,83310,0,40455,33059,1,7752,1,14,1,1,1,1,1,3,150438,101313,49125,18393,16684,2369,13727
"7",1998,153969,60739,11,1,20770,1,75033,0,52792,43760,1,5761,1,9,1,1,1,1,1,2,145763,113229,32534,-7510,-12325,0,-12325
"8",1999,137402,57976,13,1,13394,1,68717,0,37554,30511,1,7799,1,3,1,1,1,1,1,22,153431,118897,34534,608,-1087,198,-1342
"9",2000,122681,51807,9,4,14011,1,64526,5214,37061,20187,1,4806,1,10,7,2,2,3,2,19,132521,107185,25336,-6836,-5638,-1757,-3372
"10",2001,102649,40081,7,17,12140,1,54992,667,33170,20723,17,2727,2,13,5,1,1,2,2,14,117098,105013,12085,-20346,-23944,-6096,-16082
"11",2002,94990,45909,6,2,10647,1,41035,401,42247,36734,7,3586,2,12,6,2,2,2,2,11,46647,41530,5117,-10747,-8774,-6014,-17138
"12",2003,82772,44960,1,6,8738,8,29192,0,33303,31044,3,4704,2,1,4,2,2,2,2,10,114960,96000,18960,-6140,-4188,-717,-3263
"13",2004,81723,49462,1,10,8912,11,28496,0,21780,20816,2,3765,2,1,8,2,2,2,2,13,124460,89621,34839,15578,15358,4341,9759
"14",2005,113044,81551,1,12,12194,7,27287,4145,35859,35158,5,11850,2,1,3,2,2,2,8,17,164169,102731,61438,34454,33270,10219,20089
"15",2006,86456,72079,15,7,4320,3,11907,1514,31495,26085,13,1095,8,2,2,2,2,2,10,12,102182,39620,62562,54921,55245,15127,35733
"16",2007,267095,205953,8,15,12122,2,53049,4906,65575,44278,6,1354,5,2,2,2,2,2,6,9,330885,151483,179402,161604,159419,45209,101106
"17",2008,173874,112833,18,5,15423,10,51613,1875,52320,22938,12,1810,4,2,2,2,2,2,4,4,201450,151242,50208,38417,33702,9061,22014
"18",2009,183884,131970,20,8,10828,12,45464,0,57137,28465,4,2929,7,2,2,2,2,2,3,6,188431,133464,54966,35383,34972,10093,21953
"19",2010,241548,188373,2,16,10956,9,42176,0,87172,60419,9,3956,6,2,2,2,2,2,5,1,277541,167230,110310,84854,85267,24110,54167
"20",2011,209930,150121,4,9,14747,6,49787,0,71672,48030,8,11386,9,2,2,2,2,2,7,7,297036,203078,93958,63803,62915,19036,43879
"21",2012,229261,124529,16,13,15979,4,104698,0,106787,58876,11,17482,10,2,2,2,2,2,9,5,270777,212307,58470,23668,24655,9199,15455
"22",2013,216843,101167,14,11,14561,5,112203,144,119907,81315,10,8173,3,8,2,2,2,2,2,20,258303,249762,8541,-42413,-43549,-8219,-35330
