"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",1992,30027,12433,6,1,7089,1,17565,18,21653,11771,1,3076,1,18,1,1,1,1,1,21,21217,23240,-2023,-8857,-5662,0,-5662
"2",1993,37386,12775,7,1,8009,2,24611,0,23867,12390,1,3819,1,15,1,1,1,1,1,5,22524,18409,4115,-3190,-137,0,-137
"3",1994,37685,14432,16,1,9840,2,23253,0,26214,13612,1,1939,1,21,1,1,1,1,1,4,31347,22744,8602,56,-1073,654,-1727
"4",1995,40027,14205,9,1,9935,1,25775,48,28909,18477,1,2687,1,7,1,1,1,1,1,3,30593,21139,9454,1770,-2819,652,-3471
"5",1996,66868,12304,4,1,7443,2,54491,0,28297,14078,1,1533,1,16,1,1,1,1,1,6,29059,20872,8187,902,-3737,659,-4396
"6",1997,75366,23545,20,1,7824,2,51772,0,28042,14272,1,1337,1,13,1,1,1,1,1,15,36146,23257,12890,4077,3463,0,3463
"7",1998,86241,35619,17,1,13619,2,50517,0,37380,24026,1,4741,1,12,1,1,1,1,1,20,44585,27199,17386,5823,1386,174,1148
"8",1999,80039,31481,18,1,13217,2,48487,0,32109,21573,1,1462,1,2,3,1,1,2,1,16,43713,27215,16498,6769,-1381,-445,-936
"9",2000,96732,30346,15,1,16238,2,45173,0,48787,14370,1,2069,1,11,12,2,2,3,2,17,36454,22221,14233,5210,1908,24,26
"10",2001,75785,32951,10,14,14343,1,42699,135,27751,17755,11,3238,2,3,16,1,1,2,2,18,38487,25764,12723,4033,228,96,68
"11",2002,79033,29597,12,15,12598,1,43736,0,30947,15908,5,1842,2,14,9,2,2,2,2,19,39058,29970,9087,145,36,1,33
"12",2003,63092,20075,1,13,9955,2,40339,0,22206,14277,8,1912,2,1,15,2,2,2,2,8,35773,24824,10948,304,-1183,205,-1473
"13",2004,59139,18474,1,11,10982,2,38773,0,17291,12700,9,2112,2,1,13,2,2,2,2,10,39243,24951,14292,2195,1647,0,865
"14",2005,57559,19549,1,12,10877,2,35786,0,16037,13332,6,1410,2,1,11,2,2,2,2,9,42950,26824,16126,2552,1290,0,1290
"15",2006,59086,22247,8,10,14028,2,34346,0,17234,15629,7,2807,2,17,7,2,2,2,2,11,45247,27709,17537,3483,3161,960,1846
"16",2007,63050,30293,19,2,14198,2,32757,0,20411,19312,3,418,2,4,4,2,2,2,2,14,51796,32154,19642,5731,5047,1420,3101
"17",2008,70008,39249,13,3,21331,2,30759,0,28039,26567,13,455,2,9,8,2,2,2,2,12,53510,32354,21156,6243,4659,1396,2747
"18",2009,64150,32479,14,7,12696,2,31671,0,21704,20540,4,756,2,6,5,2,2,2,2,13,57213,35646,21567,2382,1374,530,649
"19",2010,61226,32416,11,4,15739,2,28810,0,18916,18739,10,1006,2,19,10,2,2,2,2,1,53633,30361,23272,4601,4207,1406,2280
"20",2011,54381,27858,3,5,13585,2,26523,0,15421,14529,2,3530,2,20,6,2,2,2,4,7,54777,29483,25294,5479,5287,1937,3350
"21",2012,135128,41502,21,6,22714,2,93505,0,24731,24592,12,3487,2,10,14,2,2,2,5,2,62393,35234,27160,4357,4227,0,4227
"22",2013,129650,39748,5,8,20759,2,89683,0,43034,23052,14,4858,2,8,2,2,2,2,2,22,69721,41650,28071,2418,1752,0,1752
"23",2014,128652,42429,2,9,22393,2,85918,0,40295,20751,15,2927,2,5,2,2,2,2,3,23,74192,43937,30255,5441,4750,0,4750
