"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",2003,2059035,821890,1,100765,508380,0,1230722,0,1280333,1136477,182241,146362,126147,1,0,0,0,0,143856,10,6661661,6413208,248454,41186,63695,32074,24453
"2",2004,2341640,1044056,1,127957,721591,0,1274986,0,1550185,1258879,163016,159470,247710,1,134786,0,0,0,156521,11,7498099,7280237,217862,-4809,70006,60750,352
"3",2005,2500878,1329323,1,269216,818057,44,1142922,0,1394154,1012952,88459,570718,179869,1,195096,0,0,0,186106,2,8818131,8003174,814956,580990,503540,111225,341409
"4",2006,765672,418808,9,65920,232778,28637,296636,0,475058,364884,65048,24143,63004,6,60420,0,0,0,49754,5,2765238,2630782,134456,52562,32070,3392,27420
"5",2007,1037943,553117,6,86034,337579,90120,274870,0,681703,597769,24548,31499,13410,9,35155,0,0,0,48779,6,3490654,3242915,247739,165032,141118,37160,90194
"6",2008,892267,507247,2,68287,172778,90038,259255,0,670009,573993,23457,29361,42398,8,96015,0,0,0,0,3,4383688,4375478,8210,-92239,-145761,-41711,-88600
"7",2009,894307,563821,7,112587,309379,87652,236706,0,627601,346908,16023,43472,62911,7,280297,0,396,0,0,4,2758607,2573980,184628,91637,78561,20597,50336
"8",2010,967017,648071,5,162134,352869,86361,228680,0,676966,261809,38007,63470,0,3,406408,0,2192,0,6557,1,3498359,3330182,154444,53924,50033,10360,39673
"9",2011,1299762,815547,8,162302,517492,83876,398117,0,805477,269880,62211,32481,198,4,483643,0,3030,0,48802,9,4521981,4283955,238026,137428,137138,35300,101838
"10",2012,1326897,851116,4,217790,509691,82441,391561,434,833418,414940,237933,56177,60,2,373481,0,937,0,43933,8,4788313,4665209,123104,27781,29287,-886,30173
"11",2013,1242937,738250,3,221432,450966,0,422112,289,812964,429461,180863,38352,0,5,352577,0,906,0,29870,7,4278235,4220644,57590,-41373,-61921,-12405,-49516
