year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,Cpp,V57,V71,V72,V73,V79,V85,V86,V91
1,1992,136155,0,0,0,NA,0,0,0,55690,0,0,0,0,0,0,0,80465,0,NA,0,0,0,0,2153
2,1993,178974,0,0,0,NA,0,0,0,63543,0,0,0,0,0,0,0,115431,0,NA,0,0,0,0,21504
3,1994,200825,0,0,0,NA,0,0,0,86023,0,0,0,0,0,0,0,114802,0,NA,0,0,0,0,2629
4,1995,262959,0,0,0,NA,0,0,0,138922,0,0,0,0,0,0,0,124036,0,NA,0,0,0,0,32696
5,1996,358281,151014,37244,0,NA,0,0,0,0,62062,0,0,0,7766,0,0,133103,0,NA,0,0,0,0,16792
6,1997,477081,257581,0,0,NA,0,10559,0,0,82707,0,0,0,0,0,0,151100,0,NA,0,0,0,0,25027
7,1998,592127,204186,0,0,NA,0,12546,0,0,89026,0,0,0,0,0,0,175498,0,NA,0,0,0,0,32014
8,1999,723362,222809,0,0,NA,0,14813,0,0,96012,0,0,0,0,0,0,198183,0,NA,0,0,0,0,34489
9,2000,865316,338154,0,0,NA,0,19310,0,0,153138,0,0,0,0,0,0,209514,0,NA,0,0,0,0,21873
10,2001,1055604,442285,171778,0,NA,534766,20696,0,830775,203139,0,0,0,39591,0,0,224829,529158,NA,140276,25512,19345,0,16948
11,2002,1373395,854177,412403,647,NA,473765,18246,0,1043237,242897,0,0,0,5078,0,0,330158,665180,NA,97774,188707,187301,36332,107060
12,2003,1668679,969343,407492,247,NA,653131,19043,0,1273027,269659,0,0,0,1426,0,0,395653,939619,NA,199014,97868,88542,-63,84845
13,2004,2166678,805061,378485,151,NA,1216960,41304,0,1729818,283278,0,0,0,0,0,0,436861,946135,NA,191393,71810,52444,0,48960
14,2005,2572369,746498,335871,187,NA,1674011,39938,0,2100688,347171,0,0,0,175,0,0,471681,1101065,NA,228953,82677,80177,0,72504
15,2006,2855749,646160,209642,138,NA,2053125,40673,0,2335723,336286,0,0,0,4764,0,0,520026,1266983,NA,258366,110236,109892,0,98604
16,2007,3079186,1429137,1002832,69,NA,1494828,41240,35210,2542730,503210,0,0,0,3872,0,0,536456,1262256,NA,147509,87236,86811,0,84110
17,2008,3346447,1021533,525835,0,NA,2169280,40601,26924,2796851,567727,0,0,0,7202,0,0,549595,1337473,NA,233074,77447,78528,0,70030
18,2009,4051516,895094,284054,0,NA,3003385,42142,23678,3222931,629164,0,0,0,553,0,0,828585,1779281,NA,478951,182785,182785,7656,155999
19,2010,4953798,1140862,450166,0,NA,0,41854,19310,3819602,927270,0,0,0,0,0,0,1134196,1822789,NA,546864,0,0,5641,226028
20,2011,5263937,1456674,446195,0,NA,0,67866,4854,4152722,1003448,0,0,0,0,0,0,1111215,1931884,NA,554033,0,0,729,256826
21,2012,6068727,1797596,534424,0,NA,0,154446,58140,4803289,1165364,0,0,0,0,0,0,1265438,2197746,NA,556800,0,0,-238,173674
22,2013,7713265,2742935,591179,0,NA,0,238365,47429,6580911,1929841,0,0,0,0,0,0,1132354,2526142,NA,651762,0,0,0,132132
23,2014,8962013,2472003,247414,0,NA,0,214717,156885,7641378,2353510,0,0,0,0,0,0,1320635,2752499,NA,759272,0,0,16753,202494
