year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1999,258054,51162,327,0,24945,0,166936,29,98175,52196,0,5969,0,6074,0,0,0,0,0,159880,37312,18769,18543,7585,-42,120,-162
2,2000,276300,66189,374,0,31958,0,177968,31,115826,62355,0,5036,0,3737,0,0,0,0,0,160473,50912,23935,26977,16145,6682,1002,5680
3,2001,383899,85077,188,97,39475,0,265606,32,153714,83522,8955,11363,36698,8880,70192,0,0,0,0,230185,68199,36606,31593,18007,13112,1298,7359
4,2002,374451,51746,3412,722,38116,0,291427,31,154587,63371,12232,11301,23605,40,91216,0,0,0,0,219864,54023,39739,14284,-358,-75,772,-848
5,2003,452410,59134,0,539,45576,137,310896,79,138533,60979,22682,25284,851,0,75906,0,0,0,1648,313878,85772,57934,27838,6091,8165,1648,6517
6,2004,462259,64345,0,636,47884,1307,313992,79,155754,65600,16852,29517,0,0,61776,0,0,0,18083,306505,131508,87034,44474,27052,42957,4802,22757
7,2005,448601,65815,0,826,42727,1262,285437,0,140020,72864,14159,40300,0,0,41533,0,0,0,21304,308581,89916,64016,25900,8143,20701,3009,15462
8,2006,449993,61949,1469,19,42181,29143,255700,0,135576,37860,11889,23503,0,1627,12211,0,43895,0,23211,314417,116348,79003,37346,21227,16154,2171,12376
9,2007,567855,72386,872,1458,39351,31430,358086,0,156759,52925,24407,21048,0,5082,43840,0,12476,0,31600,411096,93212,62491,30721,19055,9055,1177,7006
10,2008,545295,80028,2106,2320,37541,33991,327478,0,179334,77826,19499,36365,0,20362,33741,0,22141,0,31304,365961,68362,54573,13789,5621,-8002,1243,-10165
11,2009,402641,50860,593,9628,2259,447,344802,0,221218,90304,15013,54469,46,20777,27847,0,79418,0,23014,181423,79843,65822,14021,-18951,-30662,-1557,-27941
12,2010,410045,66653,1362,13008,5099,425,333068,143,203192,60931,21495,18626,5571,9766,101531,0,10568,0,27249,0,130557,68692,61865,55340,45840,7164,33371
13,2011,491609,81496,1999,13152,11149,0,334800,189,179324,58681,18873,15689,426,18546,87016,0,6722,0,26906,312285,165099,89406,75693,126874,118146,18008,100138
14,2012,496145,38256,5218,3111,24299,410,354168,852,184072,32031,15866,6120,191,0,0,0,4316,109402,35067,312073,143213,88807,54406,15785,10690,2011,8680
15,2013,525026,41765,4365,5851,21478,404,382633,1240,221157,55277,20955,6307,19095,0,0,0,2785,129173,33923,303869,142584,107657,34927,19917,885,237,648
