year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,98182,57516,14447,0,19045,0,40666,0,80152,30806,4569,1223,0,0,18030,115502,67359,48143,18432,14296,4969,7756
1993,63192,31967,1517,0,17626,0,31225,0,55824,13189,0,14,0,0,7369,88943,68268,20676,-6908,-9091,0,-9091
1994,74934,48144,7439,0,26191,0,26790,0,56990,21562,3706,439,0,0,17945,98396,66215,32181,17296,16488,4436,10585
1995,74052,38949,7241,4328,19417,0,35104,0,44371,17362,6012,0,0,0,29681,108790,84153,24637,24637,13484,2167,12618
1996,84900,45890,5724,0,17039,0,39010,0,42410,23560,6830,4301,0,0,42490,101963,51616,50348,24450,14647,1061,13235
1997,106369,49381,8497,0,17947,0,56988,0,52364,40581,14763,12883,0,0,54006,116663,69861,46802,20194,18297,4258,12632
1998,110390,56508,5437,0,24446,0,53882,0,53207,46340,11628,25873,0,0,57183,103959,68222,35737,8457,6329,1425,4433
1999,104154,55274,7566,4537,17060,0,48880,0,34288,30789,19825,570,0,0,69866,152710,108307,44403,12359,19852,4657,13655
2000,99256,50545,3522,0,19542,0,48711,0,20786,18436,8745,0,0,0,78470,133390,91445,41945,10329,14633,3836,9528
2001,92980,46431,5723,14160,20056,0,46549,0,19897,18435,9825,8022,1462,0,73083,95703,74000,21703,-7483,-4466,0,-4466
2002,92970,53238,19005,10342,16205,0,39732,0,12035,12035,12035,0,0,0,80935,111362,76403,34959,7559,10180,1770,7824
2003,99998,59830,0,5868,19243,0,40168,0,10844,10844,10844,0,0,0,89155,117549,75225,42324,17454,14928,4343,9148
2004,121735,83657,0,8289,24215,0,38078,0,15881,15881,15881,0,0,0,105854,139411,71161,68250,48090,26588,6609,17552
2005,178847,111198,0,14693,22599,0,47341,20308,31389,31389,31389,0,0,0,147458,183034,82305,100729,78547,69708,15859,48023
2006,373785,296597,91204,15749,30801,0,58405,0,141367,141367,20598,24660,0,0,232418,496165,135115,361051,338539,203364,46488,140254
2007,383548,268927,128904,40657,26608,0,109828,0,98794,55216,31295,0,0,43579,284755,378531,162191,216341,174092,134610,35898,86315
2008,270316,145546,68722,9747,23997,0,113856,0,73858,19984,18366,0,0,53875,196458,157087,143784,13303,-37007,-20801,-4709,-14297
2009,300556,200876,133904,23909,19269,0,89631,2153,85540,32439,22940,516,0,40270,215016,222915,109982,112933,38385,31069,15936,9248
2010,278435,191965,130999,22775,13085,0,74210,2648,73373,32845,14731,60,0,40528,0,278411,134279,144132,44528,43234,19923,23311
2011,317242,218421,175472,23334,17523,0,78881,2629,78646,37800,18192,0,0,0,238596,253818,149730,104088,75523,75484,18428,57055
2012,293815,122062,44302,29427,15453,0,150230,9952,97638,32085,21155,0,0,4612,196176,219216,165748,53468,42188,40412,7374,33038
2013,248221,97435,37604,32406,15481,0,118559,10424,93082,28322,14440,0,0,4520,155138,187070,153440,33630,-542,2886,3102,-216
