year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,2000,697003,279050,5051,0,84946,0,329990,64397,494394,369964,44587,66182,81371,141485,56397,0,0,68033,0,202609,401762,319249,82513,50636,24244,0,24244
2,2001,463006,211734,11953,100381,78032,0,206381,38089,260447,197235,13883,38552,33968,80484,51604,0,0,8353,0,202559,449768,342480,107287,73872,23803,3105,19799
3,2002,432293,225196,2432,119953,99859,0,173538,25680,223704,153387,12091,49283,19081,59487,30930,0,0,35948,0,208589,439543,343136,96407,61515,33313,11472,18147
4,2003,502303,247453,0,123808,111923,0,173350,69610,263647,176302,18947,52511,14034,0,39101,0,0,24157,24087,238656,502213,378515,123698,81010,64728,20295,38226
5,2004,592936,294891,0,167146,108770,0,175965,92145,298436,224781,17162,106513,20070,0,39583,0,0,7315,26756,294500,657494,445513,211981,159877,136671,36422,89691
6,2005,882380,509448,0,195657,154577,0,208511,155353,393585,299898,24337,218873,32615,0,43399,0,0,7380,42909,488795,1024552,519172,505380,451176,421831,107595,283049
7,2006,953836,486825,165274,82826,134183,0,247798,176923,444754,342246,38200,53085,89206,13331,2014,0,0,6785,70629,509082,1172989,608184,564805,491620,436886,120843,281016
8,2007,282360,122946,54509,19578,41782,0,77133,69867,117206,83218,18708,13502,31772,595,0,0,0,2003,24872,165154,372074,168634,203440,166446,161134,42770,105967
9,2008,1097627,505636,178638,130757,173909,0,354688,217582,458993,354745,62967,48355,144542,0,0,0,0,5790,75468,638634,1432518,613506,819012,674185,683264,188122,440615
10,2009,1267036,411394,35858,114216,154037,0,510821,322650,889863,741918,70020,48793,607896,0,0,0,0,5611,114290,377172,1002963,549928,453035,279585,269679,78366,168599
11,2010,2479267,1466306,737201,394129,231126,0,577887,413557,1395804,1214183,88027,32616,737868,0,0,0,0,5213,115169,0,2084282,541748,1542534,1330679,1342689,370705,870163
12,2011,3852877,2453285,2074849,140537,212281,1374,962187,403418,1242634,946086,54525,266309,438525,0,1350,0,0,4711,233752,2610243,3070120,847472,2222647,1973727,1943733,714089,1229644
13,2012,3892901,2418375,2044435,54723,243187,1410,1079356,374340,2753363,1769406,89838,200683,1477644,20,630350,0,0,4572,229093,1139538,2002211,881462,1120749,919531,942106,292903,649203
14,2013,5263217,3485661,2628244,215697,221634,1388,1282641,469275,3886545,2833199,246022,195188,2019460,954,678773,0,1414,4933,260659,1376672,2390575,944132,1446443,1223105,1219545,384301,835244
