year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1992,16359,14338,1412,0,8727,0,2021,0,7634,6237,0,4519,0,465,0,0,0,0,0,8171,22808,18426,4382,-885,187,162,4
2,1993,12393,11055,902,0,7098,0,1338,0,5304,4404,0,3086,0,87,0,0,0,0,0,6490,19693,14859,4834,570,659,192,396
3,1994,15168,12787,545,0,6857,0,2381,0,7146,5156,0,2020,0,421,0,0,0,0,0,7045,22907,17696,5211,1218,955,295,563
4,1995,14367,10542,401,0,6421,0,3825,0,6728,5392,0,2123,0,701,0,0,0,0,0,7448,23167,18034,5133,1235,734,291,355
5,1996,15886,11710,205,0,6871,0,4062,0,7337,6723,0,2856,0,1427,0,0,0,0,0,8190,23185,17284,5901,1733,1210,339,746
6,1997,15152,11232,341,0,7394,0,3788,0,6535,6298,0,2095,0,2040,0,0,0,0,0,8221,20580,15574,5006,806,405,115,248
7,1998,15778,11972,407,0,7115,0,3669,0,7415,6101,0,3121,0,316,1183,0,0,0,0,8362,18004,13187,4816,501,169,54,141
8,1999,12658,9138,160,0,5685,0,3399,0,4540,3995,0,1982,0,8,385,0,0,160,0,8118,17632,13161,4471,254,64,0,-242
9,2000,11158,7743,164,1782,5172,0,3304,103,4482,4381,1283,2705,0,11,0,0,0,0,0,6675,11840,9298,2542,-1172,-1357,0,-1362
10,2001,10714,7368,179,1775,5039,0,3252,86,3976,3969,978,2209,0,782,0,0,0,0,0,6739,12330,8560,3771,261,55,0,60
11,2002,9880,6188,0,963,4712,0,3622,70,3133,3087,602,1039,0,0,0,0,0,0,46,6747,11695,8114,3581,184,20,0,20
12,2003,9226,5348,0,1219,3564,0,3552,55,3331,3121,1100,1123,0,0,210,0,0,0,0,5896,8456,6159,2297,-1022,-1078,-162,-861
13,2004,9607,6183,0,2207,3224,0,3268,38,3663,3481,1438,1543,0,0,0,0,0,0,0,5944,10791,7603,3188,757,400,-14,417
14,2005,9307,6010,498,1876,3064,0,3094,21,2664,2138,849,1145,0,142,0,0,0,0,0,6643,14082,10123,3958,1189,915,111,763
15,2006,12652,9656,469,3536,4756,0,2820,5,5985,5493,1607,3592,0,289,0,0,0,0,0,6666,14204,10692,3512,796,749,187,493
16,2007,16018,13266,1080,0,4551,0,2483,36,8980,7997,5610,2331,0,0,0,0,0,0,0,7039,18844,14016,4827,1790,1605,434,1010
17,2008,10505,7818,869,2909,3820,0,2458,32,2394,2136,852,1283,0,0,0,0,0,0,0,8112,16706,12098,4608,1281,1505,408,945
18,2009,11991,9061,1142,2528,5309,0,2727,23,3598,3223,544,2145,0,491,0,0,0,0,0,0,15385,10787,4598,1512,1368,377,846
19,2010,24593,11632,2343,3861,5370,0,12757,64,9141,5751,1539,4000,25,119,299,0,0,0,3091,15453,17561,13560,4001,810,676,200,476
20,2011,27331,11544,3530,4368,3546,0,15572,84,8252,4001,565,3314,0,122,202,0,0,0,4048,19080,21793,16059,5734,2788,2453,765,1688
21,2012,26666,11433,5133,2285,3554,0,14947,114,7393,3314,488,2702,0,124,94,0,0,0,3985,19273,13594,9098,4496,1256,1460,457,1002
22,2013,25353,10663,5466,1050,3759,0,14544,136,6972,3248,811,2178,0,99,0,0,0,0,3724,18381,9328,6747,2581,-434,-210,-34,-176
