"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",2004,360539,63681,1,32669,10160,88,296219,0,82490,26633,22138,2089,0,1,55857,0,0,0,0,7,190543,161033,29510,3664,2393,1649,475
"2",2005,355652,83428,1,34815,13130,86,271525,0,90107,30314,25913,2417,0,1,59793,0,0,0,0,5,207374,175416,31958,5891,4113,2512,1160
"3",2006,359853,85198,2,31643,18185,111,274010,0,94437,29796,19514,6407,0,2,0,0,64641,0,0,4,221372,179970,41403,15151,9677,5178,3591
"4",2007,350417,102350,8,29994,19084,176,247217,0,95139,30321,19195,5493,0,2,0,0,64818,0,0,3,213189,166990,46199,22284,21621,7491,12816
"5",2008,341494,117476,9,33855,16416,162,222412,0,98125,34217,18820,15397,0,2,0,0,63907,0,0,2,215112,161101,54011,31328,31008,10569,18585
"6",2009,373643,125019,10,33159,20316,122,246980,0,99830,44816,23786,21030,0,2,0,0,55014,0,0,6,259834,187695,72139,34880,34892,13827,18638
"7",2010,369346,108785,7,34667,23977,112,260247,0,89873,82422,25583,14237,0,5,7451,0,0,0,0,1,264956,196883,68073,42500,40747,13098,25352
"8",2011,370103,107449,4,36133,22401,72,262448,0,90071,88447,31178,15835,0,4,1624,0,0,0,0,8,280703,212118,68585,38223,39518,11856,27663
"9",2012,422237,112813,5,42404,21761,54,294535,0,90723,89551,36509,7389,0,6,1172,0,0,0,0,9,321447,233441,88006,43143,44079,13329,30750
"10",2013,437812,124474,6,44851,27187,74,293780,479,100655,99703,16381,19201,17041,7,952,0,0,0,0,10,330229,241989,88240,44984,45498,14391,31107
"11",2014,454984,120555,3,52684,29067,73,331548,378,104354,80520,44055,19021,0,3,23835,0,0,0,0,11,390451,294163,96288,57550,59473,18226,41247
