year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1998,234051,105516,11700,0,31446,0,27933,0,66560,66560,16092,38637,0,0,167490,166954,92792,74162,40637,43380,11958,27955
1999,245340,120519,33958,60140,21668,0,29902,0,57983,57983,36015,16159,0,0,187357,237182,111191,125992,87457,85837,25170,53372
2000,223119,87795,15117,35709,30705,0,49006,0,39687,36080,15867,11565,0,0,183432,180450,106880,73571,39819,40614,11841,25417
2001,253688,76441,22058,26077,21736,0,94463,80809,61289,61289,31094,30195,0,0,192399,169200,116056,53144,25366,19957,4193,14113
2002,271695,64409,9812,22330,30550,0,121782,83240,63712,56503,16136,30755,7209,0,207983,177184,119838,57346,28754,30692,8029,20145
2003,210360,91790,0,30260,39482,4587,107497,2160,61272,61272,38673,0,0,0,149087,218659,139934,78725,51542,48237,12056,32190
2004,144910,46076,0,8134,27094,24,95668,853,24823,24823,19382,0,0,0,120087,160449,111872,48577,26213,25233,10384,11839
2005,152263,58409,0,21055,19442,23,91220,708,32821,32821,32821,0,0,0,119443,189416,101888,87528,64699,64977,19099,40341
2006,156624,49938,5050,17479,26383,19,93835,7256,94036,63377,21856,23218,0,0,62588,201898,82284,119614,93417,82555,23969,51640
2007,180040,55260,3886,13114,33427,17,106431,5411,122529,92691,33876,38032,0,0,57511,270967,90679,180289,156557,152781,39394,101967
2008,174943,54812,4311,13219,33628,49,103531,4124,100620,29668,20832,0,19715,16429,74323,305990,123667,182323,146359,138749,38307,89339
2009,215897,90571,30401,32745,24295,48,104942,3997,106348,54375,25254,19264,16053,0,109549,301495,137083,164412,137568,136210,36042,89720
2010,218338,115607,48405,49804,16025,2626,82580,3160,110730,53800,23876,0,29838,0,0,348937,105668,233189,205169,204108,55639,132343
2011,336277,211847,40235,39817,27104,0,124241,189,147611,101059,26458,29634,0,25903,188665,389558,141881,247677,220007,236947,71781,172609
2012,371398,253104,188731,40050,22000,0,113858,4436,136777,99167,36248,28806,0,10865,234621,391666,168389,223277,184911,182716,57776,133770
2013,332313,181804,102427,37625,29367,0,140202,10307,166268,86256,33683,31088,40711,5952,166045,300071,174667,125404,92558,81038,33798,47240
