year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1992,1018721,618925,35739,0,309904,0,399795,0,333447,233146,0,143669,0,10472,0,0,0,0,0,685274,2346834,1181659,1165175,776470,680692,268962,359522
2,1993,1203071,726880,24021,191878,419110,0,456696,0,390049,237249,0,123621,0,5850,0,0,0,0,0,813022,2223910,1347876,876034,481710,419434,171044,213599
3,1994,2314526,1177953,294175,0,475402,0,1115935,0,1021363,461705,0,156582,0,6193,0,0,0,0,0,1293163,2995019,1661052,1333968,814464,755451,212394,481165
4,1995,3631008,1924823,1058268,0,406359,0,1686845,0,978202,628747,0,416806,0,7525,0,0,0,0,0,2652806,4067479,1689335,2378144,1738739,1645398,461234,1050216
5,1996,3473373,1617013,722233,0,468278,0,1801647,0,722131,352317,0,152900,0,0,0,0,0,0,0,2751242,3217952,1434095,1783857,959274,938295,249365,616402
6,1997,4631885,2397437,1360616,245354,436933,0,2031232,0,1355065,338516,0,163258,0,58760,0,0,0,0,0,3276820,3554796,1858888,1695908,929292,935180,94211,777816
7,1998,4633713,1800475,875354,0,383226,0,2418230,0,1431672,335946,0,159817,0,0,1037369,0,0,0,0,3202041,2822210,1736600,1085611,227621,170573,66444,84309
8,1999,4639762,1253388,74561,0,520099,0,2861636,0,1551921,518758,0,214192,0,0,987825,0,0,0,0,3087841,2880257,1813295,1066961,16414,-60049,-5354,-53144
9,2000,5886954,2266682,795879,0,542911,0,2961735,0,2364584,549332,0,8536,0,0,1548531,0,0,262798,0,3522370,3461784,1957289,1504495,853166,792675,159728,570461
10,2001,6113160,2032558,1055495,302633,483651,0,3206297,695589,2454884,387296,262682,24438,9507,0,1806118,0,0,0,0,3658276,3172197,2029873,1142324,567579,453092,111721,308561
11,2002,5902003,1472761,704471,276749,444644,0,3343053,901314,1979633,280123,236784,43340,0,0,1437052,0,0,89649,0,3922370,3244802,2015567,1229236,987868,598311,154560,395704
12,2003,6827886,2229932,0,404655,380693,441,3350419,1069702,2387378,716494,175284,254357,7292,0,1346754,0,0,41224,282905,4440508,3788854,2227930,1560925,1328222,1186433,345839,739939
13,2004,9544139,4153724,0,1201460,423068,400,3827563,1190976,3174529,1689238,330458,1218108,5639,0,1072812,0,0,1354,411125,6369610,7279047,2277999,5001048,4747555,4462636,1248326,2852958
14,2005,9939181,3363290,0,3022743,431594,402,4808741,1287370,3067577,1569058,365344,1148595,12942,0,1138767,0,0,24818,309161,6871604,8759721,2482182,6277540,6037265,19794541,5538629,3687165
15,2006,8312120,3178981,1401718,1136083,488081,368,5011289,88708,2668386,1628142,331009,1254788,3649,38696,232178,0,0,773927,34138,5643735,11048287,2589140,8459147,8224458,7843991,2258243,4928637
16,2007,8459432,3736102,1969783,953061,633855,328,4601793,78685,2222616,1263920,256318,959478,13550,34575,172873,0,0,710714,51710,6236816,11039017,2819663,8219353,7470224,7486263,2009710,4893931
17,2008,6314055,1144625,203829,59192,675351,312,5036688,98280,1742262,870649,371490,433872,32428,32859,131435,0,0,675443,5340,4571794,8909522,3058461,5851060,5284511,5569041,1534368,3589346
18,2009,8291118,2642631,924985,919450,635328,22,5479693,168480,2237125,1257110,376867,623323,224813,32106,96318,0,0,659972,66646,6053993,7138263,2998312,4139952,3596043,3536721,981139,2269475
19,2010,8133630,2842200,924577,1250645,521281,32420,5011481,146782,2388329,1566597,352889,135699,15524,27125,54250,0,0,557583,76333,0,8553982,2859069,5694913,5192356,5074055,1393675,3276624
20,2011,7713933,1948058,173525,826164,758413,67091,5344819,122498,1262743,1019910,428354,140963,0,26940,26940,0,0,0,75930,6451190,8565863,3926388,4639475,4114369,4092838,1188554,2904285
21,2012,8466693,2188525,348280,874083,776029,28881,5117918,170110,988426,790710,317351,107335,0,26187,0,0,0,0,0,7478267,7731190,3661368,4069823,3582477,3704422,1102482,2601939
22,2013,10814746,2365950,357785,787347,911547,43710,6180730,528080,1115819,789614,429576,93609,0,0,0,0,0,0,103908,9698927,7389472,3973573,3415899,2956004,3037132,1002169,2034963
