"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",1992,106094,26754,20,1,125,1,63466,2,84007,42145,1,9065,1,19,1,1,1,1,1,13,49419,1231,48188,7255,5331,1719,3310
"2",1993,323522,106022,18,15,1414,1,74264,2,84952,76924,1,14850,1,13,1,1,1,1,1,14,76922,22097,54824,17005,12243,3510,6811
"3",1994,508703,61654,13,1,6933,1,198263,2,261086,81416,1,8943,1,11,1,1,1,1,1,15,96393,37552,58841,19076,13893,4210,7576
"4",1995,619174,81093,14,10,10080,1,248675,1,361235,95308,1,15369,1,8,1,1,1,1,1,16,149303,66521,82782,30392,18503,5306,10392
"5",1996,539436,79658,2,14,14581,1,246127,2,472104,312840,1,23629,1,10,1,1,1,1,1,21,185898,111547,74350,-14331,-190354,0,-190461
"6",1997,910863,173402,12,1,15344,1,398272,2,803946,744170,7,55620,1,15,1,1,1,1,1,4,320162,143320,176842,-56554,-126109,0,-126109
"7",1998,1741016,635047,7,1,50922,1,749145,2,1896756,1869063,1,482964,1,2,1,1,1,1,1,9,658822,238312,420509,44535,-346408,0,-346408
"8",1999,1654155,329707,6,4,29407,1,908112,13,1038511,974080,8,66102,2,20,13,1,1,2,1,20,677892,0,677892,-7525,-122719,47578,-188373
"9",2000,1706259,330004,16,1,52047,1,1031046,2,1201290,242189,1,59270,1,17,1,1,1,1,1,19,608275,493823,114451,-181988,-289399,15806,-305205
"10",2001,1507749,194841,3,3,32242,1,978182,12,1206491,248600,6,66228,4,18,14,2,2,2,2,17,148180,119403,28777,-30227,-47095,0,-47095
"11",2002,1369551,235217,19,2,34038,1,819476,11,1174967,213866,11,133255,2,16,15,2,2,2,2,12,679632,525713,153920,-72103,-106789,0,-106789
"12",2003,380055,66611,1,9,13342,4,221587,2,337895,64018,16,33805,2,1,4,1,1,2,2,18,198446,155432,43014,-12204,-22841,0,-22841
"13",2004,274435,45679,1,5,10476,3,169948,2,292060,290965,9,18348,2,1,2,2,2,2,2,10,192191,180971,11219,-46264,-62726,0,-62726
"14",2005,2784118,800695,1,6,108502,7,1556691,10,1666483,1393277,12,118157,6,1,3,2,2,2,3,6,1852996,0,1852996,26078,-24858,16318,-47130
"15",2006,3029666,1275902,11,7,200650,6,1300687,8,1979984,1385135,13,230425,5,14,6,2,2,2,2,3,2235453,0,2235453,32490,151,37876,-51752
"16",2007,2867518,773947,5,8,203015,5,1472540,6,1928144,1333043,14,211954,3,4,7,2,2,2,2,22,2964034,0,2964034,283640,254143,97783,119131
"17",2008,3246897,1057719,4,12,375934,2,1670726,3,2085658,1442993,15,348152,2,5,9,2,2,2,2,7,3500088,0,3500088,934875,889053,248469,549161
"18",2009,3497322,919637,8,11,206707,2,2009902,5,2486633,1646430,2,204310,2,3,12,2,2,2,2,2,3961176,0,3961176,1268559,1203204,340940,735693
"19",2010,3601380,990758,9,13,297892,2,2036027,9,2623840,1888775,3,211420,2,12,10,2,2,2,2,1,4030807,0,4030807,1159618,1113149,364148,749001
"20",2011,3868579,1178830,10,16,235267,2,1965388,7,2752469,1833829,4,318685,2,9,11,2,2,2,2,5,4285919,0,4285919,1015356,957845,309254,648590
"21",2012,4080478,1363192,15,17,207946,2,2040041,4,2698816,1899731,5,375957,2,6,8,2,2,2,2,8,4847674,0,4847674,1188023,1119271,375550,743721
"22",2013,4887889,1652677,17,18,339325,2,2219711,14,2973129,2304264,10,192349,2,7,5,2,2,2,2,11,5336534,0,5336534,1144998,1098206,369491,728715
