"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",1993,238237,42648,10,1,20403,2,195485,0,222752,67825,1,14563,1,7,1,1,1,1,1,15485,37684,31381,6303,-460,2530,1547,984
"2",1994,236687,54353,17,1,20858,2,182217,0,182641,41239,1,14476,1,12,1,1,1,1,1,54046,100860,79600,21260,3358,4327,2865,1462
"3",1995,240635,60768,15,1,29301,1,177548,0,182163,34627,1,9022,1,13,1,1,1,1,1,58472,91361,72103,19258,4272,-3593,2623,-6215
"4",1996,246394,66954,13,12,29855,1,177188,0,154693,40919,8,8263,2,16,11,1,1,2,1,91701,30125,23325,6800,3025,1364,643,721
"5",1997,260951,72085,4,13,32353,2,178177,0,141463,55702,1,6111,1,15,1,1,1,1,1,119488,127824,99364,28460,12346,3109,2701,408
"6",1998,286652,93087,11,10,51664,1,185389,0,160862,38416,10,2390,2,9,1,1,1,1,1,125790,156914,109100,47813,25266,9474,0,9474
"7",1999,432895,149868,14,14,60967,1,257964,0,277119,127026,1,6565,1,2,1,1,1,1,1,155776,184371,125643,58727,28673,2824,0,2824
"8",2000,680092,378111,2,15,55909,1,257061,0,313961,156624,1,8160,1,4,3,1,1,4,1,158603,234183,154243,79941,40715,9063,0,9063
"9",2001,645166,334965,6,1,51566,1,266047,0,479475,162574,1,5607,1,6,4,2,2,3,2,165691,267030,176442,90588,52831,21307,0,13390
"10",2002,508417,188750,16,17,57002,1,268326,0,378799,166930,9,6285,3,5,5,2,2,2,2,129618,216351,169379,46972,8990,-19972,-1566,-19197
"11",2003,475407,55235,5,2,29057,1,302283,0,366365,93425,12,13517,2,8,6,2,2,2,2,109042,209796,163528,46268,18194,-11130,0,-12442
"12",2004,520556,114963,1,5,50071,10,284643,0,445955,151924,13,22919,2,1,7,2,2,2,8,74600,201308,166262,35046,5489,28597,0,-8615
"13",2005,435768,82792,1,8,41816,6,269159,0,372394,56316,11,9569,2,1,9,2,2,2,3,63374,207691,180405,27285,-5731,1610,32,1566
"14",2006,418986,79154,1,3,47223,7,249291,3850,378939,65881,3,6613,2,1,8,2,2,2,5,40047,199553,159810,39743,5511,-12403,28,-12442
"15",2007,389803,71233,12,6,44321,5,235128,3354,355368,74242,5,19937,2,11,2,2,6,2,6,34435,188642,162227,26416,-11864,-4022,26,-4057
"16",2008,356260,70979,9,7,42170,4,212005,0,318785,80978,2,25587,2,10,2,2,5,2,4,37476,172751,144591,28160,2356,5532,0,5532
"17",2009,340870,87198,7,11,48024,8,187730,2304,329685,86992,6,0,2,14,2,2,4,2,7,11185,141892,116854,25038,-743,-24248,0,-24248
"18",2010,382684,104749,8,9,63559,9,191534,7177,363532,115318,7,0,2,17,2,2,3,2,9,19152,136064,113540,22524,-3793,9417,0,9417
"19",2011,177468,70148,3,4,42679,3,100723,6198,203820,123778,4,0,2,3,2,2,7,2,2,-26352,163403,162930,472,-29819,-37971,0,-37971
"20",2012,135732,38166,18,16,27490,2,91719,5472,133213,96654,14,2674,2,18,10,2,2,2,2,2519,82949,45417,37532,-8561,-8572,0,-8572
