year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,2002,29342,10773,23,0,0,0,0,0,165,165,0,165,0,0,0,0,0,0,0,29176,0,0,0,-45,-1817,0,-1817
2,2003,28676,14377,0,0,0,14298,0,0,322,322,0,322,0,0,0,0,0,0,0,28354,0,0,0,-67,-1463,0,-1463
3,2004,25185,9910,0,0,0,15275,0,0,20,20,0,20,0,0,0,0,0,0,0,25165,0,0,0,-100,-3108,0,-3108
4,2005,24721,1210,0,0,0,16195,0,0,84,84,0,84,0,0,0,0,0,0,0,24638,0,0,0,-64,445,0,445
5,2006,25422,11355,404,0,0,14067,0,0,203,203,0,203,0,0,0,0,0,0,0,25218,0,0,0,-77,-565,0,-565
6,2007,35311,23114,3261,0,0,12197,0,0,186,186,0,186,0,0,0,0,0,0,0,35125,0,0,0,-370,829,185,644
7,2008,28131,9250,450,0,0,18881,0,0,40,40,0,40,0,0,0,0,0,0,0,28090,0,0,0,-39,-3075,107,-3181
8,2009,33179,12593,115,0,0,20586,0,0,72,72,0,72,0,0,0,0,0,0,0,33107,0,0,0,-198,154,117,37
9,2010,40754,17522,1852,0,0,23231,0,0,3161,350,0,350,0,0,0,0,0,0,2810,37593,0,0,0,-64,4593,235,4358
10,2011,40153,14518,634,0,0,0,0,0,14230,13429,0,13429,0,0,0,0,0,0,801,25923,0,0,0,-106,2910,139,2771
11,2012,30236,3257,728,0,0,0,0,0,655,628,0,628,0,0,0,0,0,0,28,29580,0,0,0,-152,5959,1119,4840
12,2013,32022,3144,958,0,0,0,0,0,13,13,0,13,0,0,0,0,0,0,0,32009,0,0,0,-61,2879,112,2767
