year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1997,825003,89188,2839,0,55588,0,667546,0,170218,113346,0,69571,0,41792,0,0,0,0,0,654785,276881,243075,33806,-26279,-33626,0,-33626
2,1998,772465,72523,4455,0,43125,0,650603,0,224140,177229,0,114787,0,59619,0,0,0,0,0,548325,123634,169408,-45775,-87816,-75241,0,-89388
3,1999,1077289,56166,1828,0,45711,0,942679,0,225018,178334,0,140025,0,30871,0,0,0,0,0,852271,152010,155529,-3519,-51978,-45442,0,-37956
4,2000,1013590,58487,1318,0,43880,0,919477,0,238003,206288,0,182176,0,23053,0,0,0,0,0,775587,151869,151431,438,-53150,-37581,0,-34159
5,2001,1037672,75754,6142,0,57446,0,895728,0,255586,203083,0,180784,0,20512,0,0,0,0,0,782085,142171,135544,6627,-35657,-23530,0,-28417
6,2002,989528,75001,2227,831,59271,0,873045,0,243366,205231,2885,202337,0,10,38135,0,0,0,0,746162,129766,148063,-18296,-56347,-34102,0,-13576
7,2003,927214,68385,0,285,43572,123,851747,0,255070,226582,2675,223906,0,0,28488,0,0,0,0,672144,122421,152247,-29825,-80444,-64349,0,-66360
8,2004,887834,44385,0,873,30765,143,830961,0,278689,273583,2747,270835,0,0,5106,0,0,0,0,609145,116064,130551,-14487,-61712,-52647,0,-63062
9,2005,851204,54039,0,450,34320,231,789904,133,316005,313350,1365,311984,0,0,1138,0,0,0,0,535200,117182,99399,17783,-25962,-38992,0,-52918
10,2006,777524,122270,5609,27274,11155,370,649582,45,449022,423870,2071,411919,0,0,0,0,0,0,0,328502,103984,97169,6816,-31270,-42640,0,-42640
11,2007,784780,103023,2150,18005,11471,539,676097,24,509297,489937,50,475606,0,0,0,0,0,0,0,275483,125773,87928,37845,-11777,-26827,0,-26827
12,2008,734693,83227,10122,8714,14014,656,644822,261,471210,74353,3295,34873,0,0,0,0,388908,0,0,0,139306,75163,64143,12496,1948,1042,135
13,2009,900758,75401,18141,4112,12746,917,820940,0,501217,28324,78,13147,0,0,0,3408,308216,0,50751,399541,160323,84912,75412,12692,2161,6167,-4006
14,2010,908580,65493,2067,7544,13248,919,837338,0,458347,28048,7580,4854,0,0,0,8433,224000,0,29908,450233,135413,99464,35950,-17866,-20659,549,-21207
