"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",1992,1229781,432469,16,78590,152829,1,512259,0,306494,191610,8,88214,1,13,1,1,1,1,1,22,886624,457724,428901,162266,218770,31294,173853
"2",1993,1470754,506525,3,84747,168216,1,614257,0,457472,239447,18,102718,1,20,1,1,1,1,1,2,784595,431140,353454,130651,165331,11403,149708
"3",1994,2011905,491739,7,85523,182372,1,615224,0,847928,269149,1,152906,1,19,1,1,1,1,1,3,850811,418866,431944,208308,269772,49511,201872
"4",1995,2108309,454638,15,118769,189167,1,606728,0,808244,379335,12,151440,1,15,1,1,1,1,1,4,986446,439475,546971,274076,281294,61422,196998
"5",1996,3227564,860842,14,262497,393724,1,1378239,0,1248842,624778,1,149656,1,9,1,1,1,1,1,8,1442165,702557,739608,185090,175002,55193,62678
"6",1997,3314063,890383,19,225234,365895,1,1288660,0,1121874,379007,1,177021,1,12,1,1,1,1,1,13,1532451,617764,914687,396289,316463,35908,249101
"7",1998,3320058,823782,17,194144,359836,1,1227542,0,982618,508916,15,170542,1,7,10,1,1,1,1,17,1398213,545390,852823,334616,253317,67066,157691
"8",1999,3206370,1005632,12,172247,326333,1,1171861,0,887028,615133,16,215568,2,14,7,2,2,2,2,16,1264685,509179,755507,258301,339697,60917,249878
"9",2000,3324391,657940,13,139608,310542,1,1114635,0,1259545,421389,7,167120,5,4,16,1,1,3,2,10,1248569,487406,761163,309040,264122,76445,153328
"10",2001,3467903,635402,5,96653,279896,1,1115916,0,1161999,418569,5,217866,15,10,15,1,1,2,2,15,1256138,462166,793971,359544,274099,72286,162023
"11",2002,3504353,707117,6,74489,284322,1,1043150,486488,996554,488465,14,211449,2,2,12,1,1,2,2,19,1467648,492341,975307,508333,480165,129951,296600
"12",2003,3275954,566904,1,81086,172101,3,1075284,576346,1119398,515555,13,171179,6,1,13,2,2,2,4,12,1420182,513649,906533,429899,505210,119604,336385
"13",2004,3029700,482440,1,80228,151654,2,1014111,517097,675236,554193,17,150892,10,1,3,2,2,2,2,18,1403651,475683,927967,476019,429046,83600,314484
"14",2005,2845536,554320,1,20315,102131,12,948194,462149,560243,515497,9,317993,11,1,11,2,2,2,2,14,1552805,521095,1031710,592371,561703,160212,342153
"15",2006,3347766,859541,9,37387,193129,8,1360575,633185,672544,422106,19,71408,8,17,5,2,2,2,3,21,1962471,682606,1279864,731398,767108,198304,495250
"16",2007,3316870,879738,10,212283,199152,7,1407615,628339,793776,478934,2,247533,12,18,4,2,2,2,7,20,2413061,733005,1680056,536422,582209,164334,357011
"17",2008,3137908,699698,18,273028,236303,4,1529834,571814,1057756,686937,20,179826,4,8,17,2,7,2,6,11,2493359,800114,1693245,661639,689026,190644,427773
"18",2009,3416260,811838,11,244394,232076,6,1638911,601555,1438730,738925,4,353691,13,16,9,2,8,2,8,7,2723858,853600,1870259,805847,852991,225913,543407
"19",2010,3312350,835674,8,210782,177295,5,1555551,564686,1359147,1038870,3,352373,7,11,14,2,3,2,5,1,2848422,823763,1999581,734219,788896,236346,552550
"20",2011,3377044,837779,4,226400,189979,11,1763502,486009,1361603,953062,6,367550,9,3,2,2,5,2,9,9,3090886,867693,2223193,962686,1044939,313306,731633
"21",2012,3542450,720380,2,280497,185192,9,1974399,554113,1688047,1111312,11,458250,3,5,6,2,6,2,11,6,3561957,974095,2587863,1187788,1356270,381624,974645
"22",2013,3636424,765516,20,301536,195924,10,2022671,286296,1793564,1079067,10,484277,14,6,8,2,4,2,10,5,3582222,960123,2622099,1221192,1314511,388345,926166
