"year","V2","V3","V5","V7","V10","V19","V26","V27","V34","V35","V38","V39","V40","V37","V47","V48","V49","V50","V51","V57","V71","V72","V73","V79","V85","V86","V91"
"1",1992,519947,82260,15,1,57463,1,373939,0,49950,38902,1,23396,1,11,1,1,1,1,1,12,314567,195062,119505,32005,27701,11264,16436
"2",1993,597405,191434,2,1,72978,1,351113,0,87286,79050,1,48274,1,7,1,1,1,1,1,13,399839,202052,197788,157820,98014,33068,52632
"3",1994,648261,274162,5,1,93217,1,323099,0,124202,113621,1,76174,1,20,2,1,1,2,1,14,489797,213926,275871,162934,172709,52467,100731
"4",1995,706380,281397,4,1,131977,1,374769,0,118424,104212,1,61787,1,17,1,1,1,1,1,15,590689,291882,298807,184160,197293,56916,119183
"5",1996,997039,279169,3,1,118405,1,640132,0,343138,130964,1,66779,1,3,1,1,1,1,1,16,605314,296281,309033,190698,207618,61804,122871
"6",1997,1315585,329716,6,1,128889,1,882520,0,553750,158262,1,90000,1,19,1,1,1,1,1,17,708607,357429,351178,252998,278815,75411,175354
"7",1998,1476290,261225,16,1,156563,1,1079617,0,614248,204224,1,88023,1,8,1,1,1,1,1,18,725657,299370,426287,299598,293877,80818,183025
"8",1999,1531953,260801,14,1,183080,1,1136504,32857,603164,197159,1,83162,1,5,1,1,1,1,1,19,684711,261815,422896,282940,254428,70716,157455
"9",2000,1462169,275051,13,16,204844,1,1040671,38649,555758,307657,16,65095,2,14,7,2,2,4,2,20,666068,247606,418462,240509,199264,39348,139151
"10",2001,1352420,248936,21,3,195697,1,957936,41907,413758,204738,12,63476,15,13,4,1,1,2,2,22,640424,269119,371305,190658,178687,59081,99196
"11",2002,1310406,239243,20,5,176110,1,894801,40830,396622,263195,5,87635,16,12,11,1,1,2,2,21,703605,306176,397430,208578,199462,48469,128515
"12",2003,1267215,250220,1,6,188228,9,856718,65294,282979,190413,6,34733,8,1,8,2,2,2,13,23,708239,313950,394289,185087,186888,49022,122364
"13",2004,1252198,279046,1,4,211901,8,802631,67782,248259,168918,9,42842,10,1,12,2,2,2,14,3,723539,404990,318549,185112,201008,56859,123292
"14",2005,1297026,327289,1,7,227080,7,777458,67724,294146,237983,7,42616,3,1,2,2,2,2,12,2,810277,476057,334220,196517,190818,50408,121666
"15",2006,1300708,263924,12,2,153167,3,734980,60730,232431,185970,4,27794,4,18,2,2,2,2,7,4,912408,512003,400405,249691,258839,67257,166671
"16",2007,1602144,326518,9,8,192566,10,723043,58079,512574,295380,3,52695,7,2,6,2,2,2,5,6,992533,488136,504397,350900,359138,92701,232104
"17",2008,1873448,365672,18,9,243286,11,710486,54915,792638,336048,11,29948,5,6,10,2,2,2,3,5,1024568,506251,518317,357746,319378,88164,198560
"18",2009,2509428,426081,17,12,239391,12,850205,59219,1260826,371175,10,32803,6,4,14,2,2,2,6,7,1051828,537937,513891,324569,331250,86980,212055
"19",2010,3116236,589559,8,10,228564,5,960685,56226,1804735,752105,8,48576,9,9,15,2,2,2,11,1,1162440,538286,592791,396624,324664,99649,189186
"20",2011,3824910,396629,10,11,225827,4,2033646,44204,1857248,719529,13,36470,13,10,13,2,2,2,4,8,1070065,554710,515354,327669,314019,92427,221593
"21",2012,6241505,723211,19,15,431251,2,3704314,69085,2848655,1201883,2,37782,12,21,3,2,2,2,9,9,1773079,1015631,757448,508923,530193,160563,369630
"22",2013,6559755,941681,7,14,474685,6,3742582,70025,3117145,907879,14,44210,11,16,5,2,2,3,10,10,1805734,1046686,759048,522938,307561,101107,206454
"23",2014,8293095,942546,11,13,600661,2,3886221,68636,4680198,879805,15,73064,14,15,9,2,2,5,8,11,1877145,1048811,828334,580593,313080,23867,289214
