"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176"
"No.Consolidado","ACTIVO","Activo total","Activo Corriente","Tot ac co dist ac p/disp","Efectivo","Inversiones CP","Cuentas por cobrar CP","Otr Cuentas p Cobr CP","Otr cuent por cobrar CP","Inventario","Activos Biologicos CP","Cuen cobr impuestos corr","Gast pagados por antic","Otros Activos CP","Ac ncor p/disp mpv o pro","Ac nco p/dis cl man p/ve","Ac nc p/di cl dis a prop","Activo no Corriente","Inversiones Financieras","Invers al Metodo d/Parti","Creditos Comerciales LP","Otr cuentas p cobr LP","Doc por Cob Emp Relc LP","Activos Biologicos LP","Inversiones en Inmuebles","Prop, planta y equi neto","Intangibles y agio","IR Partic Diferid Activo","Credito Mercantil","Otros Activos LP","","PASIVO","Pasivo + patrimonio neto","Pasivo total","Pasivo Corriente","Tot pa co dist pa m p/ve","Deudas Financieras CP","Provedores CP","Otros Pas no Comerc CP","Letras por Pagar CP","Provisiones CP","Deu Fin LP Porcion CP","Prov cor p/bene a emplea","Otros CP","Pasivos mantenid p/venta","Pasivo no Corriente","Prestamos LP","Cuentas por Pagar LP","Otras Cuentas Pagar LP","Obligaciones LP","Imp Rend y Part Pasv Dif","Provisiones LP","Prov no co p/bene a empl","Otros LP","Ingresos Perc por Adelan","Patrim neto consolidado","Patrimonio neto","Capital social","Capital Adicional","Part Patrim del Trabajo","Acciones propias en cart","Otras reservas","Utilidades retenidas","Resultados no Realizados","Int min(part no control)","","EST RESULT","Meses","Origen de los datos","","Ingresos netos","Costo de Ventas","Resultado Bruto","Gastos con Ventas","Gastos administrativos","Ingr (perd) venta activo","Otros Ingresos","Otros Gastos","Result operativo EBIT","Ingresos Financieros","Gastos Financieros","Diferencias de Cambio","Dividendos","Ga(pe) dif vl lib/vl jus","Resultado antes impuest","Impuesto a las gananc","Utild oper continuadas","Operac descontinuadas","Utilidad Consolidada","Int min(part no control)","Ganancia/perdida neta","","FLUJO CAJA","Meses","Origen de los datos","","Recurs Generd por la Op","Cobranza a clientes","Comissiones y honorarios","Cobro de Regalias","Inter Rend NIncl Act Inv","Reemb de imp a las ganan","Dividendos Cobrados","Otros Cobr en Efectivo","Pagos a proveedores","Pago de Remuneraciones","Pago de Tributos","Inter Rend NIncl ActFin","Dividen (no inc atv fin)","Pago de Regalias","Otros Pagos en Efectivo","Recurs Generd en Inver","Cob pr reemb de ant y pr","Ptmos Otorg a Empr Relac","Ingres Venta Valores","Cobr cont fut,a te,op,pe","Vta Subs/Otr UNid Negoci","Ven neg conj neto ef des","Venta de Inver Perman","Venta de Inmueb Maq Equi","Venta de Activos Intangi","Imp proc ot act larg plz","Interes recibido","Dividendos Recibidos","Reem imp a la gana (inv)","Otr Ingr Efec de Actvd","Ante de efec y pres a te","Prestamos Otorgados Vinc","Pagos por Comp Valores","Pag cont fut,a te,opc,pe","Compra de Bienes de Uso","Pg p/ad neg cj net ef ad","Util compra part no cont","Pagos p/ adq prop de inv","Compra de prop de invers","Desem p/Trab In/Maq/Equi","Adquisicion Bien Intang","Compra otr act largo plz","Impue a las gananc (inv)","Otr Pag Efec de Activd","Recurs Generd por Finac","Emision de Obliga Financ","Ingr Prestamos CP y LP","Prest a entid relacionad","Emiss de Acc de Pago","Venta Accion(Ctas)Propia","Reem imp a la gana (fin)","Otr Ingr Efec de Actvd","Amort Financiam Bursatil","Amort o Pago de Obl Fina","Pag de prest a ent relac","Reemb pas por arrend fin","Adquis Acciones Prop","Pag p/ot part en el patr","Intereses y Provech Simi","Dividendos","Impue a las gananc (fin)","Otr Pagos Efec de Activ","Inc neto(di) ef ant cam","Efecto Variac Cambial","Incr neto en efec e inv","Fondos al Inicio","Fondos al Cierre","","Depreciacion y amortiz","Ebitda","","CANT ACCION","Total de acciones outst","","DIVERSOS","Fecha del Balance","Fecha da la Moneda","Fecha ult rectificacion","Formato del balance","Consolidado"
"X12.31.1992","","15019","8603","-","1118","0","680","410","0","6405","-","-","23","-","-","-","-","6416","-","-","0","0","-","-","-","6311","93","-","-","93","","","15019","2568","1327","-","0","184","1143","0","0","0","-","-","0","1241","0","-","-","0","-","-","-","-","0","-","12451","5399","0","2700","-","-","3975","-","-","","","12","divulgado","","24470","13484","10986","-1670","-4154","-","-","-","5162","317","-","-","0","-","5702","1443","-","-","-","-","3602","","","12","divulgado","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-","","","-","","","12/31/1992","12/31/1992","7/20/2011","Ind&ComPe","No"
"X12.31.1993","","15568","9331","-","1506","0","1077","203","0","6505","-","-","76","-","-","-","-","6237","-","-","0","0","0","-","-","6133","93","-","-","93","","","15568","2709","1540","-","0","223","1317","0","0","0","-","-","0","1169","-","-","-","0","-","-","-","-","0","-","12859","5400","0","2700","-","-","4021","0","0","","","12","divulgado","","23780","13097","10684","2116","4038","0","0","0","4530","159","-8","-","0","-","4872","1282","3115","0","-","0","3115","","","12","divulgado","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-","","","618","","","12/31/1993","12/31/1993","7/20/2011","Ind&ComPe","No"
"X12.31.1994","","19608","11780","-","1398","0","-","64","-","7233","-","-","123","-","-","-","-","7829","-","-","0","0","0","-","0","7715","0","0","0","93","","","19608","4862","3273","-","0","-","3208","-","-","0","-","-","-","1588","-","-","-","-","-","-","-","-","0","-","14747","5393","0","2697","-","-","5609","0","-","","","12","divulgado","","31037","16420","14616","-2887","-4666","-","-","-","7063","160","-72","-","0","-","7117","1851","4580","0","-","0","4580","","","12","divulgado","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-","","","1311","","","12/31/1994","12/31/1994","7/20/2011","Ind&ComPe","No"
"X12.31.1995","","21324","12745","-","731","-","-","107","-","7126","-","-","62","-","-","-","-","8579","0","0","0","0","0","0","0","8433","0","0","0","146","","","21324","5635","4510","-","-","-","2642","-","-","-","-","-","-","1126","-","-","-","-","-","-","-","-","-","-","15689","5392","0","2696","-","-","6523","0","0","","","12","divulgado","","35337","21077","14260","-","-","-","-","-","5937","0","-77","-","0","-","5710","1479","3682","0","-","0","3682","","","12","divulgado","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-","","","1311","","","12/31/1995","12/31/1995","7/20/2011","Ind&ComPe","No"
"X12.31.1996","","21485","12991","-","930","-","-","117","-","6505","-","-","78","-","-","-","-","8494","0","0","0","0","0","0","0","8348","0","0","0","146","","","21485","4912","3865","-","0","-","2104","-","-","0","-","-","-","1047","-","-","-","-","-","-","-","-","-","-","16574","6387","0","3193","-","-","5916","0","0","","","12","divulgado","","36583","23038","13546","0","9143","0","0","0","4402","-62","0","-","0","-","4125","1110","2603","0","-","0","2603","","","12","divulgado","","1111","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","1111","-","","","1311","","","12/31/1996","12/31/1996","7/20/2011","Ind&ComPe","No"
"X12.31.1997","","24911","16159","-","1853","-","-","92","-","7236","-","-","105","-","-","-","-","8752","0","0","0","0","0","0","0","8606","0","0","0","146","","","24911","6106","4876","-","-","-","2663","-","-","-","-","-","-","1230","-","-","-","-","-","-","-","-","-","-","18804","6384","0","3192","-","-","7952","0","0","","","12","divulgado","","39136","23477","15659","0","9425","0","0","0","6234","13","0","-","0","-","6039","1717","3687","0","-","0","3687","","","12","divulgado","","4335","44603","-","-","-","-","-","80","-27083","-7570","-5607","-","-","-","-89","-1552","-","0","0","-","-","-","-","-","-","-","0","0","-","0","-","0","0","-","0","-","-","-","-","-","-1587","-","-","0","-1693","-","0","-","0","0","-","0","0","-","-","-","0","-","0","-1417","-","0","-","-","1089","930","1853","","1275","-","","","1311","","","12/31/1997","12/31/1997","1/5/2012","Ind&ComPe","No"
"X12.31.1998","","25848","17250","-","1818","-","-","73","-","7785","-","-","132","-","-","-","-","8599","-","-","0","0","0","-","0","8452","0","0","0","94","","","25848","5429","5188","-","-","-","2762","-","-","301","-","-","-","242","-","-","-","-","-","-","-","-","-","-","20419","6436","0","3218","-","-","9478","0","0","","","12","divulgado","","38166","22661","15505","4624","5177","0","0","0","5704","144","-35","-","0","-","5407","1492","3362","0","-","0","3362","","","12","divulgado","","3382","43824","-","-","-","-","-","143","-26639","-7463","-6390","-","-","-","-94","-1097","-","0","0","-","-","-","-","-","-","-","0","0","-","0","-","0","0","-","0","-","-","-","-","-","-1130","-","-","0","-2010","-","0","-","0","0","-","0","0","-","-","-","0","-","0","-144","-","0","-","-","274","1869","1818","","1313","-","","","1311","","","12/31/1998","12/31/1998","1/5/2012","Ind&ComPe","No"
"X12.31.1999","","27444","18644","-","2044","-","-","83","-","9859","-","-","52","-","-","-","-","8800","-","-","0","0","0","-","0","8653","0","0","0","94","","","27444","5577","5318","-","-","-","2632","-","-","524","-","-","-","259","-","-","-","-","-","-","-","-","-","-","21867","6437","0","3218","-","-","10925","0","0","","","12","divulgado","","39318","23418","15899","4717","5414","0","0","0","5769","175","-29","-","0","-","5433","1451","3444","0","-","0","3444","","","12","divulgado","","3593","46915","-","-","-","-","-","242","-29995","-7608","-5862","-","-","-","-99","-698","-","0","0","-","-","-","-","-","-","-","0","0","-","0","-","0","0","-","0","-","-","-","-","-","-742","-","-","0","-2248","-","0","-","0","0","-","0","0","-","-","-","0","-","0","-1958","-","0","-","-","647","1818","2044","","1002","-","","","1311","","","12/31/1999","12/31/1999","1/5/2012","Ind&ComPe","No"
"X12.31.2000","","29980","20320","-","2868","0","-","54","-","10966","-","-","139","-","-","-","-","9660","-","-","0","0","0","-","0","9448","0","0","0","94","","","29980","5978","5798","-","0","-","3084","-","-","940","-","-","-","181","-","-","-","-","-","-","-","-","-","-","24002","6435","0","3218","-","-","13061","0","0","","","12","divulgado","","41703","24544","17159","5358","5231","0","0","0","6570","193","-37","-","0","-","6502","1613","-","-","-","0","4248","","","12","divulgado","","4564","49188","-","-","-","-","-","281","-31044","-7732","-6084","-","-","-","-45","-805","-","0","0","-","0","-","0","0","0","-","0","0","-","0","-","0","0","-","0","-","-","-","0","0","-805","-","-","0","-2704","-","0","-","0","0","-","0","0","-","-","-","0","-","0","-2041","-","0","-","-","1055","2044","2868","","1044","-","","","1311","","","12/31/2000","12/31/2000","7/20/2011","Ind&ComPe","No"
