year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1993,Manufacturing,48608,0,0,0,0,0,0,0,12521,0,0,0,0,0,36087,0,0,0,0,0,0,-18050
1994,Manufacturing,61728,0,0,0,0,0,0,0,33003,0,0,0,0,0,28725,0,0,0,0,0,0,-14997
1995,Manufacturing,77350,0,0,0,0,0,0,0,28800,0,0,0,0,0,48551,0,0,0,0,0,0,19839
1996,Manufacturing,82927,0,0,0,0,0,0,0,29297,0,0,0,0,0,53630,0,0,0,0,0,0,22614
1997,Manufacturing,115422,0,0,0,0,0,0,0,44619,0,0,0,0,0,70803,0,0,0,0,0,0,37472
1998,Manufacturing,157317,0,0,0,0,0,0,0,56061,0,0,0,0,0,101256,0,0,0,0,0,0,58922
1999,Manufacturing,177745,128755,81943,1726,1009,0,5978,2593,61352,61352,60893,460,0,0,116392,170353,0,170353,85279,110034,29630,75214
2000,Manufacturing,177145,112115,36151,2524,0,0,7694,3151,47140,47140,47134,5,0,0,130004,197276,0,197276,109676,120261,29477,85044
2001,Manufacturing,188650,102993,0,674,0,0,9524,4579,43546,43546,42644,0,0,0,145104,204360,0,204360,113794,129482,29284,94468
2002,Manufacturing,192566,95202,0,1225,0,0,9033,6900,40618,40618,40551,0,0,0,151949,198118,0,198118,116734,127598,34202,87395
2003,Manufacturing,199827,78881,0,3920,0,0,8642,9260,37210,37210,36945,0,0,0,162617,201270,0,201270,114231,134812,34403,94363
2004,Manufacturing,214002,49284,10854,2559,0,0,8681,16450,66258,66258,66258,0,0,0,147743,181457,0,181457,29745,64742,12175,50433
2005,Manufacturing,274084,80716,22358,2358,0,0,7052,14929,85739,85739,85739,0,0,0,188345,185785,0,185785,61896,66808,15242,48893
2006,Manufacturing,261955,109488,78192,1540,0,0,6581,23060,91606,91606,91593,0,0,0,170349,197774,0,197774,19663,26643,13135,10803
2007,Manufacturing,271275,54230,23247,1747,0,0,7117,18153,67555,67555,67555,0,0,0,203719,216235,0,216235,118337,124214,25882,93606
2008,Manufacturing,337186,92407,57705,950,0,0,7824,10048,66854,66854,66854,0,0,0,270332,219866,0,219866,93691,97281,28293,64023
2009,Manufacturing,275646,61973,9679,1896,0,0,7736,7561,56483,56483,16438,0,0,0,219163,241930,0,241930,113895,117716,26919,90797
2010,Manufacturing,402614,155080,64207,3573,0,0,8626,9644,141549,141549,18364,0,0,0,261065,289010,0,289010,149013,155389,-47339,108050
