year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,Manufacturing,76855,0,0,0,0,0,0,0,60912,0,0,0,0,0,15944,0,0,0,0,0,0,1678
1997,Manufacturing,102098,0,0,0,0,0,0,0,58645,0,0,0,0,0,43453,0,0,0,0,0,0,27516
1998,Manufacturing,158290,0,0,0,0,0,0,0,71063,0,0,0,0,0,87227,0,0,0,0,0,0,43417
1999,Manufacturing,166670,0,0,0,0,0,0,0,58329,0,0,0,0,0,108341,0,0,0,0,0,0,54986
2000,Manufacturing,182973,0,0,0,0,0,0,0,50844,0,0,0,0,0,132128,0,0,0,0,0,0,73208
2001,Manufacturing,213125,103975,44706,2151,535,0,55655,1672,58321,51879,51727,153,1284,0,154804,213689,0,213689,121133,139778,38154,94779
2002,Manufacturing,206553,82541,41908,1813,615,0,52200,2053,42535,39683,39505,178,0,0,164019,214304,0,214304,119647,134962,34488,95466
2003,Manufacturing,228747,84120,0,4094,752,92357,50777,1493,44193,41294,41188,0,0,2900,184554,218304,0,218304,116969,147751,34047,107082
2004,Manufacturing,231998,74333,0,3117,680,1545,49791,1766,44911,41820,41626,0,0,3092,187087,221958,0,221958,127129,133486,36245,90829
2005,Manufacturing,230460,31237,0,3924,787,12950,48179,2357,37501,33973,33843,0,0,3528,192959,220826,0,220826,105926,126121,31351,89282
2006,Manufacturing,292309,50545,17590,2446,636,2734,45107,3436,83626,76052,38394,0,0,7574,208683,215776,0,215776,74170,117918,25605,87820
2007,Manufacturing,331632,37956,17137,1574,709,10774,41286,3550,49552,42273,42236,0,0,7279,282080,227413,0,227413,85919,130628,24363,101992
2008,Manufacturing,322592,106796,20454,770,890,9603,35488,2693,54742,48333,48182,0,0,6409,267850,243639,0,243639,120439,71092,35382,29503
2009,Manufacturing,461150,180843,18127,772,999,3104,37423,1803,59188,51922,51922,0,0,7266,401962,255778,0,255778,137335,199166,40980,150996
2010,Manufacturing,488412,155589,35692,1582,1204,1187,0,884,73689,46932,1645,0,0,26757,414723,250600,0,250600,131423,132339,0,132339
2011,Manufacturing,350676,58972,24822,290,0,471,31724,287,74541,59748,1463,0,0,14793,276134,264398,0,264398,121535,126106,39473,86632
2012,Manufacturing,486639,154715,10832,322,0,411,31737,1194,80645,58042,2336,0,0,22604,405994,308004,0,308004,141654,145017,-45978,99040
2013,Manufacturing,1414242,287118,29559,847,0,409250,39509,663860,322464,158527,7792,0,0,131087,1091779,412281,0,412281,174063,182910,61366,121544
2014,Manufacturing,1455236,341101,0,0,0,431747,38644,630051,305565,163445,1938,0,0,109419,1149671,419065,0,419065,212415,226483,57816,168667
