year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2002,Insurance,32390,26707,692,0,0,768,3985,93,17703,16048,0,202,1656,0,14687,21161,0,15897,5831,5686,427,3814
2003,Insurance,43971,38625,643,0,0,742,2802,74,21978,18582,0,213,1386,0,21993,25417,0,20949,14991,14604,3132,10739
2004,Insurance,49786,39191,1732,0,0,6147,2712,64,24968,20762,0,212,1035,0,24818,31767,0,25188,18299,17664,4641,12503
2005,Insurance,59612,42703,518,0,0,12736,2342,68,26311,22756,0,232,813,0,33301,43878,0,34524,27462,27451,7550,20207
2006,Insurance,52614,37206,25442,0,0,11329,2344,60,22749,8368,0,230,518,0,29864,43574,0,33803,17641,17624,4513,13149
2007,Insurance,79587,41320,19026,0,0,34216,2471,57,35064,18156,0,219,238,0,44524,43305,0,32908,23433,23344,6043,16335
2008,Insurance,79656,37369,8179,0,0,28722,8308,268,38299,16231,0,229,0,0,41358,51698,0,26324,9746,9820,1947,7163
2009,Insurance,85147,40129,9923,0,0,31989,6780,89,33187,19091,0,0,0,0,51961,67309,0,38256,9833,9833,1663,7766
2010,Insurance,81056,33668,9484,0,0,0,6119,96,38489,20455,0,0,0,0,42567,70851,0,36135,0,0,-21,208
2011,Insurance,99670,41427,7255,0,0,0,5616,3088,57098,27270,0,0,0,0,42572,91216,0,50126,0,0,905,2235
2012,Insurance,113956,53431,19255,0,0,0,5695,3145,65059,35082,0,0,0,0,48897,119175,0,58021,0,0,1205,3913
2013,Insurance,179780,83995,18407,0,0,0,5488,80,126265,60587,0,0,0,0,53515,148611,0,68891,0,0,3082,7160
