year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,15019,8603,1118,680,6405,0,6311,93,2568,1327,1327,0,0,0,12451,24470,13484,10986,5162,5702,1443,3602
1993,Manufacturing,15568,9331,1506,1077,6505,0,6133,93,2709,1540,1540,0,0,0,12859,23780,13097,10684,4530,4872,1282,3115
1994,Manufacturing,19608,11780,1398,0,7233,0,7715,0,4862,3273,3208,0,0,0,14747,31037,16420,14616,7063,7117,1851,4580
1995,Manufacturing,21324,12745,731,0,7126,0,8433,0,5635,4510,2642,0,0,0,15689,35337,21077,14260,5937,5710,1479,3682
1996,Manufacturing,21485,12991,930,0,6505,0,8348,0,4912,3865,2104,0,0,0,16574,36583,23038,13546,4402,4125,1110,2603
1997,Manufacturing,24911,16159,1853,0,7236,0,8606,0,6106,4876,2663,0,0,0,18804,39136,23477,15659,6234,6039,1717,3687
1998,Manufacturing,25848,17250,1818,0,7785,0,8452,0,5429,5188,2762,0,0,0,20419,38166,22661,15505,5704,5407,1492,3362
1999,Manufacturing,27444,18644,2044,0,9859,0,8653,0,5577,5318,2632,0,0,0,21867,39318,23418,15899,5769,5433,1451,3444
2000,Manufacturing,29980,20320,2868,0,10966,0,9448,0,5978,5798,3084,0,0,0,24002,41703,24544,17159,6570,6502,1613,4248
2001,Manufacturing,29639,20232,1648,7407,10997,0,9213,95,5058,4456,4145,0,71,0,24581,37074,22222,14852,5065,5275,1466,3241
2002,Manufacturing,33011,23544,2589,8013,12806,0,9301,94,5951,5187,4883,0,235,0,27060,40037,22891,17145,7085,6956,1717,4565
2003,Manufacturing,33435,24335,0,9663,12749,117,8890,94,5435,4749,4445,0,58,628,28000,39007,22984,16023,5747,5940,1490,3747
2004,Manufacturing,34940,26385,0,9461,15863,126,8335,95,5865,5146,5047,0,47,672,29075,38465,22842,15623,6109,5989,1629,3710
2005,Manufacturing,38561,29757,0,11184,16876,113,8599,91,8370,7091,6428,0,665,614,30191,48417,30616,17800,7620,7695,2050,4713
2006,Manufacturing,49879,41330,2332,11743,27056,125,8334,90,13633,12528,8054,1715,287,818,36247,65676,39103,26573,14274,14641,4019,9134
2007,Manufacturing,68496,56756,6342,13464,35977,200,11456,84,19587,16458,9850,1384,1963,1166,48909,90657,49241,41417,27515,27704,7465,17476
2008,Manufacturing,88072,67730,10506,14090,40820,132,20131,78,26368,18763,9828,3977,6446,1159,61704,105854,57192,48661,34411,34336,9077,21897
2009,Manufacturing,99186,73986,14788,16361,39997,161,24956,82,23429,16490,9025,4111,5406,1532,75757,98386,52872,45514,30416,30193,8184,18978
2010,Manufacturing,106738,78788,15557,18011,40236,121,27751,78,23636,18553,9780,5043,3635,1447,0,92468,46821,45647,29805,29399,7916,18643
2011,Manufacturing,106971,76002,15643,17862,40309,4428,26467,74,17954,15185,8776,3186,1051,1718,89018,91669,49536,42132,26576,26437,7648,18789
2012,Manufacturing,186928,78839,5632,19807,51002,28672,79282,136,57428,17759,10057,3658,21081,18589,129500,97253,56465,40788,21962,21964,7318,14647
2013,Manufacturing,192907,82139,5507,19423,51638,0,103702,951,60734,20111,9869,10184,16329,24294,132173,88781,49612,39169,20154,17891,4108,13783
