year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2003,Manufacturing,730580,628696,18459,0,0,0,37484,0,634834,546964,0,3784,0,0,95746,0,0,0,0,-3784,0,3163
2004,Manufacturing,144290,22810,0,852,8097,45153,0,0,56845,2122,225,0,40066,0,87445,52803,16407,36395,-6529,-2528,0,-5145
2005,Manufacturing,57955,22190,0,9215,5939,0,147,0,14640,1595,1595,0,13045,0,43315,2338,0,2338,-43582,-41099,0,-41099
2006,Manufacturing,52118,20055,9714,697,9395,1,506,69,17161,1375,1375,0,0,0,34957,6333,7059,-726,-9456,-7783,0,-7783
2007,Manufacturing,55996,25603,16287,283,0,0,465,111,25285,6875,6875,0,0,0,30711,8448,3176,5272,-2496,-2285,0,-2285
2008,Manufacturing,73368,11200,5000,249,0,0,22182,36,46048,26194,26194,0,0,0,27320,10156,4746,5410,-2133,-930,0,-930
2009,Manufacturing,72781,25663,1805,14596,0,0,19907,28,50221,2922,2922,0,0,17549,22560,12509,6062,6447,-6697,-6216,0,-6216
2010,Manufacturing,72214,23942,2470,14177,0,0,410,47,57202,4996,4996,0,0,18441,0,13890,4846,4958,-4241,-6560,0,-6560
2011,Manufacturing,62463,25255,4515,16781,0,0,322,0,39613,3172,3171,0,0,10183,22851,16133,10845,5288,9852,9229,0,9229
2012,Manufacturing,63724,21565,9316,6136,0,7788,278,0,37315,2810,2810,0,0,7758,26409,10484,5570,4914,2585,2968,0,2968
2013,Manufacturing,64149,15439,3754,4885,0,7668,311,7,36294,3224,3224,0,0,5082,27854,7410,3886,3524,-73,2001,149,1852
2014,Manufacturing,64764,22774,16259,2991,0,7799,1126,4,32639,3066,3066,0,0,1396,32125,7801,3729,4071,1188,5007,1062,3946
