year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1995,Manufacturing,397571,59668,130,0,24691,0,317687,0,362046,260699,209331,7020,0,0,35525,76875,115194,-38319,-55439,-34905,0,-34905
1996,Manufacturing,400748,100187,2874,2359,41367,0,275736,0,282227,134988,71502,27170,5208,8083,118521,88182,81174,7008,-13734,324,0,324
1997,Manufacturing,766335,173660,55182,0,35889,0,548232,0,418776,179962,88837,76823,0,0,347559,94932,108770,-13838,-35728,-76694,0,-76694
1998,Manufacturing,705699,159477,29506,4105,39257,0,527032,0,420205,179278,82770,31047,0,0,285493,165283,137450,27833,4497,-85135,0,-85135
1999,Manufacturing,658625,80388,19296,1081,41847,0,409092,813,378650,131591,84177,40365,1120,6023,279976,120396,51845,68551,52334,14188,-336,14524
2000,Manufacturing,772918,92455,14379,4663,42552,0,511659,329,371866,129399,35108,20063,208527,0,401052,220348,154552,65796,43918,1900,-1015,2915
2001,Manufacturing,640168,108222,19243,6968,37948,0,492737,287,361932,162653,42945,8382,157277,9867,278237,190200,150725,39475,17596,-8084,-1024,-7060
2002,Manufacturing,640306,113413,0,4953,57898,819,482514,130,414561,196826,30675,0,108516,108546,225746,189426,138916,50510,24357,15398,-180,15578
2003,Manufacturing,624272,111877,0,5455,49422,781,470485,235,342398,40768,22542,0,209454,92176,281874,270541,171445,99096,62352,60556,10232,42609
2004,Manufacturing,626905,131244,0,11326,59965,754,456188,0,318156,34078,20966,0,196324,87753,308750,205622,127146,78476,50664,20543,4622,12026
2005,Manufacturing,616093,106882,18781,3098,14422,744,469865,0,284416,39726,21406,13474,125471,108159,331677,241030,144190,96840,67462,56491,7768,41218
2006,Manufacturing,591199,99057,15379,3387,15237,702,441768,0,262431,55402,18466,33334,102067,94362,328768,180856,116779,64077,29575,22823,4090,15705
2007,Manufacturing,524856,77727,11594,4027,14348,646,418537,0,242950,45671,17229,28276,103622,84641,281906,137260,110858,26402,1846,-11753,-1367,-9373
2008,Manufacturing,586328,102157,12906,13828,15396,680,454858,0,253543,63906,35323,23817,102596,78180,332785,208221,148960,59261,54751,54527,8056,40504
2009,Manufacturing,606235,147466,28180,15019,13521,650,430772,0,236726,79250,45028,24521,76169,72681,0,276500,158758,117742,84747,79395,10872,60470
2010,Manufacturing,599577,154837,33158,13641,16967,0,417053,0,199039,65814,37650,28165,60375,0,400537,266212,153137,113074,73749,71849,9407,62442
2011,Manufacturing,857132,203395,35516,11001,30333,0,600977,0,251708,79242,34999,44243,51834,0,605424,265300,218270,47030,16630,18848,10225,8622
2012,Manufacturing,870775,217951,78718,5926,14085,0,598946,0,259763,36060,20714,15347,119847,96249,611012,220775,183241,37535,6884,-2682,2154,-4835
