year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1997,Manufacturing,262160,20094,866,0,15944,0,229841,0,83584,61886,52441,30,0,0,178276,81118,68057,13062,-12475,-7024,0,-7024
1998,Manufacturing,245272,20625,1580,267,15283,0,209839,0,82769,58216,48812,0,0,0,162504,59587,61205,-1618,-32716,-37321,0,-37321
1999,Manufacturing,302868,75608,12206,0,45883,0,218109,3333,122049,36632,25164,0,0,0,180819,80568,56158,24410,6063,8936,0,9123
2000,Manufacturing,336375,48885,17701,2158,20695,0,275552,3750,139824,27183,24915,0,111390,0,196551,124321,84020,40302,23874,17805,2146,15782
2001,Manufacturing,373334,47711,15312,7619,18318,0,316239,3367,160184,39326,25597,0,118989,0,213150,122641,78284,44357,28463,21531,3221,17677
2002,Manufacturing,402953,62706,0,19474,19605,547,319479,3073,151041,45842,32015,0,100107,5092,251913,162180,103378,58803,45062,42756,5942,30424
2003,Manufacturing,417302,53877,0,6842,16066,547,353059,2705,144018,44124,31709,0,97883,2011,273284,182985,111376,71609,58937,60908,6791,36853
2004,Manufacturing,427499,53495,0,12421,23315,528,350754,2185,127649,40938,21520,0,81776,4935,299849,180164,109234,70931,59273,56043,8264,41659
2005,Manufacturing,458949,66588,20015,10615,15079,1666,369943,1762,123533,55498,29890,0,63914,4122,335416,233820,130838,102982,89984,88278,11928,67515
2006,Manufacturing,491093,70218,22437,7499,13358,317,402893,1418,138529,47292,25054,20572,87895,3342,352564,203939,125698,78241,75312,75166,10350,57150
2007,Manufacturing,473398,58853,2155,10489,12289,2499,395673,928,163174,51628,23732,25114,107475,4071,310224,162113,115337,46776,36165,20813,3436,14831
2008,Manufacturing,513361,75503,9873,20117,12188,0,411978,659,170672,49690,20317,25910,114634,6347,342689,205224,148179,57045,43711,43727,6297,32766
2009,Manufacturing,494646,66661,8283,12459,10276,0,404068,226,152621,57726,29312,22617,90225,4670,0,232671,172345,60326,47835,42236,6819,33566
2010,Manufacturing,490856,92149,1245,32460,14861,0,374063,76,150186,54640,15259,6389,91064,1628,340670,276067,192657,83410,67648,63960,7439,56521
2011,Manufacturing,782378,87573,2247,25859,14515,0,662233,1602,223135,73821,22294,22540,66154,83158,559243,302731,214314,88417,69370,67565,10763,56673
2012,Manufacturing,786158,89767,1953,31596,13079,0,660812,1,230446,66484,18828,39258,66724,83942,555712,260884,186539,74345,57151,43726,7413,36313
