year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2002,Banking,275836,16377,0,1784,NA,8114,455,0,224528,3288,33321,19988,65083,0,51307,30424,NA,NA,6508,5860,1348,4624
2003,Banking,263639,14076,0,947,NA,0,662,0,213711,3973,14905,9603,79142,0,49929,30490,NA,NA,5973,5250,3690,434
2004,Banking,300811,16011,0,2845,NA,0,668,0,249942,10067,14491,9272,74581,0,50868,29863,NA,NA,3721,2779,1297,1002
2005,Banking,400882,15060,0,2494,NA,0,635,0,344956,8310,12889,23414,100835,0,55926,37583,NA,NA,10512,11157,4218,6821
2006,Banking,454989,7923,0,2149,NA,0,1178,0,390801,6745,13766,26982,94557,94556,64189,44596,NA,NA,7807,8047,2273,5121
2007,Banking,496685,10572,0,1668,NA,0,1281,0,430373,4134,18052,41264,92440,92440,66312,47988,NA,NA,9487,9646,3051,5726
2008,Banking,577486,21945,0,3264,NA,0,13671,0,497578,3926,14476,21139,146940,146940,79908,51196,NA,NA,8832,7671,1876,5226
2009,Banking,522835,20271,0,4093,NA,0,23504,0,432463,4939,8878,82,154005,154004,90372,56717,NA,NA,10610,9302,4001,4613
2010,Banking,537914,25939,0,2625,NA,0,24974,3938,447964,22882,18106,36398,153144,153144,89950,48475,NA,NA,3278,0,2258,3196
2011,Banking,574752,67165,0,1190,NA,0,21391,4553,488866,64457,7434,72695,223711,223711,85886,46321,NA,NA,2089,2647,1103,1544
2012,Banking,515431,44725,0,5084,NA,0,20333,3337,419810,50595,28403,64515,201332,201331,95622,43277,NA,NA,10867,10753,3235,7518
2013,Banking,22271,12387,0,3766,NA,0,0,974,4677,27,3926,0,0,0,17593,6380,NA,NA,-434,0,167,-347
2014,Banking,19855,8849,0,3809,NA,0,0,1332,4297,5,3774,0,0,0,15559,393,NA,NA,-1102,0,0,-1780
