year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,119188,32202,1304,149,16564,0,78788,0,86263,59825,11121,42411,0,0,32926,116155,113044,3111,-20657,-16862,0,-16862
1993,Manufacturing,101264,28839,1135,0,11441,0,70350,0,81944,31194,7677,16473,0,0,19320,111600,104270,7329,-19934,-13810,0,-13810
1994,Manufacturing,344684,40850,207,0,16966,0,301581,0,89884,41136,11375,20664,0,0,254799,124936,106065,18871,-5428,-5487,0,-5487
1995,Manufacturing,382922,33942,85,0,16521,0,335264,0,114451,73911,14890,44261,0,0,268472,116481,113143,3338,-23305,-32300,0,-32300
1996,Manufacturing,376774,38069,926,0,20631,0,323161,0,113383,57803,15684,28245,0,0,263390,121901,90707,31194,6311,-4944,0,-4944
1997,Manufacturing,396965,47031,2268,0,22632,0,332199,0,112801,63277,15601,31967,0,0,284164,170216,109496,60719,28852,16142,0,16142
1998,Manufacturing,410186,53724,5640,0,21077,0,332798,0,117222,91860,14065,53288,0,0,292964,182362,126858,55504,23377,6462,0,6462
1999,Manufacturing,409871,57983,2915,0,20905,0,326641,0,99995,88717,21094,41906,0,0,309876,219009,142862,76147,39205,25787,5767,16881
2000,Manufacturing,426565,59617,1652,0,24093,0,342925,0,161807,97958,9724,65191,0,0,264758,215867,156111,59755,23563,18659,1320,15768
2001,Manufacturing,436572,59829,10278,17762,24334,0,348840,27719,190077,90838,24553,49582,35227,0,246495,187903,150754,37149,-1632,-8581,-1929,-6093
2002,Manufacturing,426130,59484,4665,29281,21485,0,336182,0,164254,89065,12425,31282,0,0,261876,227607,162745,64863,20195,17047,1332,15286
2003,Manufacturing,1533844,266107,0,133193,85248,652,1152197,114889,538588,230033,139902,0,99386,205584,995256,850546,586813,263733,158160,162811,17034,140293
2004,Manufacturing,1655122,331443,0,140201,109062,614,1148520,159890,787576,296394,249810,0,279425,209878,867546,1116387,554772,561615,436135,372913,105269,237132
2005,Manufacturing,2043538,499185,0,277450,96618,5470,1276069,189512,934012,388092,294641,0,328028,217893,1109526,1466141,637904,828238,660835,553369,155395,352933
2006,Manufacturing,3243940,1380412,3583,288632,60707,345942,1320386,0,1760697,523759,213882,66887,1042326,194612,1483244,2239526,682279,1557247,1309176,1274806,353023,819458
2007,Manufacturing,1385868,249728,22352,58047,13740,497019,557089,78176,480026,191045,117677,37306,194710,36317,905842,608335,211243,397092,326570,333011,82256,226913
2008,Manufacturing,1312986,262337,3026,7354,22193,491129,522075,33345,719256,236661,89908,146753,369985,49613,593730,324729,314494,10235,-88350,-180295,421,-180716
2009,Manufacturing,1065963,491772,23017,47209,35959,167693,399663,0,488863,312071,265263,29322,140031,366,577100,288910,193715,95194,56359,-48278,15501,-68270
2010,Manufacturing,677516,293320,73552,45942,26599,24,378617,0,295446,155608,117736,33722,89252,0,0,339291,161975,155093,122670,112249,39179,61731
2011,Manufacturing,621174,181152,81938,31021,35173,0,394095,0,246739,139039,86522,39235,54149,0,374434,363276,210115,153161,85534,79028,23993,55035
2012,Manufacturing,495636,170327,58397,19931,41024,0,277489,0,240576,133040,87571,36578,23275,0,255060,291216,287681,3535,-20947,-25087,-2249,-22838
2013,Manufacturing,450968,183773,29240,37314,45499,0,243935,0,212473,124652,97162,24133,1385,0,238494,265982,280195,-14213,-39652,-41881,-2247,-39635
