year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1994,Manufacturing,886429,183129,32658,0,21312,0,679038,0,506646,228016,36970,72968,0,0,379784,367511,170041,197470,132861,101696,10308,91387
1995,Manufacturing,984363,205588,17347,0,29821,0,778775,0,473997,272601,35445,96186,0,0,510365,407509,180926,226583,157041,100206,8730,88243
1996,Manufacturing,1430825,317197,57655,0,43337,0,1113627,0,733195,340932,46167,135541,0,0,697629,532659,231275,301384,210556,163465,9894,148631
1997,Manufacturing,1751748,424543,100660,0,51019,0,1178355,0,1083768,377256,29676,223364,0,0,667980,544945,281439,263506,176985,102769,0,102769
1998,Manufacturing,1980279,443979,35012,0,72356,0,1383648,0,1325277,609516,43095,361931,0,0,655002,391035,193769,197267,48514,-155956,0,-155956
1999,Manufacturing,1687818,295333,36551,0,82018,0,1293375,0,1488772,879767,85329,282090,438991,170014,199047,511977,353160,158817,40707,-286013,-22117,-255704
2000,Manufacturing,1509182,257476,19700,0,109714,0,1214446,0,1281818,331595,1191,138126,0,0,227364,175991,0,175991,64177,-118800,-44656,-57604
2001,Manufacturing,1323792,138912,12653,46492,63155,0,1148031,0,1145589,291161,109801,98160,716131,0,178203,547639,408172,139467,29348,-87009,-18894,-61127
2002,Manufacturing,1280854,165486,7292,54534,61541,0,1083225,0,1100861,306728,73570,112015,660394,0,179992,520836,353220,167616,88034,-15222,-8848,-2733
2003,Manufacturing,1095480,126263,0,36349,66036,30561,937609,0,1072336,354512,117531,0,564579,153245,23144,386816,306620,80196,-69487,-134655,16168,-156811
2004,Manufacturing,1008465,116442,0,17673,59978,45619,846404,0,738168,230443,95984,0,377080,130645,270297,316320,261501,54819,-31403,231597,-11274,247047
2005,Manufacturing,916981,144217,0,25461,75248,59,772705,0,648769,274423,91036,0,234836,139511,268212,471609,351054,120555,38358,7398,13580,-11213
2006,Manufacturing,980477,243586,10208,75296,143009,61,653819,80636,632136,212231,106442,73968,272526,146199,348342,667691,415734,251957,165196,135390,42959,76520
2007,Manufacturing,971298,237926,2324,30332,156563,57,650660,81855,580303,252818,114298,43330,191857,135628,390995,670571,456435,214136,133487,119502,41928,62201
2008,Manufacturing,1091939,232589,3647,37678,143334,237953,545484,75296,533945,252729,104457,43942,172829,108387,557994,636622,425377,211245,139370,97393,35755,48298
2009,Manufacturing,1282558,318700,9963,118777,109649,63605,610892,194503,606800,283995,142422,141573,152754,170052,675758,733410,494134,239276,139132,139547,39746,85202
2010,Manufacturing,1058658,213728,5006,41787,80838,60820,517674,186794,395650,204473,91576,110862,77666,113511,0,560582,430300,130282,40442,33199,-18870,52070
2011,Manufacturing,1124674,340107,8426,71454,184670,0,457399,175714,486136,196691,99176,73974,176772,112673,638538,754758,445812,308946,143279,143020,50628,92392
2012,Manufacturing,991273,240560,11669,42498,109099,0,442832,257030,346916,107466,70858,36607,137520,101930,644357,695771,483139,212632,99386,100619,31460,69158
2013,Manufacturing,1105426,329514,20476,90450,154513,0,474090,261927,521275,307104,98586,208517,143929,70243,584151,551820,427616,124204,21466,7212,5102,2110
