year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,119396,96060,17917,0,42455,0,23289,0,54743,544489,54449,0,0,0,64653,285618,123714,161904,2458,8737,2897,1134
1993,Manufacturing,133613,110538,21063,0,40378,0,23026,0,60020,59698,22385,0,0,0,73592,161316,122419,38897,16578,14342,4179,8615
1994,Manufacturing,145805,117553,24218,0,44626,0,28252,0,68927,63892,20941,0,0,0,76878,153815,120080,33736,11919,9894,2828,6019
1995,Manufacturing,144528,118781,19213,0,41127,0,25747,0,61127,58364,20446,0,0,0,83401,321822,148914,172909,11514,10624,2975,6174
1996,Manufacturing,145840,117210,4840,0,47868,0,28592,0,56377,55902,18206,0,0,0,89463,168197,125307,42890,15894,10640,3308,6105
1997,Manufacturing,148494,105570,7904,0,42342,0,42886,0,53477,52375,14355,0,0,0,95017,152075,116269,35806,10717,9406,2780,5595
1998,Manufacturing,156519,114360,1920,0,46197,0,42120,0,57798,56751,16397,0,0,0,98721,144647,104799,39849,14611,11027,3662,5458
1999,Manufacturing,172631,133745,4252,0,42415,0,38848,0,70980,57185,39279,0,0,0,101651,162937,117009,45929,13237,11176,3737,5497
2000,Manufacturing,155376,118725,17979,0,43811,0,36613,0,54423,44723,28780,0,9645,54,100953,150552,106385,44167,5929,4703,1848,1920
2001,Manufacturing,148312,112036,16302,47144,47200,0,36236,0,38438,38438,38438,0,0,0,109874,130940,99478,31462,15393,16270,4871,8948
2002,Manufacturing,148394,115008,11219,55074,45451,0,33261,0,41881,41814,41814,0,0,0,106513,147876,119800,28076,6806,8114,2358,4695
2003,Manufacturing,172804,135760,0,2526,70996,39,33481,0,143725,143669,143669,0,0,56,29079,102937,90977,11960,-1064,-80860,-2517,-77412
2004,Manufacturing,140751,103735,0,904,69223,38,35301,0,115477,115477,115477,0,0,0,25275,77592,69562,8029,-6894,1953,1188,326
2005,Manufacturing,109846,69174,0,2600,9179,37,2830,292,95328,95328,95327,0,0,0,14519,155030,149333,5696,-7471,-33133,-16969,-9879
2006,Manufacturing,127240,106964,1381,1763,10970,37,8730,290,80450,80450,80449,0,0,0,46791,194662,157644,37018,29480,45788,9723,32465
2007,Manufacturing,131556,130777,27789,1928,8537,34,258,0,92767,92767,92767,0,0,0,38789,177400,142257,35143,36696,36611,10222,23526
2008,Manufacturing,109670,108872,15188,0,7233,32,340,0,48212,48212,32806,0,0,0,61457,242458,166806,75652,70434,68059,20641,47418
2009,Manufacturing,100863,84857,7121,0,4450,33,15484,0,34829,34829,31282,0,0,0,66034,287627,207434,80193,73279,73499,22253,51246
2010,Manufacturing,94674,79699,6342,0,8129,32,14794,0,76648,76648,30574,44694,0,0,0,308819,249656,59163,53828,52803,15790,37013
2011,Manufacturing,83812,61425,2467,0,2434,0,22231,0,70316,57531,19527,35306,6843,5942,13496,305180,230190,74990,67237,66455,20341,46114
2012,Manufacturing,120697,80276,1642,0,3638,0,7922,0,105967,77872,70670,2277,22329,5765,14730,355209,259068,96141,88626,86403,26217,60187
2013,Manufacturing,148789,104569,267,2,6820,0,6244,0,116804,87382,81548,3133,22320,6222,31985,362950,254146,108804,96748,91882,27866,64015
