year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Banking,3708620,1262933,0,0,NA,59052,383496,0,3218616,2675131,0,0,0,0,490004,919633,NA,NA,5709,5709,31279,27286
1993,Banking,4940204,1890458,0,0,NA,123508,372969,0,4459033,3958879,0,0,0,0,481171,926134,NA,NA,57619,57619,42356,16772
1994,Banking,6095029,1859181,0,0,NA,119265,407756,0,5587150,5026608,0,0,0,0,507878,1071096,NA,NA,64132,64132,44897,27100
1995,Banking,8164908,2545439,0,0,NA,275579,402836,0,7478225,6413714,0,0,0,0,686683,1124141,NA,NA,768419,252488,68603,179007
1996,Banking,10385111,3003980,0,0,NA,368935,407199,0,9504072,8566507,0,0,0,0,881039,1628291,NA,NA,1028955,295249,76670,212851
1997,Banking,12955657,3140471,0,0,NA,497218,441013,0,11930633,9554227,0,0,0,0,1025024,1490033,NA,NA,859473,272783,76918,175373
1998,Banking,14409463,3260202,0,0,NA,604487,474020,0,13112904,10523463,0,0,0,0,1296559,1525578,NA,NA,1019150,234628,69541,135692
1999,Banking,14740645,4398986,0,0,NA,341772,422690,0,13445096,10971519,0,0,0,0,1295549,1513835,NA,NA,811369,152114,24080,101907
2000,Banking,14588888,4435037,0,0,NA,920040,385142,0,13351922,12065189,0,0,0,0,1236966,1395267,NA,NA,702916,51629,0,31082
2001,Banking,15009886,4229314,442262,339473,NA,2374424,367751,0,13690255,12929372,61332,53033,114738,0,1319631,1259631,NA,NA,77544,128642,28075,96662
2002,Banking,16515214,5288034,654953,31163,NA,2728028,352706,0,15096881,14553315,47315,127509,24282,0,1418333,1060581,NA,NA,113179,130562,43749,147033
2003,Banking,16924190,4097283,591939,24484,NA,4209822,327178,0,15349480,14596512,102024,204813,21075,0,1574710,1067723,NA,NA,303159,340952,109482,231604
2004,Banking,17622722,3598437,504084,73739,NA,4533760,315946,0,15946788,14838847,65523,280042,14849,0,1675934,1101917,NA,NA,470471,475608,146213,298180
2005,Banking,22522865,6249504,476868,37315,NA,4335228,323070,0,20668111,17842131,144272,1440099,13874,0,1854753,1556918,NA,NA,648747,773079,246283,495981
2006,Banking,22626429,4204530,690498,89358,NA,2328038,331420,0,20544795,16795028,112925,1107021,610849,610850,2081635,1857145,NA,NA,641586,895685,264678,594075
2007,Banking,28402161,5275078,735545,210970,NA,3171033,333414,0,26120281,19204035,242986,2578970,2178296,2178296,2281881,2278347,NA,NA,951674,1004013,322624,681389
2008,Banking,35351623,7314891,902800,767986,NA,4445098,373134,0,32992521,21671986,939391,4691929,3519382,3519381,2359102,2721534,NA,NA,1082629,1110617,299823,765057
2009,Banking,33438319,5400993,980844,421335,NA,4317439,432437,0,30224735,23262425,633613,498817,2673321,2673321,3213584,3072638,NA,NA,1477746,1497947,407458,1032192
2010,Banking,40208308,10640593,1170505,385565,NA,2341055,475697,0,36607331,27197649,628649,851508,5231548,5231549,3600977,2741640,NA,NA,1488455,0,369952,1071857
2011,Banking,42316959,8495503,1394710,517206,NA,2526463,604437,7887,38606632,30230147,652242,462031,4856015,4856015,3710326,3159586,NA,NA,1499926,1496884,366249,1130635
2012,Banking,51073245,12911235,1716578,755245,NA,2904204,703724,0,46729571,32930840,823622,1934085,6426764,6426764,4343674,3898110,NA,NA,1718999,1720206,440639,1279568
2013,Banking,57201639,11868771,2007483,122897,NA,507913,827396,0,52254687,36900277,310578,0,0,0,4946951,3672987,NA,NA,1796916,0,471570,1319368
2014,Banking,62701282,14478629,2982980,154769,NA,677255,861445,56138,57140704,38435651,382769,0,0,0,5560578,3729780,NA,NA,1892198,0,536095,1339614
