year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Banking,519348,207416,0,0,NA,22743,37347,0,460941,441608,0,0,0,0,58407,148453,NA,NA,2391,2391,2831,467
1993,Banking,327338,62019,0,0,NA,12778,36251,0,242738,200661,0,0,0,0,84600,84647,NA,NA,2974,2974,1969,137
1994,Banking,420145,55255,0,0,NA,17610,31472,0,337268,294624,0,0,0,0,82877,67187,NA,NA,-22875,-22875,3588,-21661
1995,Banking,490829,40460,0,0,NA,2017,28137,0,436292,245836,0,0,0,0,54536,60706,NA,NA,74773,3151,3584,413
1996,Banking,552845,99486,0,0,NA,9524,43107,0,488214,399066,0,0,0,0,64631,84012,NA,NA,-5453,-5453,3630,4114
1997,Banking,655343,153719,0,0,NA,22424,30931,0,586177,498019,0,0,0,0,69166,105595,NA,NA,72858,6459,2130,4329
1998,Banking,730978,132446,0,0,NA,14091,45704,0,660778,538217,0,0,0,0,70200,117057,NA,NA,466,466,0,466
1999,Banking,1243457,241038,0,0,NA,39757,48398,0,1113266,962652,0,0,0,0,130192,69898,NA,NA,69898,820,0,820
2000,Banking,1130115,158542,0,0,NA,29589,0,0,1005448,799588,0,0,0,0,124667,207199,NA,NA,71734,3760,0,608
2001,Banking,1003405,145891,39484,52453,NA,44110,64417,0,912020,733211,2409,58815,0,0,91385,151365,NA,NA,5416,1719,0,821
2002,Banking,869100,160162,27567,30345,NA,120378,39018,0,776496,636446,2907,7705,6706,0,92605,112088,NA,NA,4440,4532,0,2306
2003,Banking,730580,98097,18459,32862,NA,88893,37484,0,634834,520394,1609,3784,5967,0,95746,79715,NA,NA,-7689,-3784,0,3163
2004,Banking,624875,129511,24808,3121,NA,56620,42275,0,554764,525811,2702,396,4903,0,70110,19963,NA,NA,4096,4098,1845,3807
2005,Banking,773453,153200,27673,3486,NA,60389,24037,0,695713,655675,4050,2328,6129,0,77739,97054,NA,NA,13919,17289,6129,10072
2006,Banking,829329,137860,28875,1082,NA,56515,23707,0,742499,704958,3819,3595,11409,11409,86830,115615,NA,NA,18192,19476,7285,11030
2007,Banking,942898,141884,24113,1084,NA,72025,20268,0,843210,802183,4527,3698,18915,18915,99689,126468,NA,NA,19937,22377,6184,15166
2008,Banking,1084674,140633,31893,3043,NA,29502,23444,0,980559,918044,6198,13587,21113,21113,104115,136833,NA,NA,13432,19231,4621,13800
2009,Banking,1332868,173013,28968,5265,NA,54371,21238,0,1207593,1127707,5856,8653,24229,24229,125275,166935,NA,NA,17683,23608,6206,16313
2010,Banking,1513535,285148,33820,1433,NA,9075,35864,8785,1378499,1280291,8325,7699,21870,21871,135036,174633,NA,NA,27023,0,6256,15924
2011,Banking,1621348,395887,37226,2605,NA,6882,34413,12743,1478967,1371760,9750,17025,24982,24982,142381,190516,NA,NA,21536,20955,4348,16607
2012,Banking,1647484,381890,45434,2801,NA,6191,37003,20003,1486488,1350301,12353,25979,22510,22511,160996,206072,NA,NA,11309,17634,2775,14859
2013,Banking,1667349,369542,37979,4568,NA,695,33270,23314,1502774,1348485,9523,0,0,0,164575,183703,NA,NA,12297,0,1190,10617
2014,Banking,1631050,382252,40419,3921,NA,0,29348,20868,1449971,1232648,10804,0,0,0,181079,178456,NA,NA,25017,0,8085,18483
