year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Banking,7959869,2825041,0,0,0,497934,681254,0,6969760,6401832,0,0,0,0,990109,1483601,0,1483601,49246,49246,51524,82372
1993,Banking,9937466,3182259,0,0,0,572925,662686,0,8877768,7663148,0,0,0,0,1059698,1187736,0,1187736,841946,106738,72912,100052
1994,Banking,12826760,4191796,0,0,0,595147,640617,0,11607783,10549007,0,0,0,0,1218977,1391814,0,1391814,1125826,301868,87589,211464
1995,Banking,16674786,4861689,0,0,0,444527,684900,0,15181620,12577414,0,0,0,0,1493166,1862045,0,1862045,1332392,473585,142567,339316
1996,Banking,20288515,5616221,0,0,0,496507,797427,0,18425248,15392690,0,0,0,0,1863267,2278460,0,2278460,1683379,578650,166560,457022
1997,Banking,23379627,6761261,0,0,0,955664,823853,0,21222442,17456314,0,0,0,0,2157184,2455852,0,2455852,1775937,490195,119545,391765
1998,Banking,23785202,6618455,0,0,0,0,872692,0,21508230,18227250,0,0,0,0,2276972,2548333,0,2548333,596170,104699,53608,224745
1999,Banking,23271671,6586463,0,0,0,0,847426,0,20952510,19561246,0,0,0,0,2319161,2629643,0,2629643,1393340,59223,18344,150080
2000,Banking,24065889,7040074,0,0,0,786401,793567,0,21702487,18942520,0,0,0,0,2363402,2506525,0,2506525,1226672,127670,4613,95427
2001,Banking,23779132,7665100,893538,111979,0,1281838,796408,0,21235631,19467375,53896,1051,115878,0,2543502,2315127,0,2315127,236194,275956,88886,249995
2002,Banking,27172194,8530359,937058,120900,0,2192565,771499,0,24445220,21970811,103177,149826,135131,0,2726974,1867140,0,1867140,254141,343449,95729,311834
2003,Banking,27958488,6654640,809723,199037,0,3788114,905881,0,24963798,21933409,173440,23041,229961,0,2994690,1995295,0,1995295,523273,607313,126097,413788
2004,Banking,27675478,6781663,836254,249237,0,4367467,833959,0,24586113,21132106,195453,21853,498128,0,3089365,1939399,0,1939399,643252,602414,165181,407863
2005,Banking,36121797,9757045,1166821,222127,0,6550782,716988,0,32679712,24144447,325089,3202063,643877,0,3442085,2446921,0,2446921,1256163,1280314,252645,853069
2006,Banking,38807077,9348942,1466753,176477,0,6912878,709295,0,35325768,27940304,476092,1028372,653245,653244,3481310,2888992,0,2888992,1155017,1341893,255304,805048
2007,Banking,47816733,9084736,1352516,818639,0,9696126,727835,0,44132282,31549871,769261,2957159,1640452,1640453,3684452,3621723,0,3621723,1407015,1519402,302286,1014698
2008,Banking,56143047,11247599,1779001,1020792,0,8955904,838772,0,51811269,38098515,1752522,1881715,1816893,1816892,4331778,4816463,0,4816463,1776383,1914182,262939,1410013
2009,Banking,58794371,10723758,1784728,1388786,0,8544217,915482,0,53420055,38609972,1574465,2113729,1499758,1499759,5374316,4331519,0,4331519,1482724,1577330,332119,1028843
2010,Banking,71411547,24067369,1861727,855985,0,3316113,980194,508577,65517192,47124501,1100568,4574452,5586866,5586867,5894354,4225697,0,4225697,1815617,0,410105,1286915
2011,Banking,68780986,14255161,2254100,542833,0,8279493,1055560,515949,62476009,44384723,991143,2100837,5241655,5241656,6304977,4853331,0,4853331,1758663,1883332,442207,1441125
2012,Banking,84626405,18715118,1783652,699349,0,11039087,1166082,537362,77289890,54625765,911544,3082201,7642264,7642264,7336516,5864305,0,5864305,1895721,2025705,487059,1538646
2013,Banking,92198945,20385227,3207572,179312,0,967313,1426420,447833,83909483,59626223,644563,0,0,0,8289462,5712530,0,5712530,2292650,0,593199,1666402
2014,Banking,102042151,22679330,3861061,290431,0,1586933,1497640,433303,92287281,62054233,705076,0,0,0,9754870,6174715,0,6174715,2754181,0,804227,1908584
