year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2003,Banking,2271314,446336,61542,13191,0,10552,90099,6920,2121208,1624931,6610,85833,106574,0,150107,161695,0,161695,9010,11034,5951,6014
2004,Banking,2325527,512181,73898,4319,0,56557,80808,6049,2164086,1632423,7240,47986,148920,0,161441,187170,0,187170,19219,16314,6868,11327
2005,Banking,2941431,564261,38737,12689,0,242310,94529,6608,2765143,2027240,15286,297004,132701,0,176288,197526,0,197526,29340,29799,6872,21372
2006,Banking,3094788,536002,85323,8082,0,173864,98161,0,2890842,2219614,18213,155378,118556,118556,203946,249087,0,249087,43083,41678,10283,29591
2007,Banking,3525881,484747,63323,9898,0,329100,104027,0,3304952,2492014,24727,202406,184084,184084,220929,288167,0,288167,42824,43651,11141,30554
2008,Banking,4369376,1154127,107420,7910,0,140115,101074,0,4135148,3166726,34546,131968,258241,258241,234228,297031,0,297031,62046,59594,16465,40177
2009,Banking,4570920,896879,95768,5098,0,370252,121851,0,4256522,3422907,19022,0,247746,247746,314398,331159,0,331159,81633,82592,22478,56171
2010,Banking,4949238,1270262,119912,8023,0,231761,107275,6824,4597160,3407113,29935,108141,362293,362293,352078,296974,0,296974,81319,0,22009,57578
2011,Banking,5301375,1599685,133938,4254,0,10016,113999,7147,4913851,3671850,33261,27264,541791,541791,387523,334232,0,334232,90423,91988,25112,66876
2012,Banking,6134527,1592315,191936,17405,0,30854,144357,6204,5666822,4149148,23322,132808,826252,826253,467705,410504,0,410504,103995,119562,35090,84472
2013,Banking,7769165,1715524,256464,17701,0,0,156593,6646,7099343,5247854,46249,0,0,0,669823,518090,0,518090,154443,0,44952,107505
2014,Banking,9236949,2050145,314116,22084,0,0,158078,5853,8516865,6121029,34317,0,0,0,720085,643556,0,643556,144905,0,44588,95183
