year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2003,Manufacturing,94158,57777,0,2440,0,5335,15535,94,8248,7078,7061,0,0,1170,85910,23598,0,23598,8768,10862,1546,8808
2004,Manufacturing,96903,63013,0,3414,0,5440,14878,0,8572,7389,7389,0,0,1183,88331,26992,0,26992,14707,10612,2426,7647
2005,Manufacturing,105054,49760,0,1897,0,34407,13525,726,17722,16158,16158,0,0,1502,87333,31476,0,31476,19473,25430,6085,18278
2006,Manufacturing,101975,54617,904,5301,0,29514,12587,2700,8845,7442,5479,0,0,1369,93129,44840,0,44840,32381,39436,8735,29168
2007,Manufacturing,109485,77236,1713,7211,0,17618,10761,2498,12214,10756,10757,0,0,1451,97271,67136,0,67136,49264,60424,14046,43915
2008,Manufacturing,98611,69638,52854,2953,0,16522,9590,2147,9384,8035,5568,0,0,1349,89227,52274,0,52274,35688,43403,10425,31149
2009,Manufacturing,100181,66625,42048,7053,0,22186,9601,924,6127,5235,4318,0,0,893,94054,48132,0,48132,26613,32974,7747,23869
2010,Manufacturing,103020,53646,29597,6337,0,36835,9480,2152,8804,8069,5342,0,0,734,0,51324,0,51324,31886,38270,9696,26872
2011,Manufacturing,90809,35598,9387,3599,0,14635,9374,2532,6085,5035,3028,0,0,1050,84724,48556,0,48556,30265,38022,9955,28068
2012,Manufacturing,97757,48764,27875,13838,0,9244,9133,2781,9282,8306,3756,0,0,976,88475,50408,0,50408,30822,35047,10195,24851
2013,Manufacturing,88129,35731,16630,2868,29,5584,11583,5589,6925,5070,2594,330,85,1485,81204,46590,0,46590,19709,25810,7040,18770
2014,Manufacturing,85320,30664,14032,1844,34,4213,10525,11132,6236,5400,5034,123,47,509,79084,37437,0,37437,13085,17449,4750,12699
