year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,Manufacturing,488733,30660,494,0,26819,0,444570,0,113855,66666,35514,0,0,0,374879,55043,83481,-28438,-43361,-6742,0,-6742
1997,Manufacturing,472921,31830,1251,0,27434,0,424320,0,103955,56400,41611,0,0,0,368965,86464,136725,-50261,-67839,-12302,0,-12302
1998,Manufacturing,463655,79635,7386,0,39144,0,371811,0,126142,73066,56623,0,0,0,337512,94804,92809,1995,-18584,-35728,0,-29131
1999,Manufacturing,487446,81152,6849,1495,48767,0,375373,0,166003,103308,51791,49685,0,0,308739,121685,121307,378,-24944,-47204,0,-47204
2000,Manufacturing,482399,87581,1532,0,51992,0,362950,0,186230,112708,57891,53965,61285,12237,296169,181779,152741,29038,4205,-12502,0,-12502
2001,Manufacturing,479962,96898,19721,692,38257,0,353719,0,207404,61569,44291,0,102387,0,272558,250240,192951,57289,27619,15389,-1206,12527
2002,Manufacturing,459777,96185,8152,1527,46093,0,346475,0,201865,64700,48171,1881,87013,0,257911,242677,188641,54036,16184,9726,-201,6993
2003,Manufacturing,436271,77611,0,4692,44728,0,336708,5678,150273,59298,49080,0,81526,9449,285998,214350,180768,33582,3113,-4791,-450,-4007
2004,Manufacturing,460473,83601,0,319,49167,5806,349957,0,146182,74100,50083,0,63778,8304,314291,186476,130774,55703,28799,31465,4881,22967
2005,Manufacturing,467419,80608,0,2415,57370,5753,333559,1117,127976,76936,54152,0,45310,5730,339442,183176,109845,73330,45651,50913,6272,39995
2006,Manufacturing,493487,81048,9512,1123,28104,6217,352758,0,117806,74320,48888,16468,22605,15384,375681,221804,127786,94019,61326,60919,10074,43381
2007,Manufacturing,488980,75001,3216,8854,27675,5868,345774,813,91627,66317,46408,13714,16056,9254,397353,214124,128069,86055,70282,66012,9143,50098
2008,Manufacturing,481219,99883,3156,7158,26718,5398,311110,1748,132769,79407,45163,30338,14718,38644,348450,198733,132218,66515,38490,33996,4676,25855
2009,Manufacturing,657493,130820,4270,25342,30204,5686,435480,1521,247743,80044,54551,13299,89332,78368,409750,285724,189513,96211,96803,84539,12215,63275
2010,Manufacturing,648859,163791,17161,58087,30881,5437,414315,989,229490,117335,83822,16177,39407,72748,0,381389,242736,138653,118505,112692,15285,86084
2011,Manufacturing,674488,185005,8334,56633,44722,5117,419354,653,197243,125348,89004,33701,22593,49301,477245,402313,267925,134388,138430,133641,19730,113910
2012,Manufacturing,673279,117921,18689,45504,44670,5249,441186,430,261207,84288,72540,163,0,176919,412072,370308,285121,85187,45755,43800,6055,37744
2013,Manufacturing,682464,128603,8502,37498,59509,5168,436415,399,270755,88430,80629,0,0,182325,411708,245560,185578,59982,39500,23700,3559,20141
