year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,Manufacturing,1463651,152008,3905,8938,125465,0,1299861,0,238733,110738,101010,9728,0,0,1223325,0,0,0,-330,-316,0,-316
1997,Manufacturing,1368926,123489,943,0,98695,0,1229350,0,307601,156904,135774,1104,0,0,1061325,192425,315780,-123355,-159099,-161410,0,-161410
1998,Manufacturing,1535848,131007,642,0,107834,0,1387624,0,468043,219635,190764,0,0,0,1067805,133682,211760,-78078,-108933,-114486,0,-245195
1999,Manufacturing,1682274,82500,994,0,67604,0,1583505,0,343455,194106,159339,0,0,0,1299544,159695,257130,-97435,-125864,-126754,0,-127312
2000,Manufacturing,1635946,80334,528,0,71613,0,1544318,0,460754,272526,234476,0,188228,0,1175193,157399,216574,-59175,-81986,-108022,0,-108227
2001,Manufacturing,1676379,135094,218,9325,115628,0,1514896,0,609758,333241,327710,0,0,192313,1066621,138388,137121,1268,-45628,-76790,0,-68634
2002,Manufacturing,1678666,137729,2021,22183,95729,0,1519010,0,558748,319399,319399,0,55126,141092,1119918,199410,157178,42232,-5164,-10731,0,-18622
2003,Manufacturing,1634416,116056,7925,7188,91229,2853,1505143,0,471075,214981,214981,0,57856,152391,1163341,175600,151922,23677,-2939,-20992,15102,-36094
2004,Manufacturing,1621702,105693,0,3578,63520,2831,1505113,0,445037,249270,239952,0,42815,145662,1176665,127672,120579,7093,-11289,8328,0,1088
2005,Manufacturing,1560454,97213,0,15571,61939,10129,1432946,0,430782,236876,219408,0,32863,152356,1129672,184149,131387,52761,38277,16286,-633,3438
2006,Manufacturing,1637262,128087,6908,8308,26439,0,1372066,340,441959,370540,339451,0,0,67402,1195303,221645,142524,79121,46169,84633,3107,71946
2007,Manufacturing,1337529,156726,9445,8396,30103,0,1045642,432,436158,132628,93945,31028,18691,271217,901371,245532,157902,87630,73856,44501,9044,29414
2008,Manufacturing,1323793,157867,3214,6512,29292,0,1033088,1571,612380,145029,105613,34670,79673,374506,711413,261682,188216,73466,73791,45912,7708,32496
2009,Manufacturing,1490920,225253,17832,48669,35008,0,1140176,1670,632241,155545,106225,24835,96997,370097,858679,368924,205582,163341,158892,141259,18160,109648
2010,Manufacturing,1639569,350854,55862,46676,43369,0,1138279,1132,582710,201466,82564,72561,96035,275107,0,508930,208353,300576,333107,323284,41667,250754
2011,Manufacturing,1722174,298440,8687,28204,71836,0,1203898,1255,401189,144931,99378,37092,82226,170883,1320985,584254,277586,306669,368306,365489,54169,311319
2012,Manufacturing,1787874,178874,17645,21561,103024,0,1266404,2046,542830,92004,56767,2246,4728,443228,1245044,525136,314648,210488,116704,116890,17422,99468
2013,Manufacturing,1803512,224157,37226,37298,93054,0,1249773,1910,581689,130909,96425,16740,3588,446608,1221823,459083,346271,112812,50176,19259,3083,16176
