year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,Manufacturing,41431,23219,5004,0,1214,0,16669,0,12137,12137,12077,0,0,0,29294,19027,11287,7741,2966,5222,766,4205
1997,Manufacturing,42397,22475,438,0,1062,0,15572,0,12516,12516,12453,0,0,0,29882,20855,13103,7752,3224,3889,826,2802
1998,Manufacturing,36519,7460,1672,0,1690,0,16941,0,7321,7321,3014,3903,0,0,29198,13023,11634,1390,-1421,-1392,90,-1482
1999,Manufacturing,40063,8315,929,5400,814,0,16055,0,8491,8491,4269,3970,0,0,31573,24669,15959,8710,4153,3459,838,2378
2000,Manufacturing,38588,6065,459,0,4459,0,14756,0,6011,4118,1634,1921,0,0,32577,23071,13885,9187,4202,3619,1093,2210
2001,Manufacturing,39896,6603,129,3254,1116,0,14202,1505,7552,7552,6343,1209,0,0,32343,33275,25364,7911,4700,2161,660,1154
2002,Manufacturing,25262,7031,49,3638,1397,0,14607,3161,10750,8256,6131,2125,0,0,14512,33286,26517,6769,3653,-15343,0,-15343
2003,Manufacturing,26237,7896,0,2771,1206,449,13962,3930,11720,8974,7874,0,0,2746,14517,33106,26515,6590,2774,-606,-115,-490
2004,Manufacturing,26454,6844,0,1585,1709,367,12593,6081,10844,8386,8237,0,0,2458,15610,34098,26173,7926,3852,416,-175,643
2005,Manufacturing,27626,9020,0,2996,2548,369,12681,4758,10304,8170,7386,0,242,1892,17322,39095,30187,8908,4436,1743,0,1743
2006,Manufacturing,43984,23161,5952,10466,2313,730,15801,4292,20172,14495,8356,0,0,5677,23812,64571,37717,26854,13914,15020,4545,9158
2007,Manufacturing,53408,21316,3592,7673,5928,7127,17144,7821,23818,18941,13429,0,0,1617,29590,66762,35101,31662,17810,17415,5198,10709
2008,Manufacturing,67004,27114,2858,5991,4447,14158,16168,9564,34077,30064,24679,0,214,1446,32927,70095,43198,26897,13466,12474,3925,7410
2009,Manufacturing,89975,27740,3931,6236,5848,15323,26918,16789,56394,30408,27403,0,13272,1329,33581,53411,43620,9791,1717,1782,465,1196
2010,Manufacturing,112074,34438,49,12350,11804,20909,28167,26556,75555,29727,18922,5967,4779,36955,0,58940,33741,16457,6922,5175,109,5066
2011,Manufacturing,56897,12662,1319,1702,5120,0,11543,14858,43263,22806,9369,10764,1241,11332,13634,32543,22430,10113,6711,7419,2013,5406
2012,Manufacturing,106989,19046,3685,3855,5279,0,16423,40428,79328,23563,14744,8257,5829,40919,27661,27817,23867,3950,-855,426,633,-206
2013,Manufacturing,106342,16657,3039,2133,3870,0,16609,40718,62965,20701,16738,2852,24,34292,43377,22276,19535,2741,-4140,-4738,484,-5221
