year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2003,Manufacturing,16822,10340,0,1170,0,201,1940,3759,2172,1603,1548,0,570,0,14649,13078,5037,8040,161,232,68,141
2004,Manufacturing,18119,12251,0,1156,0,1639,1651,2104,2031,1527,1470,0,487,0,16088,14585,5097,9488,1515,2018,512,1415
2005,Manufacturing,23710,19631,0,1204,0,562,1514,1492,4754,4345,4285,0,409,0,18956,19041,4963,14079,6317,8624,2138,6111
2006,Manufacturing,34819,26735,20022,1606,0,829,2131,4551,8976,8635,2792,0,0,341,25844,33740,6107,27633,18942,21139,5380,14817
2007,Manufacturing,46519,34220,1000,6872,0,1482,2564,7261,11558,11558,2611,0,0,0,34960,53876,5836,48040,40555,42423,11562,28833
2008,Manufacturing,41924,19720,14114,2393,0,2514,9238,9510,9620,4739,2121,971,4881,0,32304,30149,6009,24140,16482,18294,5163,12225
2009,Manufacturing,47615,20381,14015,4002,0,3122,7357,13703,9516,5226,2251,1391,4290,0,38099,26183,5835,20349,12460,13151,3715,8784
2010,Manufacturing,49042,25666,16658,4988,0,2794,6466,12244,8272,5736,1956,959,2187,349,0,29154,5775,23379,15401,16000,4678,10502
2011,Manufacturing,48318,23248,18119,2696,0,4959,7268,11137,6868,4460,2182,853,1205,1204,41450,31744,6476,25268,16406,20332,5952,13498
2012,Manufacturing,53160,25463,13290,9153,0,7193,7782,10403,8728,5671,4029,1041,89,2968,44431,28807,7844,20963,10211,14247,4370,9877
2013,Manufacturing,50048,20320,8801,6999,0,9884,7701,9881,8517,4397,4309,494,0,4120,41531,21831,11699,10131,3286,8887,2850,6037
2014,Manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
