year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,220376,63143,5628,0,40291,0,153171,1079,31701,19246,8709,1956,0,0,188675,155306,98082,57224,9776,11721,2197,8028
1993,Manufacturing,276782,108071,47270,0,41484,0,154179,3038,49855,36568,15685,6952,0,0,226926,202314,94622,107692,56049,57393,7411,41340
1994,Manufacturing,313886,152311,85970,0,48146,0,150098,0,49240,49240,32448,4923,0,0,264645,276982,117556,159426,100780,100824,20653,70534
1995,Manufacturing,434318,153932,58693,0,67811,0,192814,0,112818,85661,21634,44742,0,0,321500,332784,165861,166923,98683,101171,20899,70923
1996,Manufacturing,489958,144197,43872,0,72394,0,260056,25698,147091,92006,38276,33289,0,0,342867,316660,131987,184673,123712,113280,31465,70018
1997,Manufacturing,467102,122704,28501,0,66363,0,227949,0,86581,71068,35444,20228,0,0,369516,377402,150262,227140,151895,148455,40068,93403
1998,Manufacturing,1093690,299755,133807,0,98338,0,612391,0,383302,211230,49715,66359,151466,20606,710388,328688,123913,204775,124367,112647,29461,70977
1999,Manufacturing,969798,139060,17719,0,74207,0,648466,0,408254,203190,128141,0,101379,103686,561543,352128,129528,222600,122278,100017,24520,66325
2000,Manufacturing,820893,197572,53181,0,60515,0,530749,14721,161241,54998,15904,19187,0,0,659652,328688,117168,211520,105490,95722,16078,72151
2001,Manufacturing,759784,150200,32955,7885,61087,0,485964,851,233126,87426,45164,4,45215,0,526657,298404,113082,185322,71750,77758,16007,55243
2002,Manufacturing,738094,126123,9256,10303,58687,0,455942,2103,169885,81594,46368,0,0,0,568209,357417,132394,225023,123899,112219,26516,74578
2003,Manufacturing,1113580,131032,0,8009,55590,532660,426225,4292,519340,97488,49742,0,334218,87634,594240,339905,126251,213654,112660,113932,26408,76167
2004,Manufacturing,1095700,117541,0,9672,69348,532182,395727,0,443961,104707,53179,0,258836,80418,651739,387613,171721,215892,141276,138661,32650,93920
2005,Manufacturing,1400547,320155,0,4908,79876,687255,364695,0,609805,187677,94167,0,257431,164697,790741,395006,174236,220770,135505,131355,35972,82061
2006,Manufacturing,1364107,314767,160213,3764,92821,561633,436835,19946,515706,137704,56744,50243,307084,70801,848401,478197,185054,293143,184521,197190,52289,125536
2007,Manufacturing,1252807,175775,5996,12162,104259,486497,565017,0,439228,168878,57832,75401,207785,62565,813579,510440,194954,315486,204549,210340,56207,26594
2008,Manufacturing,915344,160749,11138,8164,100811,305317,416077,8938,351967,156063,77308,53634,128296,67608,563377,538039,263784,274255,182390,165703,49094,77130
2009,Manufacturing,1166467,285381,101046,8299,116448,370167,481307,9822,463066,159872,65844,72388,245555,57640,703401,613019,304090,308929,212060,215083,57108,136824
2010,Manufacturing,1305983,292654,127728,6243,125687,492896,490287,13586,468857,231150,67091,129384,197580,40127,0,663683,324837,338846,226836,289714,68790,220924
2011,Manufacturing,1699201,594112,330805,8257,167819,22107,869252,5455,770301,252999,92677,125567,424841,81536,928900,657632,327153,330479,180084,201637,38333,163305
2012,Manufacturing,2189396,848642,11688,6440,244756,35841,984353,7156,436961,138879,95058,23510,197836,83215,1752435,806025,427894,378131,224524,221912,70171,151741
2013,Manufacturing,2866672,1382116,915156,4847,293546,36474,1044732,7282,1051425,111651,88355,0,833518,85523,1815247,838863,420848,418015,271756,217243,69416,147827
