year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,150302,61022,16560,0,16479,0,75362,0,18792,18170,13438,0,0,0,131510,113063,52658,60404,36016,43445,0,38682
1993,Manufacturing,154673,71310,11703,0,19801,0,77845,0,17278,17098,12737,0,0,0,137394,105955,56841,49114,18011,23010,0,20893
1994,Manufacturing,173827,95568,23122,0,26034,0,71120,0,20625,20460,9641,0,0,0,153203,155604,69811,85793,51271,49832,0,44717
1995,Manufacturing,200950,124631,20135,0,22318,0,70080,0,45079,44884,32025,0,0,0,155871,194873,93952,100921,51065,49407,13590,30784
1996,Manufacturing,153904,82103,7320,0,22804,0,66044,0,11003,9847,0,0,0,0,142901,65100,42517,22583,-4075,-5803,2303,-8107
1997,Manufacturing,172016,67686,26476,0,25438,0,61747,0,17922,17922,12829,0,0,0,154094,111823,51952,59872,18113,22765,2202,16810
1998,Manufacturing,173072,70216,24100,0,25829,0,63572,0,22873,22873,18738,0,0,0,150199,127109,57098,70010,26494,32101,8583,20338
1999,Manufacturing,178117,62710,23399,6053,28012,0,71101,0,25995,25995,15473,0,0,0,152121,128014,55779,72234,26498,34479,9524,21420
2000,Manufacturing,174272,58477,14210,0,31593,0,83343,0,24162,24128,12310,7193,0,0,150110,147389,69259,78130,29593,30610,9023,18331
2001,Manufacturing,168754,52327,17743,3894,24520,0,73259,0,19086,19086,19085,0,0,0,149668,121721,52368,69352,25386,27190,7008,17444
2002,Manufacturing,170654,55749,17896,1817,27135,0,70348,0,17692,17692,17693,0,0,0,152961,146436,48259,98177,37752,37687,9544,24167
2003,Manufacturing,169703,59009,0,4243,18716,34978,70358,0,22532,22532,22531,0,0,0,147172,146163,47987,98176,47535,47572,12023,30592
2004,Manufacturing,186621,73699,0,5565,15215,33830,76940,1780,25589,25589,25589,0,0,0,161032,167800,51015,116785,67084,57078,17065,33693
2005,Manufacturing,205258,88849,0,2448,14856,32647,83761,0,35490,35095,35096,0,0,395,169768,193949,56991,136958,83568,78045,22361,47402
2006,Manufacturing,279620,193627,44666,4878,10899,6325,79668,0,25972,21240,13976,0,0,709,253649,177465,52414,125051,75429,153436,18610,127934
2007,Manufacturing,213562,115253,66684,11948,15566,5970,92339,0,58181,47615,42697,0,0,6865,155381,261417,82697,178720,60032,62292,17801,37899
2008,Manufacturing,190496,68996,10931,15583,23124,5480,116020,0,52202,31313,27517,0,0,18270,138294,300279,113485,186794,50205,52510,15968,30628
2009,Manufacturing,232826,99016,55585,11922,23725,5742,128068,0,74306,54077,45636,0,0,18880,158520,314563,119736,194826,58261,58104,15964,36227
2010,Manufacturing,235855,104483,43166,13267,19761,5491,124424,0,106192,86856,77318,0,0,18911,0,349771,87098,229342,51437,52253,17354,34899
2011,Manufacturing,277181,129478,11300,17033,21771,31,142535,0,135120,110159,95783,0,0,24422,142061,392314,143850,248464,75340,77299,24098,53202
2012,Manufacturing,270340,70307,15844,15236,27213,32,194732,0,145458,120556,109042,42,537,24037,124882,427866,156378,271488,92059,94966,29638,65328
2013,Manufacturing,354409,98639,41399,19396,22683,31,233225,0,200668,168342,156399,1201,8971,23355,153741,497610,171269,326341,147813,147605,44953,102651
