year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,Manufacturing,133636,33588,67,191,33133,0,99638,0,30568,19819,9827,51,0,0,103068,25147,27508,-2361,-6206,-10089,0,-10089
1997,Manufacturing,175440,35474,107,0,33737,0,139555,0,34010,25740,21624,0,0,0,141430,19774,20855,-1081,-4774,-3189,0,-3189
1998,Manufacturing,136206,17412,104,0,15582,0,118793,0,43009,36842,26578,0,0,0,93184,10108,12224,-2117,-6174,-8062,0,-8062
1999,Manufacturing,162758,42872,19,0,24086,0,119884,0,69729,42379,16960,194,18668,8682,93028,12279,12396,-117,-5124,-10668,0,-2313
2000,Manufacturing,162930,25411,275,965,17024,0,122063,1,69079,51867,51557,310,16763,0,93852,31607,22450,9156,5223,-2019,0,-2000
2001,Manufacturing,155190,28033,5,104,19180,0,123141,0,66081,51522,41926,4860,14553,0,89109,29169,21638,7532,3348,-3199,0,-3609
2002,Manufacturing,150802,28686,0,272,22105,0,122116,0,74687,52319,41718,0,20631,0,76115,39384,33117,6267,1997,-5742,0,-6259
2003,Manufacturing,121396,6429,215,124,148,0,76632,0,100878,5205,3135,0,0,95674,20518,17172,6866,10307,8181,21614,0,21614
2004,Manufacturing,113305,9383,86,1837,513,0,77972,0,91605,6404,5615,0,0,85201,21700,22404,13844,8560,11519,12992,521,12287
2005,Manufacturing,112837,16382,154,0,689,0,66874,0,85316,10205,10162,0,0,75112,27521,17841,12335,5506,9667,3993,-168,4220
2006,Manufacturing,115663,30265,1640,0,2465,0,60425,0,91098,15071,15072,0,0,70332,24565,27860,17553,10307,9358,11923,2012,9206
2007,Manufacturing,103951,33793,185,14405,1508,0,58059,0,79411,17385,15405,0,0,62025,0,33062,16356,16706,2473,2422,400,1881
2008,Manufacturing,95859,24808,1933,0,2473,0,55422,0,48208,6820,5648,0,0,37533,47650,40359,16442,23916,28790,29126,4361,24765
2009,Manufacturing,88706,18881,79,0,3522,0,60681,0,33709,9448,4847,0,0,24260,54997,42339,20283,22056,6512,7195,1107,6088
2010,Manufacturing,92132,6874,13,0,1207,0,60958,0,34353,9996,9162,0,0,24357,57778,26167,18841,7326,6547,4210,584,3626
