year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1997,Manufacturing,82017,10797,120,0,8497,0,69327,0,22360,12460,9633,0,0,0,59658,9069,12381,-3312,-10400,-10788,0,-10788
1998,Manufacturing,80319,10995,656,0,8692,0,67702,0,31134,19638,16063,0,0,0,49185,10226,13853,-3626,-7400,-10964,0,-10964
1999,Manufacturing,91606,14560,114,0,10702,0,71816,2777,40809,29058,23945,1640,0,0,50797,10977,9372,1605,-2445,-4857,0,-4857
2000,Manufacturing,96637,19750,1171,0,14249,0,73962,0,31037,16930,0,693,13715,392,65601,18278,13103,5175,1864,-87,0,9533
2001,Manufacturing,92168,14236,1,0,11254,0,67166,0,29792,15914,6143,61,0,0,62377,8001,6839,1162,-1901,-5202,0,-1582
2002,Manufacturing,100000,20528,183,314,15982,0,75446,1896,40251,24789,9610,350,14563,0,59748,22541,17852,4689,500,-2909,0,-3393
2003,Manufacturing,88423,8026,0,29,7311,8332,66082,0,35014,25313,17848,0,9174,527,53409,12374,11350,1024,-1290,-2121,0,-3262
2004,Manufacturing,85683,5769,0,29,5128,8332,65487,0,35966,26060,21043,0,9297,609,49717,9939,11403,-1464,-3407,-1249,20,-3555
2005,Manufacturing,82401,7600,0,18,7144,8043,62982,0,33080,24432,19596,0,8060,588,49321,6592,6197,395,-1195,-2304,0,-3743
2006,Manufacturing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Manufacturing,72598,4249,3,393,2015,7492,58265,0,24601,20264,15137,4958,524,3138,47997,4626,4626,0,1013,903,0,903
2008,Manufacturing,72386,10845,2,7254,398,6892,54497,0,29513,26152,21605,4271,0,2740,42874,2227,2227,0,802,-329,0,-329
2009,Manufacturing,76605,12055,3,9374,89,7259,57157,0,33786,30389,26442,3648,0,2743,42818,5760,1687,4073,-1314,-2230,0,-2230
2010,Manufacturing,78929,17511,1,16542,14,6941,54477,0,40270,38000,34524,3169,0,1645,38658,5005,1177,3828,-1691,-2982,0,-2982
2011,Manufacturing,104592,21178,87,1857,0,0,79393,0,35275,33936,30120,2825,710,629,69317,4014,1056,2958,2083,481,0,481
2012,Manufacturing,110518,9737,181,318,553,0,80156,11,36558,27509,25935,689,0,9049,73960,12513,9964,2549,-349,65,0,65
2013,Manufacturing,100805,13614,1278,663,696,0,78252,11,29295,28023,25845,743,0,1272,71511,14714,11655,3059,-2128,-2534,0,-2534
