year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2004,Manufacturing,277285,48353,0,146,7907,0,137048,88663,196649,42851,31001,0,56418,97380,80636,198599,128607,69992,45844,47859,13330,30664
2005,Manufacturing,284533,44290,0,215,7096,0,144302,92592,191310,58935,36228,0,33159,99216,93223,176363,111778,64586,41897,29767,11478,14962
2006,Manufacturing,285338,45473,1673,309,7442,107,142975,94834,159795,60535,27361,20668,7681,91579,125543,213076,128641,84435,53400,56945,18131,33558
2007,Manufacturing,299916,57220,10496,227,7653,101,137426,86107,154522,39216,22820,12049,75531,39775,145394,209232,140356,68876,43728,43918,13197,26896
2008,Manufacturing,328420,65943,9300,5479,8243,93,152304,107937,148218,64337,35557,22193,53812,30068,180202,275957,163476,112481,81459,74353,21626,46458
2009,Manufacturing,377393,66924,17688,10323,10876,98,162245,143082,153002,85811,39138,31897,32803,34388,224391,355351,207479,147873,105523,110122,32218,68565
2010,Manufacturing,372582,51517,19417,12911,10802,94,166649,149473,126098,85699,49711,24842,12609,27790,0,433964,248466,185498,136762,136443,39974,85443
2011,Manufacturing,474133,114032,73400,11699,15141,0,176916,168592,165814,82814,50836,18742,39881,14278,308319,500601,304801,195801,143718,143980,43495,100485
2012,Manufacturing,575357,113936,47721,14484,22047,0,235908,213172,181054,92594,62223,14061,30079,34760,394303,580652,355531,225121,160750,163520,48115,115405
2013,Manufacturing,624184,114135,49222,7204,19750,0,260255,237643,241760,118067,63177,44620,61701,35124,382424,561382,397142,164240,109691,91428,28126,63301
2014,Manufacturing,638572,94009,22206,3039,25330,0,293460,239128,249766,143303,77983,62011,42586,33264,388806,566844,428664,138180,78258,68706,25393,43313
