year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2004,Banking,3168060,722867,38222,45806,NA,581447,64397,459,2633640,1570807,71491,163225,495628,0,534420,260396,NA,NA,88976,71053,18815,45869
2005,Banking,3216388,686875,36951,25604,NA,256272,62453,343,2664419,1573163,88931,400400,375065,0,551969,322447,NA,NA,123585,118073,35526,76007
2006,Banking,3525456,633524,52279,20522,NA,311119,64013,0,2936691,2002335,60316,195154,209280,209281,588765,443321,NA,NA,97529,88562,36955,44043
2007,Banking,3408371,215457,60176,58873,NA,651208,55365,0,2778456,1872489,120608,160188,57953,57953,629915,482447,NA,NA,137011,136876,52381,74220
2008,Banking,4323223,1283368,82083,168092,NA,378957,51026,0,3673249,1894243,169062,789860,9686,9686,649974,516876,NA,NA,225865,238725,77913,145440
2009,Banking,4287881,596136,76521,42154,NA,1156714,48830,0,3544156,2792772,76582,322244,26656,26657,743726,459866,NA,NA,68999,63781,13286,48176
2010,Banking,5165323,2738766,61944,37505,NA,154537,49704,818,4414323,3716535,82949,1932,211543,211542,751000,385697,NA,NA,79063,0,40559,43681
2011,Banking,4919334,1867734,62500,53696,NA,540036,43524,593,4329192,3641025,91484,84458,183853,183853,590142,388900,NA,NA,78585,89834,32077,57756
2012,Banking,5643348,2781567,125815,93993,NA,150534,44235,3661,5013266,3456923,156583,601830,368082,368082,630082,420145,NA,NA,105767,117964,36863,81101
2013,Banking,6882763,3181168,114796,26944,NA,410565,45657,6423,6197211,5282761,66438,0,0,0,685552,351663,NA,NA,108240,0,35767,67597
2014,Banking,6546705,2513603,165203,19296,NA,27714,46075,6497,5827427,4922021,84317,0,0,0,719278,331436,NA,NA,69667,0,26623,39784
