year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,49243,16346,396,0,12697,0,32570,0,9639,4095,1470,126,0,0,39604,20313,18804,1509,-3972,-225,193,-418
1993,Manufacturing,51380,20337,465,0,17759,0,30743,0,10518,5700,1638,268,0,0,40862,23091,16211,6880,1341,2079,604,1251
1994,Manufacturing,98868,51792,365,0,48750,0,46496,0,29635,12112,3630,1912,0,0,69233,68119,49733,18386,-5626,-2864,1884,-4747
1995,Manufacturing,87101,49265,1073,580,34335,0,37437,0,24022,13557,5568,2185,0,0,63079,71254,56885,14369,-4683,-6122,0,-6122
1996,Manufacturing,82468,51897,2240,0,35334,0,30254,0,23197,18606,3233,6790,0,0,59271,66934,50981,15953,889,-4327,0,-4327
1997,Manufacturing,66241,41344,236,12132,22250,0,24569,0,12400,11791,4169,5906,0,0,53841,67642,52112,15531,-5114,-5436,0,-5436
1998,Manufacturing,66692,40901,543,13527,21897,0,25635,0,15779,15156,6977,8036,0,0,50914,69898,53084,16815,-526,-80,0,-2313
1999,Manufacturing,63735,39486,1119,13878,21933,0,24118,0,11512,11070,7015,4056,0,0,52223,69165,53881,15284,-709,1962,0,1962
2000,Manufacturing,77390,52501,502,18474,30129,0,22742,0,15562,15011,11785,2714,295,0,61828,79657,58942,20715,4938,8212,2510,5702
2001,Manufacturing,81506,59534,0,24425,28003,151,21699,0,12399,10834,9011,0,1481,84,69106,89362,67530,21832,4750,8442,504,7731
2002,Manufacturing,97059,64004,0,24362,26942,185,32869,0,29746,22952,9377,0,6794,0,67313,90210,72031,18179,60,1783,565,1009
2003,Manufacturing,111265,75586,0,27079,34613,179,35500,0,43975,34920,13968,0,9054,0,67290,107727,84279,23447,3033,5662,1780,3222
2004,Manufacturing,123713,80248,476,23909,40531,183,43283,0,54749,44321,18806,6493,0,0,68964,128575,103753,24823,2912,4033,1094,2534
2005,Manufacturing,126439,83503,1324,33365,39257,237,42700,0,45828,35937,13500,13271,9892,0,80611,143916,105759,38157,22019,20198,3493,15412
2006,Manufacturing,156099,87017,625,29460,48298,161,68921,0,65688,44938,17389,11908,12983,0,90411,130243,89693,40550,13301,9549,3048,5373
2007,Manufacturing,160400,91143,2303,31971,48733,195,69062,0,65253,49980,16135,30692,7092,0,95147,126562,98381,28181,1944,2464,0,2464
2008,Manufacturing,173109,106059,2002,36391,55522,151,65734,369,79213,61822,28162,27765,5830,0,0,142324,108225,34099,7199,6474,1023,5075
2009,Manufacturing,166125,101768,769,35561,54795,108,63825,424,73550,58357,24702,33644,4863,0,92575,148570,107981,40589,8594,8459,3974,4485
2010,Manufacturing,337885,103986,1563,39946,51358,111,233279,510,115747,53329,23660,29669,2226,0,222138,164712,125478,39234,7998,8063,2964,5099
2011,Manufacturing,333565,103223,962,37565,51906,109,229710,523,122121,59928,28222,31706,2928,0,211444,152843,117620,35223,-3502,-7319,0,-7319
