year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,542007,322419,130550,0,138382,0,210,0,338231,338231,236435,39634,0,0,203776,359094,292386,66708,26864,29855,8893,18425
1993,Manufacturing,396828,239498,95555,18561,108362,0,157328,0,257677,257677,192091,12609,0,0,139150,324331,278922,45409,14166,8633,6435,1220
1994,Manufacturing,448767,287338,87848,0,168516,0,160533,0,161246,161246,52644,265,0,0,171781,458965,386178,72787,36106,65425,17843,40760
1995,Manufacturing,490657,305882,81329,0,183073,0,183128,0,198157,198157,40296,55450,0,0,186152,503420,408665,94755,54938,50972,15570,29340
1996,Manufacturing,527601,324934,9749,0,162189,0,191344,0,231672,214178,46678,40285,0,0,200513,497645,416408,81238,39305,38234,12699,20590
1997,Manufacturing,788509,432977,16445,0,255223,0,334995,0,331006,295953,50085,18849,0,0,366672,592777,481484,111293,61846,58524,16340,35819
1998,Manufacturing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,Manufacturing,737648,381797,6912,0,219585,0,335775,0,284545,254970,38906,71477,0,0,367114,530230,457392,72838,25199,13420,4180,7946
2000,Manufacturing,617127,284692,92364,0,129298,0,310783,0,252036,144381,42325,33021,21913,81515,365091,472887,409587,63300,13055,6863,10234,-7312
2001,Manufacturing,642920,337953,102246,0,180482,0,289830,0,292286,169161,54041,13454,0,0,350634,516108,422749,93359,34639,44297,13568,24539
2002,Manufacturing,662656,365416,108120,23337,197489,0,281546,0,248094,180310,153222,13526,42471,0,414562,526578,416204,110374,47361,51112,38363,79970
2003,Manufacturing,652773,373886,77097,30368,219943,0,262236,0,222524,204103,182222,12719,396,0,430249,633069,490349,142720,73688,74627,18488,42563
2004,Manufacturing,868984,500380,0,31224,306305,6442,323292,0,356909,291271,251548,0,26529,39109,512075,763719,615753,147967,65432,88258,22063,47557
2005,Manufacturing,1117143,709263,0,43179,451746,1882,258195,0,496564,402227,131151,0,56256,38082,620579,1062266,734793,327473,237190,238183,60078,140308
2006,Manufacturing,1173854,720105,0,41100,462943,38409,412571,0,466454,372772,136600,0,54552,39130,707399,1247157,947305,299852,200130,221977,52405,139888
2007,Manufacturing,1475882,999755,122170,41948,789468,49946,423518,40,652299,554526,132878,49804,51068,46705,823583,1419283,1015187,404096,297608,280891,78011,173986
2008,Manufacturing,1561614,999564,224528,48772,685513,57923,501629,0,699687,540485,199351,32716,111041,48161,861927,1534708,1185407,349301,210061,195278,52900,122783
2009,Manufacturing,2370701,1618596,94154,63594,1380032,62562,580425,0,1495912,1335110,237580,1005503,113279,47524,874789,2286833,1622968,663865,264156,191304,53178,118430
2010,Manufacturing,2023053,1129873,89579,76241,848228,92196,598756,2659,1138398,964781,271817,692777,113385,60231,884655,1846944,1760184,86761,-63866,-49876,-7496,-39603
2011,Manufacturing,2128251,1363880,99665,91979,1045877,100317,649382,6921,1167297,983126,344455,638670,171941,12230,0,2071459,1651185,420274,229726,206407,66335,140072
2012,Manufacturing,2332950,1541325,160694,100482,1153998,0,640110,17439,1245540,903367,303033,596007,295308,46865,1087410,2071965,1628510,443456,248397,239577,73382,166196
2013,Manufacturing,2754404,1394109,183725,169627,925012,96847,1141772,57249,1433963,1041719,319845,721875,286577,105667,1320441,2225112,1947781,277331,83028,94277,47141,47135
2014,Manufacturing,3219912,1388369,251659,138993,884546,0,1617128,67092,1659069,912213,178167,734045,540517,206340,1560842,2174151,1776945,397206,170256,37652,8700,28952
2015,Manufacturing,3107372,1232332,209630,200602,758892,0,1559718,61337,1419242,728745,246383,482361,507978,182519,1688131,2395857,1979750,416107,169250,81674,13654,68020
