year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2005,Manufacturing,8279,4511,0,2497,591,0,2988,0,1024,591,124,0,433,0,7255,12966,9063,3903,-351,67,39,20
2006,Manufacturing,12799,6875,1001,3069,869,0,4390,1533,3177,2301,1903,398,387,489,9622,17984,10012,7972,2030,2053,645,1295
2007,Manufacturing,10894,5561,544,2531,958,0,3889,1444,1974,1876,1560,242,99,0,8920,19174,11010,8164,-21,-88,62,-162
2008,Manufacturing,10975,5632,536,2407,1128,0,4017,1326,654,585,448,138,69,0,10321,17300,9631,7668,160,57,45,3
2009,Manufacturing,14300,8775,551,2514,1229,0,4118,1408,475,455,412,43,20,0,13825,18225,10291,7935,-608,-719,0,-719
2010,Manufacturing,13786,8679,850,2925,1030,0,3765,1342,494,494,475,19,0,0,0,20206,11240,8966,302,194,103,72
2011,Manufacturing,13221,7101,506,2576,1322,0,4799,1271,508,508,507,0,0,0,12713,19442,10771,8671,263,155,106,49
2012,Manufacturing,15491,7777,531,3527,1299,0,6349,1302,668,0,0,0,0,667,14823,24212,13361,10852,155,13,183,-170
2013,Manufacturing,20653,13652,6737,2998,1284,0,5711,1280,2527,2527,996,0,0,0,18126,22569,12951,9619,3496,4750,3242,1508
2014,Manufacturing,16861,15444,9601,2257,1317,0,141,1259,10838,10838,10839,0,0,0,6022,20832,12493,8339,2784,4213,1820,2393
