year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1991,Manufacturing,623367,214823,58601,0,63119,0,231039,0,105381,67403,48402,9842,0,0,517985,230739,134965,95773,12618,174023,1941,156021
1992,Manufacturing,505974,206647,42163,0,80992,0,162377,0,118704,90256,34293,48600,0,0,387271,157078,96675,60403,-1212,70130,2069,62148
1993,Manufacturing,592684,286211,37948,0,83093,0,173798,0,177504,146615,35869,8995,0,0,415179,147552,103930,43622,-11517,47942,2185,43158
1994,Manufacturing,694221,238733,18263,33746,71263,0,289452,0,258143,89762,14540,62456,0,0,436079,158153,92866,65287,4470,44096,7043,35306
1995,Manufacturing,892302,317989,21393,54537,110881,0,338357,19535,430666,196149,32520,115610,0,95627,461636,318382,169586,148796,31194,52712,9594,42415
1996,Manufacturing,891197,306093,24444,0,126549,0,324461,12198,406264,160960,58977,83574,123304,0,484934,418301,208449,209852,45021,51054,13014,37479
1997,Manufacturing,1125705,308522,13606,0,126413,0,477383,0,440005,243474,73102,157169,75376,97141,685700,419619,199719,219900,54385,47470,6658,37850
1998,Manufacturing,248167,14176,67,0,0,0,4161,0,441,436,67,0,0,0,247727,2703,2336,366,-293,5685,0,5685
1999,Manufacturing,491852,6245,51,0,0,0,4185,0,2535,2535,2401,0,0,0,489317,4305,0,4305,2249,4908,1742,3166
2000,Manufacturing,722794,218193,965,0,0,0,8888,0,218022,97975,1770,7,0,0,504772,78531,2903,75628,72770,42779,0,106212
2001,Manufacturing,731052,172324,70883,0,4124,0,8008,0,158487,93700,84600,9101,0,0,572566,9286,4753,4532,1579,1034,0,68393
2002,Manufacturing,668822,69860,2290,0,0,0,7175,0,153884,2268,2241,27,0,0,514938,16221,4297,11924,8545,7905,0,7910
2003,Manufacturing,618142,97948,0,780,0,352708,22880,0,136139,9772,9772,0,0,0,482003,39750,3838,35912,30561,32577,3607,28227
2004,Manufacturing,640673,133016,0,87,0,400153,19821,0,100051,5479,5479,0,0,0,540622,44261,3599,40662,33462,30225,0,30225
2005,Manufacturing,541620,113160,0,22,0,392485,17566,0,23787,9786,9785,0,14001,0,517833,48901,3172,45729,34498,38296,0,38296
2006,Manufacturing,692135,118822,43665,0,0,539300,17443,675,6137,6137,6137,0,0,0,685998,63905,0,63905,50304,55155,107,55047
2007,Manufacturing,824930,78929,3222,87,0,699092,16040,562,42377,42377,5911,36466,0,0,782553,31852,3386,28466,22597,23742,0,23742
2008,Manufacturing,521093,23335,792,86,0,463898,25356,422,45404,45404,5887,39517,0,0,475689,32845,3875,28970,16790,12919,0,12919
2009,Manufacturing,531159,14455,571,227,0,487390,26180,387,14295,14295,6228,8066,0,0,516864,23598,4115,19483,12516,10078,0,10078
2010,Manufacturing,587300,40960,18862,199,0,506479,24900,267,6939,6939,6939,0,0,0,0,26068,4155,21913,16767,20001,0,20001
2011,Manufacturing,496638,24491,4321,111,0,438001,22068,150,4042,4042,4041,1,0,0,492596,3733,4009,-276,12351,10858,0,10858
2012,Manufacturing,550610,23253,1449,193,0,478413,36206,138,24685,9431,4178,5253,37,15217,525925,4276,0,4276,12112,12782,274,12508
2013,Manufacturing,527465,13976,1443,271,0,134133,37363,124,15540,5731,4718,1014,21,9788,511925,4740,0,4740,9492,9123,-1099,10221
