year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1992,Manufacturing,150861,71037,6609,0,43898,0,75597,0,86370,76594,76128,467,0,0,64491,213493,68547,144945,20690,7437,1761,5676
1993,Manufacturing,123647,49758,1987,0,33101,0,68204,0,83337,75545,71641,3904,0,0,40289,151945,55059,96886,-10210,-17719,1755,-19474
1994,Manufacturing,137714,59468,4928,0,37787,0,62614,0,75280,61177,10334,11140,0,0,62433,249577,82253,167324,12630,3810,2469,1341
1995,Manufacturing,161976,70121,7851,16812,34246,0,81811,0,75873,61349,11886,24794,0,0,86104,339309,90683,248626,41814,30791,5177,23697
1996,Manufacturing,263225,92225,9061,0,37395,0,151152,0,130284,80507,8929,31227,0,0,132941,330542,102863,227678,16081,-736,3839,-4840
1997,Manufacturing,521408,140097,6696,36977,42161,0,360326,0,338670,250417,30902,121805,0,0,182738,362361,172779,189582,2795,-20884,0,-20884
1998,Manufacturing,488178,110906,5130,0,37096,0,351315,0,270303,204473,34883,50095,0,0,217875,443993,247951,196042,-20071,-60761,10331,-74919
1999,Manufacturing,423470,106015,3543,19879,52863,0,310527,0,241448,189278,19130,87267,34972,0,182022,316441,202202,114239,-28203,-108215,649,-108865
2000,Manufacturing,426227,113696,17538,19197,41076,0,267272,0,251519,206168,50231,103271,29862,15489,174707,301983,213550,88433,-38826,-70415,-1075,-80602
2001,Manufacturing,392717,127025,9439,14393,31580,0,218155,42528,245051,173821,53891,55350,55397,0,147665,313058,231310,81749,-23447,-69525,-11584,-71765
2002,Manufacturing,404649,115388,3937,29048,34865,0,209765,37733,264310,153231,67079,48297,89444,0,140340,351902,246142,105761,18273,6469,0,-8398
2003,Manufacturing,400035,122826,0,33027,40061,14033,194300,2735,273855,133372,69667,0,116571,23313,126180,355636,254038,101598,9458,-12393,-1299,-12996
2004,Manufacturing,1120577,283123,0,41576,47578,599694,195471,2093,829216,437379,191247,0,340609,27468,291361,456278,366397,89880,-12700,-102217,4139,-119819
2005,Manufacturing,1182224,244515,0,52954,91560,5513,451229,48339,728670,333168,280570,0,347384,48118,453553,929515,678601,250914,-13292,-125499,-24333,-90433
2006,Manufacturing,1164418,282316,19780,46686,104690,4622,435268,5689,699623,311387,230052,64224,343615,44621,464795,1100711,824967,275745,53866,13689,-2504,17120
2007,Manufacturing,1178120,268256,32264,44196,138789,4691,479857,7443,697964,337203,222928,92423,316032,44729,480157,1175259,837553,337706,81022,65291,17401,41445
2008,Manufacturing,1187123,281744,19163,48534,150703,4614,518621,6081,718231,387495,260803,74754,288290,42446,468892,1289327,874352,414975,124218,73775,30199,32391
2009,Manufacturing,1453556,376734,35545,79562,155539,8149,678961,5947,869740,446561,268391,104935,378201,44978,583815,1546757,1056100,490656,141818,136919,50032,68356
2010,Manufacturing,1666177,522519,41489,102689,210482,9459,780079,4365,1043087,585286,373774,135146,422762,35039,0,1592560,1123478,469082,103188,73681,33730,39951
2011,Manufacturing,2377220,841589,352856,152777,204659,0,1119347,1374,1686189,578683,457190,46811,1030846,76660,691031,1726561,1233827,492734,116225,68145,40265,27880
2012,Manufacturing,2579133,787602,37228,154362,255057,0,1304651,1769,1785409,738775,541170,97629,984712,60101,793724,2057790,1392310,665480,157989,134363,57456,76907
2013,Manufacturing,3256455,1116820,343651,210867,275059,5186,1611204,7455,2608162,868771,774444,51274,1661350,78040,648293,2091073,1390939,700134,156098,-43003,29969,-72972
