year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1995,Banking,7796170,1858437,0,0,NA,332456,341221,0,6921107,5610272,0,0,0,0,875062,687884,NA,NA,561724,174472,46920,134692
1996,Banking,9249545,2168542,0,0,NA,0,0,0,8266460,6566277,0,0,0,0,983085,969100,NA,NA,697766,230819,63017,171962
1997,Banking,11359859,2632235,0,0,NA,0,0,0,10277651,0,0,0,0,0,1082208,1154490,NA,NA,831133,245898,62907,160220
1998,Banking,11393146,2310070,0,0,NA,0,0,0,10315236,7856735,0,0,0,0,1077910,1240342,NA,NA,323724,73031,36660,60309
1999,Banking,185078782,33139091,0,5098506,NA,4547936,3068170,0,165434569,102995690,6602235,14020723,29435089,0,19644213,8784193,NA,NA,3691719,0,991786,2702978
2000,Banking,10588984,2219797,0,0,NA,428975,390363,0,9534575,7740038,0,0,0,0,1054409,1160172,NA,NA,667992,74019,12209,60694
2001,Banking,10260239,2357838,0,0,NA,810413,355674,0,9236368,7645170,0,0,0,0,1023871,1030386,NA,NA,589927,44467,13093,23881
2002,Banking,10084712,2529135,0,0,NA,686199,344006,0,8876731,7149335,0,453747,0,0,1058808,923264,NA,NA,125557,122135,28647,72441
2003,Banking,11187251,2791973,0,64767,NA,795913,374984,0,10033905,7908851,0,205057,164824,0,1069310,666334,NA,NA,-133439,110719,42352,55014
2004,Banking,10573732,2047380,0,54120,NA,162273,337035,0,9320589,7319862,0,182301,129358,0,1160338,954561,NA,NA,310070,178269,50574,102699
2005,Banking,11231151,2250781,0,77898,NA,101813,307345,0,9811605,7571680,0,129955,262028,0,1314351,963874,NA,NA,409941,234629,56139,161329
2006,Banking,13184134,3174578,0,71601,NA,72695,296513,0,11642641,7778809,162625,972871,492042,0,1420374,1025750,NA,NA,284618,333526,87751,217016
2007,Banking,15191106,3184026,0,82230,NA,51819,297271,0,13406771,10273973,0,406698,643563,0,1625007,909930,NA,NA,339291,405443,104574,267936
2008,Banking,20010337,3382343,0,298324,NA,114385,307367,0,17983700,12767890,0,991574,1502402,0,1870971,1191717,NA,NA,436642,544418,113612,392109
2009,Banking,23526212,4008964,0,141997,NA,40304,367985,0,21519824,13558207,402780,732613,1826801,0,1886950,1546448,NA,NA,580545,551338,122314,399591
2010,Banking,24080833,4077910,0,179800,NA,76460,374156,0,21365631,13534599,275663,771006,1660978,0,2512415,1427355,NA,NA,605205,719115,150598,510819
2011,Banking,30461500,9120616,0,102891,NA,122592,399945,0,27363069,19173682,244240,1362397,899376,0,3098431,1551485,NA,NA,739136,876584,200425,612050
2012,Banking,32168351,5841160,0,159781,NA,78673,461043,0,28586338,19593033,431016,774946,1231763,0,3582013,1912334,NA,NA,737957,0,219033,753104
2013,Banking,42080492,7881008,0,1455478,NA,278697,576653,0,37596706,24276670,2009869,1277535,2171449,0,4483785,2362902,NA,NA,715365,0,257293,826571
2014,Banking,41291585,7826065,0,592824,NA,628581,712351,0,36842038,24476504,1019447,2026487,6472753,0,4449547,2600079,NA,NA,972522,0,287922,578513
2015,Banking,45438246,8522497,0,980417,NA,947481,691964,0,40531830,22873652,0,2744537,7622191,0,4906416,2877781,NA,NA,1136880,0,324799,812226
