year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,Banking,527525,0,0,0,0,0,0,0,0,0,0,0,0,0,58293,222993,0,222993,36732,34602,10630,23973
1997,Banking,657659,0,0,0,0,0,0,0,0,0,0,0,0,0,72388,336136,0,336136,40424,40111,12041,25957
1998,Banking,602155,0,0,0,0,0,0,0,0,0,0,0,0,0,76695,346233,0,346233,13457,13780,4665,8296
1999,Banking,548147,0,0,0,0,0,0,0,0,0,0,0,0,0,80915,329538,0,329538,25165,25243,7645,16256
2000,Banking,632502,0,0,0,0,0,0,0,0,0,0,0,0,0,88803,320866,0,320866,27060,26094,7886,16824
2001,Banking,752726,144392,19664,0,0,0,35009,0,668580,480878,7591,69665,69311,0,84146,280020,0,280020,-8349,-7954,2329,6769
2002,Banking,1037643,202137,29940,27865,0,0,34017,0,923063,667019,13483,136501,68785,0,114580,348491,0,348491,34582,33555,13619,35475
2003,Banking,1181743,181508,31881,0,0,0,34437,0,1044454,810614,0,23968,97100,0,137289,451474,0,451474,47779,45603,16070,45181
2004,Banking,1350318,147090,30165,0,0,0,39188,0,1196869,887595,0,69872,158555,0,153448,459921,0,459921,52326,47612,20979,45941
2005,Banking,1516827,117216,32101,0,0,6164,46030,0,1356024,1010082,0,51550,228099,0,160802,512242,0,512242,44530,46709,18461,43178
2006,Banking,1628154,189274,33155,4805,0,20628,43998,0,1482611,1069741,27521,85422,254244,254244,145542,543413,0,543413,-27168,15404,1635,12747
2007,Banking,1490293,159193,28279,5133,0,44555,37470,0,1340169,1122679,29054,123852,27747,27748,150124,443423,0,443423,-52700,-13689,-1082,-12607
2008,Banking,1481049,156578,26992,5057,0,1821,35517,0,1340322,1105802,57617,114768,22641,22641,140727,458408,0,458408,-7811,10708,5555,2633
2009,Banking,2246234,180851,18971,18057,0,88935,35699,0,1953620,1192474,70603,192384,451871,451870,292614,635512,0,635512,-42942,-27057,-16586,-7561
2010,Banking,2801047,283304,25350,18670,0,0,31008,2373,2430561,1385805,71532,357151,403647,403647,370485,749139,0,749139,115544,0,36080,90680
2011,Banking,3501615,324856,58341,19335,0,0,35039,1127,3051515,1784253,84141,464946,375008,375007,450100,910269,0,910269,133513,152387,44205,108182
2012,Banking,3970915,567996,57926,21938,0,0,41937,1169,3399986,2199436,105087,350616,383878,383879,570929,1061366,0,1061366,177936,204435,61933,142502
2013,Banking,3557603,693446,60613,26651,0,0,39374,3429,3015189,2036311,89730,0,0,0,542413,941282,0,941282,125428,0,36567,87926
2014,Banking,3788740,434086,59742,43023,0,0,47395,2798,3314393,2165366,55952,0,0,0,474347,918541,0,918541,145560,0,44162,100807
