year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1998,Manufacturing,449410,258939,3649,0,116098,0,155833,0,264087,258001,5509,245043,0,0,185109,184640,141355,43285,16457,540,0,540
1999,Manufacturing,494381,248698,7184,0,146606,0,206830,0,324390,279263,14896,198548,0,0,169991,259181,209531,49650,14908,-25752,0,-25752
2000,Manufacturing,523538,288400,61179,73265,140954,0,186985,0,330288,243130,63836,158474,78589,1628,193250,325646,256561,69085,33303,9844,-18396,34841
2001,Manufacturing,441634,238764,4871,66274,156601,0,167709,0,240618,167832,43074,113771,66065,0,201016,305573,247741,57832,24871,13591,-874,14826
2002,Manufacturing,414936,195123,1486,49892,125489,0,183931,0,208547,137083,29875,100884,39752,24989,206389,262039,213615,48424,17181,5296,0,5296
2003,Manufacturing,439822,223324,0,55588,135562,8655,195076,2782,211290,166952,34461,0,7666,36672,228531,317525,259213,58312,23254,18648,-3977,24099
2004,Manufacturing,480528,244158,0,53634,133974,2993,215734,3209,236097,181120,53252,0,47727,7250,244431,341631,276575,65057,25387,24863,6119,16477
2005,Manufacturing,450310,232438,0,46342,154708,2339,202509,2496,199488,145471,32031,0,47019,6997,250822,331862,260941,70921,33955,17456,3919,12086
2006,Manufacturing,449124,241238,21083,57616,138879,2285,198271,1715,183487,126557,22921,101775,47930,9000,265637,339214,272011,67203,27995,26468,4959,19673
2007,Manufacturing,443099,251990,6231,62289,169224,2769,182229,1158,175256,142941,25193,115931,23015,9300,267843,323147,257337,65810,31009,23730,5736,15869
2008,Manufacturing,393661,237992,14332,51964,142844,2356,145544,568,127458,101827,22489,74230,14744,10887,266203,279530,222741,56789,42826,28647,6441,19821
2009,Manufacturing,373254,211251,9151,44896,126190,5343,150744,526,82218,55632,25361,27658,13389,13197,291036,236156,184368,51788,35576,31025,6752,21773
2010,Manufacturing,371041,215312,28686,50016,107305,4855,146128,461,80487,54916,27359,21659,12859,12711,0,249880,189756,60124,31125,32502,7355,22423
2011,Manufacturing,379873,244908,24207,45550,152936,0,128013,648,75919,56567,16622,25472,8098,11255,303954,285345,206305,79040,56939,55797,15841,39955
2012,Manufacturing,517771,219838,4296,35110,155852,23932,265277,526,132839,46417,19515,22717,40108,46313,384932,241200,207498,33702,11384,11484,2473,9011
2013,Manufacturing,500640,228160,7258,47510,141554,0,264015,446,127381,43001,19256,19440,35558,48822,373259,256519,214381,42138,15599,9027,3121,5906
