year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1997,Manufacturing,41078,16260,610,0,11596,0,22687,0,19376,10569,4477,1403,0,0,21702,27105,22301,4804,-1318,-10872,0,-10872
1998,Manufacturing,41336,16571,533,0,9594,0,10817,0,20664,11614,7895,6,0,0,20672,24476,19793,4683,-365,-1205,0,-1205
1999,Manufacturing,40030,15706,415,0,7772,0,10374,0,19935,12379,6273,323,0,0,20095,24344,18060,6283,2679,-579,0,-579
2000,Manufacturing,38764,15061,683,0,8227,0,9766,0,18392,11039,3579,2745,0,0,20372,16484,12241,4243,1482,208,0,208
2001,Manufacturing,37724,15282,0,2492,10045,0,9587,192,16714,9647,5940,0,6963,0,21009,14144,10878,3266,446,139,-11,154
2002,Manufacturing,37301,14997,0,563,11785,0,9428,212,16006,9571,6574,0,5712,0,21295,18090,13669,4420,939,298,-96,429
2003,Manufacturing,35212,13789,0,969,10179,0,11342,220,14563,10667,7426,0,3086,0,20649,19998,15106,4892,1463,106,28,67
2004,Manufacturing,50427,29006,1521,7205,16694,0,11467,200,29752,21083,12594,8489,2363,0,20675,32745,24947,7798,3248,835,361,287
2005,Manufacturing,18944,11639,376,2086,8242,0,3074,55,12057,8408,7862,546,1113,0,6887,16266,12621,3646,1270,697,260,318
2006,Manufacturing,72155,47918,2771,13211,28519,0,24101,136,51778,34610,13963,20647,6728,0,20377,56270,43043,13227,5079,2579,1021,1252
2007,Manufacturing,82287,54401,3721,15227,30576,0,27760,126,57341,38235,12266,25969,6867,0,24946,62295,47525,14770,5421,3428,0,3428
2008,Manufacturing,79266,52950,2033,19720,27231,0,26213,103,55855,42307,18987,23321,4277,0,0,60616,48855,11761,2278,1028,514,324
2009,Manufacturing,96509,71539,2429,31153,35240,0,24891,79,73711,60194,28926,31268,3417,0,22798,61791,50592,11200,1484,998,299,699
2010,Manufacturing,109906,55384,2387,21880,29119,0,54486,36,72221,60541,25747,34680,3176,8504,37685,83207,66741,16466,3420,3069,1131,1938
2011,Manufacturing,103610,49240,2461,15560,26465,0,54233,138,69444,56816,22200,34193,838,11790,34166,86576,68956,17621,4874,-1155,0,-1155
