year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1995,Manufacturing,4434979,184917,788,0,54438,0,4248755,0,233613,151120,75102,1407,0,0,4183852,614161,342002,272159,206293,204584,57785,138307
1996,Manufacturing,4537304,178118,41670,0,42357,0,4358050,0,268125,221657,30475,157716,21530,0,4269179,638555,247024,391531,353222,363958,53902,302035
1997,Manufacturing,5133479,222382,33712,27363,69836,0,4306555,0,858913,228935,35770,156195,0,0,4251818,690593,415599,274995,233036,254030,0,254030
1998,Manufacturing,5485721,473608,304892,13098,54092,0,4570322,0,1155472,351480,47561,273088,765902,21535,4330249,583191,185081,398110,304435,249141,0,249141
1999,Manufacturing,5828903,357084,194888,0,37713,0,4991169,0,1605584,603387,42309,295,0,0,4223319,564976,150079,414898,333024,254378,42562,211816
2000,Manufacturing,5777721,164725,2604,48833,37673,0,5152237,0,1872860,561112,103910,391792,1175919,135829,3904861,671040,201178,469862,430666,405678,67825,286976
2001,Manufacturing,5668055,174173,15650,78398,32524,0,5018749,3149,1779555,543611,156056,205287,1039945,0,3888500,771337,248237,523101,479205,342040,110862,216384
2002,Manufacturing,5574883,230713,73816,78060,25825,0,4908886,3615,1761628,542792,118821,196477,931561,0,3813255,794063,260931,533132,494073,315186,148231,145530
2003,Manufacturing,5332482,178249,0,87635,23696,362745,4753856,2955,1621307,371360,119013,0,959407,290539,3711175,887345,342863,544482,505985,382997,137538,221436
2004,Manufacturing,5193953,198259,0,97713,28665,325246,4637432,2347,2158368,474173,112985,0,753757,930438,3035586,975044,509438,465606,423223,400779,161671,210745
2005,Manufacturing,4906222,233797,0,125985,25090,220730,4421598,1659,2434019,509748,174223,0,834722,1089549,2472203,947422,447221,500202,456503,384683,143430,216873
2006,Manufacturing,5988416,398318,118166,174947,61907,223246,5332511,1931,3266245,676389,164213,421211,1426973,1162883,2722171,1251813,741510,510303,443263,435413,161228,247439
2007,Manufacturing,5465466,260872,33403,115631,65353,264040,4914827,2785,2877499,657325,160856,463915,1119560,1092969,2587967,1215318,834692,380626,330437,319239,91009,211112
2008,Manufacturing,5188467,385647,57778,234382,71875,214832,4555279,2645,2865199,630652,227297,386665,1231055,995590,2323267,1213674,894544,319131,294863,192904,63148,118698
2009,Manufacturing,4933461,320797,123934,108898,69634,433368,4074233,2896,2364516,351994,141192,142613,1032086,914034,2568945,1178228,714433,463795,404724,405348,137255,259663
2010,Manufacturing,4557402,286259,66415,103967,70266,414397,3767131,1892,2105845,259666,109476,126655,923809,853721,0,1102794,740834,361961,338597,334018,96521,219363
2011,Manufacturing,4052440,364534,126078,124145,65719,361045,3316774,2173,1743770,312955,133238,107620,745976,676269,2308670,1226466,756841,469625,440173,481580,137993,343587
2012,Manufacturing,4149960,400887,168501,137100,70610,370367,3325606,53101,1705661,393329,253085,120556,619637,674846,2444299,1384105,889438,494668,464850,451911,136177,315734
2013,Manufacturing,4182163,526344,152272,144781,68626,364665,3238494,52659,1716411,530439,361943,119059,543650,624414,2465752,1299062,844773,454289,528879,587025,143240,443786
2014,Manufacturing,4074783,536144,200149,161828,70906,359393,3127041,52205,1573631,416102,300239,102692,577810,560827,2501152,1539129,944419,594710,603949,652763,126067,526696
