year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1995,Manufacturing,1957563,445705,147698,0,59719,0,1511857,0,327460,258378,36543,29436,0,0,1630103,1045151,764108,281044,118828,211402,0,211402
1996,Manufacturing,2331070,544541,26078,0,158931,0,1776948,0,543211,372544,131121,131448,79103,91001,1787859,1145649,895781,249868,114652,174091,0,174091
1997,Manufacturing,2541059,459393,4241,287902,78599,0,2060681,0,757830,359288,248048,110757,83367,238560,1783230,1273763,961780,311983,161041,228446,0,228446
1998,Manufacturing,2814301,465570,93471,0,57250,0,2327059,0,949327,434130,237742,32181,135993,306837,1864974,1183667,874814,308853,171448,234591,0,234591
1999,Manufacturing,2898196,399031,15287,237243,62318,0,2447070,0,1085202,479961,332543,84050,62570,388055,1812993,1256859,941427,315433,229613,229346,66227,151500
2000,Manufacturing,2933604,320035,15121,219859,52014,0,2511557,17176,1086827,724465,204844,158409,85194,277168,1846777,1353099,1006710,346389,235049,188868,65028,112431
2001,Manufacturing,3046421,301452,10164,205183,61680,0,2599114,28726,1272316,577380,202968,374412,316429,0,1774106,1341638,1004604,337033,236896,206170,67644,125455
2002,Manufacturing,2952554,303388,9837,207729,55606,0,2611088,26415,1174735,441658,208171,233487,396626,0,1777819,1374653,1038280,336373,215028,216208,67164,137261
2003,Manufacturing,2893520,272504,15644,190958,42390,0,2579666,24441,1264745,476716,220909,0,364821,423208,1628775,1398344,1066015,332329,200175,203201,67013,124431
2004,Manufacturing,2837591,279893,10610,218896,35454,0,2520580,21510,1337586,304484,206692,0,542390,490712,1500005,1437507,1108538,328970,196951,209238,106140,84320
2005,Manufacturing,2706934,280559,11124,208992,40300,0,2408517,17858,1608852,632593,226633,0,351638,624621,1098083,1524919,1186829,338091,196989,165734,56372,99466
2006,Manufacturing,2683467,303561,23898,222179,33954,144,2358174,21588,1613980,552728,190697,249798,474774,586478,1069487,1603422,1196005,407417,246573,205239,72293,120418
2007,Manufacturing,2565336,299446,19072,240979,18466,4481,2234819,22633,1631409,543941,196706,299016,585248,502221,933927,1549973,1132292,417681,284435,222131,70149,139980
2008,Manufacturing,2520944,347998,36262,234344,33234,12970,2134487,19457,1632044,443334,218230,160011,751984,436727,888900,1520396,1088365,432031,325754,256046,79058,163117
2009,Manufacturing,2727690,350278,50267,253712,24989,10452,2345539,19421,1776035,389820,242391,94443,950216,435999,951655,1814705,1326758,487947,362342,302600,94291,192100
2010,Manufacturing,2824787,486344,168718,267348,26507,11648,2310601,15140,1836945,500713,323281,123786,942409,393822,0,1821854,1242221,503182,375140,312581,92673,203694
2011,Manufacturing,2636160,378681,47986,286866,22645,14512,2226248,14785,1633456,537704,351310,150623,793090,299374,1002704,1882546,1384114,498432,369289,301538,94555,206983
2012,Manufacturing,2878703,378328,75417,254295,24044,17438,2466892,16045,1771502,663851,462735,169597,808833,283180,1107201,2152963,1595574,557390,389250,326010,103382,222628
2013,Manufacturing,3150654,523945,194755,258264,29324,0,2606305,20403,1882621,735010,509709,174698,878227,262088,1268033,2260604,1631014,629590,461162,379423,105606,273817
2014,Manufacturing,3514583,627055,285484,270927,40145,0,2856166,31361,2142484,810388,616716,142607,1122235,202910,1372099,2359207,1723884,635322,456521,401600,100299,301301
