year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1994,Manufacturing,182391,86025,6993,0,29388,0,85997,0,81697,61042,16207,32938,0,0,100694,111047,55045,56002,18783,14702,0,14702
1995,Manufacturing,181430,59398,3189,0,14033,0,87183,0,71074,53410,11475,27471,0,0,110355,114810,64285,50525,19987,10499,0,10499
1996,Manufacturing,192160,60277,3151,0,16307,0,86684,0,72563,40868,13564,20645,0,0,119596,122317,73423,48894,17544,9974,0,9974
1997,Manufacturing,174398,42919,5553,0,18945,0,84238,6138,42985,31465,5885,18134,0,0,131413,126607,86683,39924,20186,15844,2644,12433
1998,Manufacturing,178806,45079,1060,0,19992,0,82369,0,70024,43659,4293,19193,0,0,108782,125757,112151,13606,-11512,-19864,0,-19864
1999,Manufacturing,201102,57538,977,0,21646,0,85140,0,94130,77453,4385,40336,0,0,106972,140906,107027,33879,7724,-1822,0,-1822
2000,Manufacturing,216463,49452,2821,0,18436,0,94259,67012,126643,75228,8548,33687,39862,11553,89820,145290,114802,30487,3613,-5575,-1598,-3282
2001,Manufacturing,206825,32947,2991,10264,11675,0,88608,79532,132576,76242,25742,36400,38042,0,74249,137760,125393,12367,-10827,-22594,4436,-28459
2002,Manufacturing,228650,46472,481,29193,8815,0,79711,97207,134677,64556,23434,34911,47717,0,93973,149072,110093,38979,17777,10795,3410,6287
2003,Manufacturing,624418,133310,0,55622,49663,0,233841,0,444769,300194,88861,0,127495,17080,179649,602482,426953,175529,63587,42238,-21815,70374
2004,Manufacturing,627398,160508,0,111418,31879,0,232716,0,331021,174841,111831,0,100390,55791,296377,700408,456680,243728,144149,131165,65746,46362
2005,Manufacturing,617233,348644,0,206977,36635,0,234223,0,272013,223401,216522,0,48613,0,345219,986948,466743,520206,366755,333566,113489,187184
2006,Manufacturing,783180,613272,388283,204081,17835,0,146744,0,288180,226649,224749,1900,445,61086,495000,904005,141706,762299,652997,653206,177814,423853
2007,Manufacturing,1031960,881391,629384,182353,35114,0,123490,0,222411,183217,105165,411,0,39194,809549,917162,172209,744953,614206,661265,176745,433291
2008,Manufacturing,1261441,955895,634435,56464,19883,0,128415,71011,263687,91686,41977,13,0,102897,997753,648062,214436,433626,317789,317208,88002,203697
2009,Manufacturing,1191626,770841,571729,136785,33194,0,142647,234882,204766,97313,62956,13,0,20949,986860,708671,284521,424150,352756,361466,80541,257581
2010,Manufacturing,1175283,622493,324717,155863,110179,0,192018,302984,284417,183420,92987,11,0,22392,0,594562,236791,357771,293808,294969,76607,196158
2011,Manufacturing,1261138,565047,218474,59464,240840,0,469023,185322,206087,140146,125404,0,0,17920,1055050,712341,312677,399663,293431,292957,83021,209937
2012,Manufacturing,1483703,542875,61332,171419,223243,0,565767,331704,479906,223612,190625,1718,0,14615,1003797,703065,482116,220949,97667,95462,31398,64064
2013,Manufacturing,1941416,380056,34686,97947,152674,0,670894,862674,687625,322791,245133,3089,0,0,1253791,530672,439793,90879,5361,-7648,14139,-21787
