year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1995,Manufacturing,200385,92417,10587,0,38511,0,100374,0,90046,90046,27616,38478,0,0,100592,341570,184996,156574,36634,41851,11641,23488
1996,Manufacturing,326013,82497,26541,0,22966,0,214188,0,178102,124252,45863,47129,51843,0,143108,405510,206956,198555,61787,65897,17335,38180
1997,Manufacturing,314201,69281,9446,0,37562,0,215803,0,148533,110192,50500,28142,0,0,164708,404472,191610,212861,80570,76595,22500,45762
1998,Manufacturing,298024,61411,6543,0,31133,0,230676,0,138500,97702,22715,34815,27245,13554,156251,378747,195009,183738,65269,60304,19486,30427
1999,Manufacturing,329734,76935,18007,0,27253,0,239772,3851,177941,148589,40409,43927,0,0,147961,346167,187289,158877,38878,26101,8556,12761
2000,Manufacturing,342752,98459,16698,15678,47419,0,213112,7602,183391,134965,84698,15080,32618,11002,159361,367533,198479,169054,71972,57557,17633,29835
2001,Manufacturing,302796,70475,5181,19594,30298,0,194195,5154,145543,121455,62961,35692,10318,0,157253,378143,211363,166780,49997,35259,12974,17480
2002,Manufacturing,317871,89475,6427,21457,36638,0,186646,4637,168134,149393,58676,88443,0,0,149738,406295,221005,185290,55418,43658,13038,22634
2003,Manufacturing,393456,121042,0,30258,44419,47503,204518,4336,240607,156702,74523,0,67520,5569,152850,401929,223461,178469,52478,29174,9043,16410
2004,Manufacturing,355918,119446,0,39000,49846,45779,177365,2131,216479,159993,74491,0,42635,5283,139439,394116,195106,199010,45712,17608,8227,5277
2005,Manufacturing,350297,153496,0,53385,46074,41266,147678,2522,182687,150123,96429,0,18581,4797,167610,412185,204442,207743,66353,62099,19867,34873
2006,Manufacturing,345155,166043,14428,73087,61078,43616,128493,3008,169443,150480,90993,59488,9689,0,175712,457737,240137,217600,83051,77971,20912,49315
2007,Manufacturing,517511,190491,20647,74665,78608,69144,127214,122626,322862,196230,109156,60368,114517,0,194649,515232,268498,246734,117195,117744,32764,72845
2008,Manufacturing,609340,255517,4425,89963,141402,178997,161684,3769,412710,275947,158097,103286,93919,28360,196630,555951,280353,275598,145310,119640,34800,71952
2009,Manufacturing,596150,212167,36126,94672,59252,193734,175620,4793,331629,162330,123609,38721,151337,0,264521,612604,305027,307577,135024,146014,35855,96879
2010,Manufacturing,651958,273581,23240,96270,89297,189471,172659,9737,356844,235557,150762,84795,106094,0,0,659168,297018,362150,181105,170524,48550,104142
2011,Manufacturing,584604,231605,27928,94529,62948,0,158391,9766,260981,193672,154524,38389,67309,0,323623,669157,319937,349219,143621,158155,42570,115585
2012,Manufacturing,816477,279567,28561,113259,70236,0,345723,10186,310179,226789,154895,59921,44646,38744,506298,751335,361836,389499,171835,207629,50623,157006
2013,Manufacturing,1180032,442565,36344,109402,69149,0,448698,12803,511076,285143,123059,150733,156828,69105,668956,766699,356056,410643,171337,235283,56234,179050
