year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,Manufacturing,211227,55847,21350,0,5106,0,154681,0,24102,24102,14433,284,0,0,187125,111127,100803,10324,-1315,5919,0,5919
1997,Manufacturing,219611,38495,11244,0,3467,0,179720,0,29056,29056,12357,4411,0,0,190555,119794,108467,11327,-2024,-2273,0,-2273
1998,Manufacturing,264482,48465,6058,0,8908,0,206733,0,66868,45129,9758,3980,2515,0,197614,108190,92804,15385,1188,5185,0,5185
1999,Manufacturing,269654,58080,6781,34647,4058,0,211554,0,51142,37801,4129,1074,0,0,218512,131819,103369,28450,1409,1246,0,1246
2000,Manufacturing,289272,74068,3286,28887,4995,0,215203,0,60653,32194,5107,234,0,0,228619,139432,108794,30638,1674,3145,0,3145
2001,Manufacturing,356838,58043,2396,29726,5711,0,250969,0,81738,43926,23261,10139,34356,0,275100,140680,107187,33493,8484,9683,5494,3475
2002,Manufacturing,423963,93271,3341,27917,4379,0,273059,0,116502,76277,69011,3658,21374,0,307461,138427,107842,30586,6897,10430,4767,4640
2003,Manufacturing,433664,38620,0,23448,3979,0,261588,0,123930,91737,36599,0,13161,19033,309734,136257,109278,26979,6467,6582,3542,2341
2004,Manufacturing,312417,46184,0,24574,3328,0,247284,0,96781,70089,35791,0,26693,0,215636,140073,112978,27095,7744,-733,1275,-2227
2005,Manufacturing,307858,48493,0,24460,4400,0,233666,0,105629,16339,16339,0,89290,0,202229,156247,129240,27007,5168,-1445,1036,-3155
2006,Manufacturing,300017,38208,6334,24264,5301,0,238080,0,99418,22255,17782,0,46882,30281,200599,162670,127192,35478,8876,7524,5369,1213
2007,Manufacturing,317875,74784,33280,22686,9147,0,223709,450,140213,63572,61214,2341,0,76641,177662,153055,119809,33246,-4083,-13651,-863,-12637
2008,Manufacturing,332532,61690,10585,29517,9952,0,234638,3957,119931,62459,62459,0,0,43654,212601,157519,116158,41361,-16425,-31806,0,-31806
2009,Manufacturing,386551,74265,24200,32432,9176,0,278967,6084,133566,53102,48107,4996,43590,36874,252986,190956,141475,49481,41168,41288,5506,34816
2010,Manufacturing,393085,70114,6281,30154,4802,0,282385,4950,131518,54821,41134,13686,46569,30128,0,188803,131518,57285,15010,10935,2593,7886
2011,Manufacturing,370828,73924,3799,33103,4909,0,269341,1193,119381,58331,44495,13836,30454,30595,251448,203041,148794,54247,17888,16109,3627,12481
2012,Manufacturing,382621,92261,6086,36901,4739,0,285855,1874,145349,70041,44727,12892,47051,26290,237272,231133,169476,61657,22681,20090,8695,11394
2013,Manufacturing,392903,86409,7474,41358,4804,0,290109,13789,160479,81064,49359,21032,45045,32265,232424,244574,177896,66679,35188,26367,9841,16526
