year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1996,Manufacturing,262990,45863,661,0,30840,0,204810,0,51585,23179,13216,625,0,0,211405,66165,49479,16686,-21503,-4791,1546,-6337
1997,Manufacturing,270538,64170,875,0,34866,0,200316,0,49525,24410,14914,445,0,0,221013,82158,60451,21707,3102,6723,0,6723
1998,Manufacturing,269933,48958,2211,0,30676,0,186452,0,45036,26392,16768,691,0,0,224897,75796,57133,18663,2472,6636,0,3913
1999,Manufacturing,270032,50304,30,0,35221,0,184921,0,42922,26273,18906,1,2422,0,227109,62052,50278,11775,730,3180,42,3123
2000,Manufacturing,277910,49141,367,0,36414,0,194712,0,47529,31534,30131,0,15939,56,230381,75410,50076,25334,6983,5901,702,4965
2001,Manufacturing,319045,49804,129,867,38405,0,200936,0,86501,57126,52166,0,29316,0,232544,91934,65366,26567,13660,6965,1404,5069
2002,Manufacturing,320499,49701,283,1158,37102,0,199619,346,88537,39252,33192,0,23859,25426,231962,87859,65672,22187,8002,3723,818,2618
2003,Manufacturing,330340,61826,0,801,32282,59640,198151,0,98881,55986,50604,0,19752,23143,231459,67211,51014,16197,3780,1623,543,890
2004,Manufacturing,466863,137380,0,236,29794,88385,198407,151,182610,136531,133205,0,18067,28012,284253,74771,60147,14624,501,43762,2992,39730
2005,Manufacturing,526255,56952,0,5330,38775,123787,300174,117,117103,71590,54936,0,31190,13953,409152,129413,90974,38439,20581,44279,3690,38140
2006,Manufacturing,512390,62775,2402,4787,45544,122148,291352,55,107207,66314,52411,8788,5089,12251,405183,138914,93566,45348,27428,10996,4529,3485
2007,Manufacturing,403414,61712,1384,1126,46520,35995,270266,33,110166,55952,44873,9027,4414,28802,293248,110451,85485,24966,5388,825,1543,-1715
2008,Manufacturing,370732,55226,1601,1009,8165,27891,240325,13,112929,64742,55847,8135,1966,26192,257803,82787,69751,13036,7158,-535,2030,-4068
