year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1997,Manufacturing,34758,4558,195,0,3094,0,29263,0,5576,4820,4595,0,0,0,29182,13727,12028,1699,167,-640,0,-640
1998,Manufacturing,36972,4575,28,0,2986,0,30848,0,6701,4205,4168,0,0,0,30271,3767,3348,420,-113,-517,0,-648
1999,Manufacturing,32658,3015,13,0,2249,0,29643,0,3677,2588,2503,3,0,0,28981,6513,4887,1626,899,452,0,247
2000,Manufacturing,34798,4725,7,0,1588,0,29955,0,2220,789,649,0,0,0,32578,8536,3333,5202,4620,3828,0,3689
2001,Manufacturing,39104,8749,1115,44,3172,0,30245,0,3062,2031,1707,0,1031,0,36042,11573,6549,5024,4281,4111,555,3134
2002,Manufacturing,81836,14337,156,5820,3922,0,60101,4,13306,12040,11934,0,1266,0,68529,13619,6795,6825,5652,5422,816,4345
2003,Manufacturing,70847,11837,0,25,3585,0,59006,4,2832,2274,2274,0,557,0,68015,19925,13764,6162,4507,4307,0,1549
2004,Manufacturing,72046,16811,0,87,6297,0,55231,4,2086,1654,1654,0,432,0,69960,19504,10147,9357,7832,7135,0,7135
2005,Manufacturing,74596,17233,0,467,7212,0,57359,4,1653,1227,1227,0,425,0,72943,17426,9814,7612,5611,6328,0,5723
2006,Manufacturing,87467,27075,3934,511,15184,1767,58620,5,9861,1514,1513,0,7846,501,77606,28585,18101,10485,7666,7615,0,7615
2007,Manufacturing,112513,45309,2618,2053,23502,389,66809,5,33638,21257,3659,17597,12034,348,78874,34004,21746,12258,8725,8382,0,8382
2008,Manufacturing,110622,38203,1015,2095,23697,358,72061,0,39112,24987,6056,18931,13967,158,71509,27111,21822,5289,5763,2777,0,2777
2009,Manufacturing,117698,40578,2785,7592,22109,322,62142,19,39729,26393,4171,22182,13168,168,77969,45469,37481,7988,7643,4871,0,4871
2010,Manufacturing,118062,29705,1972,8258,4982,299,66561,44,37699,11829,4218,7611,25476,395,0,42614,31679,10935,8824,6858,0,6858
2011,Manufacturing,114061,29864,3826,10481,4390,0,56620,99,34052,10386,4518,5285,21022,1195,80008,49591,37064,12528,9077,7797,0,7797
2012,Manufacturing,136101,47470,1654,17720,6249,0,78331,59,43701,22403,7482,14013,15410,5879,92400,58173,39767,18406,14783,13482,0,12969
2013,Manufacturing,158639,58860,957,20283,11012,0,87128,52,64032,40165,10881,28190,16679,7180,94607,47766,31899,15867,12304,8136,0,8990
