year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
1997,Manufacturing,20505,3407,139,0,2753,0,16933,0,2937,1623,1423,0,0,0,17568,5703,4719,985,107,-418,7,-424
1998,Manufacturing,19531,1971,75,0,1355,0,17131,0,2856,2155,1991,1,0,0,16674,4463,4445,18,-1191,-1038,0,-1038
1999,Manufacturing,20024,1989,57,0,1432,0,17249,20,2806,1146,888,0,0,0,17217,7883,5609,2275,1632,1520,0,1520
2000,Manufacturing,21650,3586,246,0,1807,0,17293,14,4516,4516,1109,11,0,0,17134,8924,5792,3133,2513,1808,265,1450
2001,Manufacturing,20459,2548,232,0,2017,0,17230,10,4234,4234,352,0,0,0,16225,5604,4052,1552,1005,696,0,696
2002,Manufacturing,20897,3244,0,1179,1782,0,17396,0,3922,1581,525,0,2341,0,16974,6656,5021,1635,1110,860,0,860
2003,Manufacturing,21227,813,0,226,249,0,18234,0,3015,613,446,0,2402,0,18212,4967,3360,1607,1125,1424,0,1424
2004,Manufacturing,25196,2449,0,69,1590,0,17656,0,2725,496,265,0,1850,380,22471,6573,3723,2850,2338,2029,0,2029
2005,Manufacturing,26183,3714,1284,9,341,0,17252,0,2749,745,541,0,0,2004,23434,9483,5235,4248,3750,4153,576,3376
2006,Manufacturing,24110,1832,181,82,270,0,16451,0,3577,2012,395,1493,0,1564,20533,3055,2104,951,517,440,84,326
2007,Manufacturing,24309,3902,368,60,337,0,15029,0,5327,3301,501,2800,0,2027,18982,3666,3303,363,489,195,75,94
2008,Manufacturing,1360,464,65,78,81,0,896,0,79,79,12,0,0,0,1281,2829,4481,-1653,1664,1496,226,1191
